,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.473,0.867,11,-5.193,0,0.0544,0.00013,0.0,0.0764,0.614,135.909,audio_features,4IRmU8WWGbVzvkaN7pqaJU,spotify:track:4IRmU8WWGbVzvkaN7pqaJU,https://api.spotify.com/v1/tracks/4IRmU8WWGbVzvkaN7pqaJU,https://api.spotify.com/v1/audio-analysis/4IRmU8WWGbVzvkaN7pqaJU,180600,4,If It's Alright with You,spotify:track:4IRmU8WWGbVzvkaN7pqaJU,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB
1,0.445,0.875,9,-5.777,1,0.0741,0.000412,4.69e-06,0.0865,0.51,84.629,audio_features,1DfabExrz9qz8CCyCD09t3,spotify:track:1DfabExrz9qz8CCyCD09t3,https://api.spotify.com/v1/tracks/1DfabExrz9qz8CCyCD09t3,https://api.spotify.com/v1/audio-analysis/1DfabExrz9qz8CCyCD09t3,184973,4,Baby Tinkerbell,spotify:track:1DfabExrz9qz8CCyCD09t3,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB
2,0.453,0.638,10,-6.733,1,0.0584,0.24,3.13e-05,0.24,0.456,137.32,audio_features,0P1cNGZNYx18OmXVHGEPsV,spotify:track:0P1cNGZNYx18OmXVHGEPsV,https://api.spotify.com/v1/tracks/0P1cNGZNYx18OmXVHGEPsV,https://api.spotify.com/v1/audio-analysis/0P1cNGZNYx18OmXVHGEPsV,176613,4,You Made Me Feel Like Brad Pitt,spotify:track:0P1cNGZNYx18OmXVHGEPsV,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB
3,0.436,0.893,9,-5.177,1,0.144,0.134,0.0,0.0915,0.382,136.503,audio_features,5tGhdbjo92OZGQkfFuJHWx,spotify:track:5tGhdbjo92OZGQkfFuJHWx,https://api.spotify.com/v1/tracks/5tGhdbjo92OZGQkfFuJHWx,https://api.spotify.com/v1/audio-analysis/5tGhdbjo92OZGQkfFuJHWx,220853,4,Black n' Blue,spotify:track:5tGhdbjo92OZGQkfFuJHWx,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB
4,0.388,0.943,2,-4.579,1,0.0632,0.000903,6.29e-05,0.317,0.419,146.874,audio_features,3adOh7ojVHJbDVmb6o8OdT,spotify:track:3adOh7ojVHJbDVmb6o8OdT,https://api.spotify.com/v1/tracks/3adOh7ojVHJbDVmb6o8OdT,https://api.spotify.com/v1/audio-analysis/3adOh7ojVHJbDVmb6o8OdT,170427,4,It Was Fun,spotify:track:3adOh7ojVHJbDVmb6o8OdT,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB
5,0.377,0.871,6,-5.283,0,0.138,0.135,2.66e-06,0.106,0.319,148.9,audio_features,3IKK2CKUEM56FnASV5ftUw,spotify:track:3IKK2CKUEM56FnASV5ftUw,https://api.spotify.com/v1/tracks/3IKK2CKUEM56FnASV5ftUw,https://api.spotify.com/v1/audio-analysis/3IKK2CKUEM56FnASV5ftUw,189720,4,Thumper's Philosophy,spotify:track:3IKK2CKUEM56FnASV5ftUw,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB
6,0.326,0.881,9,-5.429,1,0.0955,0.0171,1.35e-05,0.105,0.495,148.452,audio_features,6sa27qWLFBGHIIRtcSJ2Gq,spotify:track:6sa27qWLFBGHIIRtcSJ2Gq,https://api.spotify.com/v1/tracks/6sa27qWLFBGHIIRtcSJ2Gq,https://api.spotify.com/v1/audio-analysis/6sa27qWLFBGHIIRtcSJ2Gq,251907,4,We Don't Mean That Much,spotify:track:6sa27qWLFBGHIIRtcSJ2Gq,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB
7,0.381,0.868,7,-5.952,1,0.0809,0.0507,2.86e-05,0.098,0.32,90.282,audio_features,0njgDwIVxwYf1ZmBcW29jn,spotify:track:0njgDwIVxwYf1ZmBcW29jn,https://api.spotify.com/v1/tracks/0njgDwIVxwYf1ZmBcW29jn,https://api.spotify.com/v1/audio-analysis/0njgDwIVxwYf1ZmBcW29jn,155240,4,Record Shop,spotify:track:0njgDwIVxwYf1ZmBcW29jn,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB
8,0.166,0.926,0,-4.709,1,0.0638,0.000271,0.0,0.347,0.315,157.374,audio_features,4ZMA8GMYC6dTKGqYcF9MOo,spotify:track:4ZMA8GMYC6dTKGqYcF9MOo,https://api.spotify.com/v1/tracks/4ZMA8GMYC6dTKGqYcF9MOo,https://api.spotify.com/v1/audio-analysis/4ZMA8GMYC6dTKGqYcF9MOo,208507,4,Moving to New York - Early Demo from 2005,spotify:track:4ZMA8GMYC6dTKGqYcF9MOo,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB
9,0.293,0.722,2,-5.945,1,0.1,0.00274,1.96e-05,0.105,0.338,147.393,audio_features,7LjeCDJ7QCAQAAwcjbt0bm,spotify:track:7LjeCDJ7QCAQAAwcjbt0bm,https://api.spotify.com/v1/tracks/7LjeCDJ7QCAQAAwcjbt0bm,https://api.spotify.com/v1/audio-analysis/7LjeCDJ7QCAQAAwcjbt0bm,193320,4,Happily Screwed,spotify:track:7LjeCDJ7QCAQAAwcjbt0bm,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB
