,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.539,0.937,7,-2.961,1,0.0342,0.0267,0.000149,0.252,0.441,135.451,audio_features,7p4vNq8RbJPa8t9vyIhvNo,spotify:track:7p4vNq8RbJPa8t9vyIhvNo,https://api.spotify.com/v1/tracks/7p4vNq8RbJPa8t9vyIhvNo,https://api.spotify.com/v1/audio-analysis/7p4vNq8RbJPa8t9vyIhvNo,226973,4,Harder And Harder,spotify:track:7p4vNq8RbJPa8t9vyIhvNo,The Zutons,2qV7axHq9Jk7QqFcB3f05A
1,0.564,0.705,4,-5.388,1,0.0328,0.319,0.0,0.108,0.47,133.703,audio_features,2zv6A4NgdixOs5dBO9H4KE,spotify:track:2zv6A4NgdixOs5dBO9H4KE,https://api.spotify.com/v1/tracks/2zv6A4NgdixOs5dBO9H4KE,https://api.spotify.com/v1/audio-analysis/2zv6A4NgdixOs5dBO9H4KE,240120,4,Dirty Rat,spotify:track:2zv6A4NgdixOs5dBO9H4KE,The Zutons,2qV7axHq9Jk7QqFcB3f05A
2,0.58,0.962,4,-2.338,1,0.0327,0.00183,0.0,0.505,0.963,118.473,audio_features,1IIIsgrRe10eAI864UxbKI,spotify:track:1IIIsgrRe10eAI864UxbKI,https://api.spotify.com/v1/tracks/1IIIsgrRe10eAI864UxbKI,https://api.spotify.com/v1/audio-analysis/1IIIsgrRe10eAI864UxbKI,235373,4,What's Your Problem,spotify:track:1IIIsgrRe10eAI864UxbKI,The Zutons,2qV7axHq9Jk7QqFcB3f05A
3,0.38,0.852,0,-2.79,1,0.0603,0.0593,0.0,0.0812,0.694,180.957,audio_features,6sdMZnYjAW8Ee4zducbJr1,spotify:track:6sdMZnYjAW8Ee4zducbJr1,https://api.spotify.com/v1/tracks/6sdMZnYjAW8Ee4zducbJr1,https://api.spotify.com/v1/audio-analysis/6sdMZnYjAW8Ee4zducbJr1,213000,4,You Could Make The 4 Walls Cry,spotify:track:6sdMZnYjAW8Ee4zducbJr1,The Zutons,2qV7axHq9Jk7QqFcB3f05A
4,0.239,0.882,6,-2.865,0,0.0671,0.00521,0.0,0.114,0.446,158.988,audio_features,1tBMpgWVYgQehxqXlBeXy1,spotify:track:1tBMpgWVYgQehxqXlBeXy1,https://api.spotify.com/v1/tracks/1tBMpgWVYgQehxqXlBeXy1,https://api.spotify.com/v1/audio-analysis/1tBMpgWVYgQehxqXlBeXy1,239760,4,Family Of Leechs,spotify:track:1tBMpgWVYgQehxqXlBeXy1,The Zutons,2qV7axHq9Jk7QqFcB3f05A
5,0.588,0.46,4,-9.399,1,0.0241,0.0379,0.0,0.109,0.423,103.641,audio_features,2Bp800p7mKzXEJlrJ2tyWw,spotify:track:2Bp800p7mKzXEJlrJ2tyWw,https://api.spotify.com/v1/tracks/2Bp800p7mKzXEJlrJ2tyWw,https://api.spotify.com/v1/audio-analysis/2Bp800p7mKzXEJlrJ2tyWw,198267,4,Don't Get Caught,spotify:track:2Bp800p7mKzXEJlrJ2tyWw,The Zutons,2qV7axHq9Jk7QqFcB3f05A
6,0.555,0.813,2,-2.862,0,0.0393,0.0286,0.0,0.0995,0.839,125.587,audio_features,3K8GvH8b1sF7XJPapM3YtC,spotify:track:3K8GvH8b1sF7XJPapM3YtC,https://api.spotify.com/v1/tracks/3K8GvH8b1sF7XJPapM3YtC,https://api.spotify.com/v1/audio-analysis/3K8GvH8b1sF7XJPapM3YtC,273733,4,Bumbag,spotify:track:3K8GvH8b1sF7XJPapM3YtC,The Zutons,2qV7axHq9Jk7QqFcB3f05A
7,0.338,0.945,6,-3.582,0,0.0777,0.00108,0.00134,0.0931,0.588,141.066,audio_features,0llRa5IKHKJOluhOPWQY2x,spotify:track:0llRa5IKHKJOluhOPWQY2x,https://api.spotify.com/v1/tracks/0llRa5IKHKJOluhOPWQY2x,https://api.spotify.com/v1/audio-analysis/0llRa5IKHKJOluhOPWQY2x,211200,4,Always Right Behind You,spotify:track:0llRa5IKHKJOluhOPWQY2x,The Zutons,2qV7axHq9Jk7QqFcB3f05A
8,0.523,0.768,2,-3.233,1,0.0253,0.0121,0.0,0.337,0.668,80.833,audio_features,3daCFX2gzx5TmzyocfScjY,spotify:track:3daCFX2gzx5TmzyocfScjY,https://api.spotify.com/v1/tracks/3daCFX2gzx5TmzyocfScjY,https://api.spotify.com/v1/audio-analysis/3daCFX2gzx5TmzyocfScjY,241427,4,Put A Little Aside,spotify:track:3daCFX2gzx5TmzyocfScjY,The Zutons,2qV7axHq9Jk7QqFcB3f05A
9,0.564,0.925,4,-4.357,0,0.0723,0.0368,0.0,0.343,0.454,125.399,audio_features,6CvSBrr3QnHFuc7d09gMm6,spotify:track:6CvSBrr3QnHFuc7d09gMm6,https://api.spotify.com/v1/tracks/6CvSBrr3QnHFuc7d09gMm6,https://api.spotify.com/v1/audio-analysis/6CvSBrr3QnHFuc7d09gMm6,260400,4,Freak,spotify:track:6CvSBrr3QnHFuc7d09gMm6,The Zutons,2qV7axHq9Jk7QqFcB3f05A
10,0.379,0.679,7,-5.735,1,0.0602,0.00807,2.92e-06,0.104,0.437,132.249,audio_features,5xP0nEj4dFdpdnQcibif9z,spotify:track:5xP0nEj4dFdpdnQcibif9z,https://api.spotify.com/v1/tracks/5xP0nEj4dFdpdnQcibif9z,https://api.spotify.com/v1/audio-analysis/5xP0nEj4dFdpdnQcibif9z,392693,4,Give Me A Reason,spotify:track:5xP0nEj4dFdpdnQcibif9z,The Zutons,2qV7axHq9Jk7QqFcB3f05A
11,0.404,0.464,0,-7.253,1,0.0272,0.0536,0.0,0.109,0.306,146.003,audio_features,7aXZXuwYNUaHSsQlemyqbM,spotify:track:7aXZXuwYNUaHSsQlemyqbM,https://api.spotify.com/v1/tracks/7aXZXuwYNUaHSsQlemyqbM,https://api.spotify.com/v1/audio-analysis/7aXZXuwYNUaHSsQlemyqbM,205347,4,Little Red Door,spotify:track:7aXZXuwYNUaHSsQlemyqbM,The Zutons,2qV7axHq9Jk7QqFcB3f05A
12,0.635,0.929,11,-1.59,0,0.0398,0.0203,0.0,0.148,0.639,115.837,audio_features,3OdRJIReNoVXrPEqxgWwbu,spotify:track:3OdRJIReNoVXrPEqxgWwbu,https://api.spotify.com/v1/tracks/3OdRJIReNoVXrPEqxgWwbu,https://api.spotify.com/v1/audio-analysis/3OdRJIReNoVXrPEqxgWwbu,214853,4,Tired Of Hanging Around,spotify:track:3OdRJIReNoVXrPEqxgWwbu,The Zutons,2qV7axHq9Jk7QqFcB3f05A
13,0.302,0.871,0,-3.186,1,0.0523,0.0165,0.0,0.255,0.92,194.256,audio_features,4ZjrDYhfjwIYr0bid8VeZu,spotify:track:4ZjrDYhfjwIYr0bid8VeZu,https://api.spotify.com/v1/tracks/4ZjrDYhfjwIYr0bid8VeZu,https://api.spotify.com/v1/audio-analysis/4ZjrDYhfjwIYr0bid8VeZu,187013,4,It's The Little Things We Do,spotify:track:4ZjrDYhfjwIYr0bid8VeZu,The Zutons,2qV7axHq9Jk7QqFcB3f05A
14,0.342,0.876,5,-3.145,0,0.0428,0.018,6.26e-06,0.171,0.788,169.844,audio_features,20l9CTLbSTKNpoxyL4p5cn,spotify:track:20l9CTLbSTKNpoxyL4p5cn,https://api.spotify.com/v1/tracks/20l9CTLbSTKNpoxyL4p5cn,https://api.spotify.com/v1/audio-analysis/20l9CTLbSTKNpoxyL4p5cn,236267,4,Valerie,spotify:track:20l9CTLbSTKNpoxyL4p5cn,The Zutons,2qV7axHq9Jk7QqFcB3f05A
