,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.704,0.605,10,-16.111,0,0.0454,0.329,0.836,0.131,0.292,125.016,audio_features,0norzvFdGP4E4Ms7hPh3Bi,spotify:track:0norzvFdGP4E4Ms7hPh3Bi,https://api.spotify.com/v1/tracks/0norzvFdGP4E4Ms7hPh3Bi,https://api.spotify.com/v1/audio-analysis/0norzvFdGP4E4Ms7hPh3Bi,273813,4,No Fantasy Required,spotify:track:0norzvFdGP4E4Ms7hPh3Bi,Tiga,5l9wiTZVfqQTfMDOt0HtwC
1,0.739,0.545,1,-10.784,0,0.0446,0.000625,0.826,0.134,0.285,122.014,audio_features,3m6YJNY1kha6mfQlZJ2Ox4,spotify:track:3m6YJNY1kha6mfQlZJ2Ox4,https://api.spotify.com/v1/tracks/3m6YJNY1kha6mfQlZJ2Ox4,https://api.spotify.com/v1/audio-analysis/3m6YJNY1kha6mfQlZJ2Ox4,341400,4,Make Me Fall In Love,spotify:track:3m6YJNY1kha6mfQlZJ2Ox4,Tiga,5l9wiTZVfqQTfMDOt0HtwC
2,0.861,0.72,11,-9.854,0,0.0996,0.0164,0.00618,0.0856,0.4,123.988,audio_features,014adPVPEvYTJ4dfhgaMgr,spotify:track:014adPVPEvYTJ4dfhgaMgr,https://api.spotify.com/v1/tracks/014adPVPEvYTJ4dfhgaMgr,https://api.spotify.com/v1/audio-analysis/014adPVPEvYTJ4dfhgaMgr,182413,4,3 Rules,spotify:track:014adPVPEvYTJ4dfhgaMgr,Tiga,5l9wiTZVfqQTfMDOt0HtwC
3,0.773,0.586,11,-11.036,0,0.087,0.000459,0.729,0.0889,0.352,125.952,audio_features,1BqklpGekopNdqw7pybbi4,spotify:track:1BqklpGekopNdqw7pybbi4,https://api.spotify.com/v1/tracks/1BqklpGekopNdqw7pybbi4,https://api.spotify.com/v1/audio-analysis/1BqklpGekopNdqw7pybbi4,176800,4,Having So Much Fun,spotify:track:1BqklpGekopNdqw7pybbi4,Tiga,5l9wiTZVfqQTfMDOt0HtwC
4,0.535,0.436,8,-13.182,0,0.0357,0.211,0.449,0.119,0.0565,125.067,audio_features,2kPuBR2osQlgym22etVreT,spotify:track:2kPuBR2osQlgym22etVreT,https://api.spotify.com/v1/tracks/2kPuBR2osQlgym22etVreT,https://api.spotify.com/v1/audio-analysis/2kPuBR2osQlgym22etVreT,268640,4,Tell Me Your Secret,spotify:track:2kPuBR2osQlgym22etVreT,Tiga,5l9wiTZVfqQTfMDOt0HtwC
5,0.798,0.931,11,-8.944,0,0.0635,0.013,0.857,0.0808,0.163,123.998,audio_features,5RiqpgUVHHsDD7tu7XWa8E,spotify:track:5RiqpgUVHHsDD7tu7XWa8E,https://api.spotify.com/v1/tracks/5RiqpgUVHHsDD7tu7XWa8E,https://api.spotify.com/v1/audio-analysis/5RiqpgUVHHsDD7tu7XWa8E,274853,4,Always,spotify:track:5RiqpgUVHHsDD7tu7XWa8E,Tiga,5l9wiTZVfqQTfMDOt0HtwC
6,0.904,0.362,6,-13.374,1,0.222,0.628,0.0113,0.0851,0.376,125.991,audio_features,10XJZADAq1uy1R3uPLbN0H,spotify:track:10XJZADAq1uy1R3uPLbN0H,https://api.spotify.com/v1/tracks/10XJZADAq1uy1R3uPLbN0H,https://api.spotify.com/v1/audio-analysis/10XJZADAq1uy1R3uPLbN0H,200293,4,Planet E,spotify:track:10XJZADAq1uy1R3uPLbN0H,Tiga,5l9wiTZVfqQTfMDOt0HtwC
7,0.834,0.739,9,-9.792,0,0.0487,0.139,0.371,0.103,0.625,119.989,audio_features,4j1QYNF2VVWVLrfLBFN30p,spotify:track:4j1QYNF2VVWVLrfLBFN30p,https://api.spotify.com/v1/tracks/4j1QYNF2VVWVLrfLBFN30p,https://api.spotify.com/v1/audio-analysis/4j1QYNF2VVWVLrfLBFN30p,400947,4,Plush,spotify:track:4j1QYNF2VVWVLrfLBFN30p,Tiga,5l9wiTZVfqQTfMDOt0HtwC
8,0.806,0.454,3,-8.101,0,0.101,0.000456,0.457,0.0728,0.423,121.023,audio_features,6z5zNAr1yKd88C8S9ppMl1,spotify:track:6z5zNAr1yKd88C8S9ppMl1,https://api.spotify.com/v1/tracks/6z5zNAr1yKd88C8S9ppMl1,https://api.spotify.com/v1/audio-analysis/6z5zNAr1yKd88C8S9ppMl1,320587,4,Bugatti,spotify:track:6z5zNAr1yKd88C8S9ppMl1,Tiga,5l9wiTZVfqQTfMDOt0HtwC
9,0.768,0.554,2,-10.676,1,0.0367,0.125,0.913,0.106,0.487,126.011,audio_features,6ldkEpvc1M6Def28BSsxyK,spotify:track:6ldkEpvc1M6Def28BSsxyK,https://api.spotify.com/v1/tracks/6ldkEpvc1M6Def28BSsxyK,https://api.spotify.com/v1/audio-analysis/6ldkEpvc1M6Def28BSsxyK,229880,4,Don't Break My Heart,spotify:track:6ldkEpvc1M6Def28BSsxyK,Tiga,5l9wiTZVfqQTfMDOt0HtwC
10,0.705,0.474,11,-11.446,1,0.0481,0.405,0.0967,0.106,0.271,121.969,audio_features,3QxidqECnOsQXzpkmnXs1Z,spotify:track:3QxidqECnOsQXzpkmnXs1Z,https://api.spotify.com/v1/tracks/3QxidqECnOsQXzpkmnXs1Z,https://api.spotify.com/v1/audio-analysis/3QxidqECnOsQXzpkmnXs1Z,325360,4,Blondes Have More Fun,spotify:track:3QxidqECnOsQXzpkmnXs1Z,Tiga,5l9wiTZVfqQTfMDOt0HtwC
11,0.671,0.982,8,-4.018,1,0.0373,0.036,0.842,0.0817,0.745,127.996,audio_features,1yNVUqb4UhGYtG8W8hENbQ,spotify:track:1yNVUqb4UhGYtG8W8hENbQ,https://api.spotify.com/v1/tracks/1yNVUqb4UhGYtG8W8hENbQ,https://api.spotify.com/v1/audio-analysis/1yNVUqb4UhGYtG8W8hENbQ,229933,4,Beep Beep Beep,spotify:track:1yNVUqb4UhGYtG8W8hENbQ,Tiga,5l9wiTZVfqQTfMDOt0HtwC
12,0.508,0.479,10,-8.252,0,0.0772,0.012,0.00695,0.11,0.369,125.092,audio_features,4UL1756MJ8wLBAVioX5pkk,spotify:track:4UL1756MJ8wLBAVioX5pkk,https://api.spotify.com/v1/tracks/4UL1756MJ8wLBAVioX5pkk,https://api.spotify.com/v1/audio-analysis/4UL1756MJ8wLBAVioX5pkk,278693,4,Mind Dimension 2,spotify:track:4UL1756MJ8wLBAVioX5pkk,Tiga,5l9wiTZVfqQTfMDOt0HtwC
13,0.84,0.867,1,-5.167,1,0.0386,0.0155,0.425,0.108,0.871,122.999,audio_features,1vLEIkLdTs9ErSpxezP9FO,spotify:track:1vLEIkLdTs9ErSpxezP9FO,https://api.spotify.com/v1/tracks/1vLEIkLdTs9ErSpxezP9FO,https://api.spotify.com/v1/audio-analysis/1vLEIkLdTs9ErSpxezP9FO,229747,4,Shoes,spotify:track:1vLEIkLdTs9ErSpxezP9FO,Tiga,5l9wiTZVfqQTfMDOt0HtwC
14,0.632,0.957,7,-3.568,1,0.134,0.00715,0.00738,0.0636,0.109,128.02,audio_features,7sAWX3ekv3ZrjVyE3aYd2E,spotify:track:7sAWX3ekv3ZrjVyE3aYd2E,https://api.spotify.com/v1/tracks/7sAWX3ekv3ZrjVyE3aYd2E,https://api.spotify.com/v1/audio-analysis/7sAWX3ekv3ZrjVyE3aYd2E,338467,4,What You Need,spotify:track:7sAWX3ekv3ZrjVyE3aYd2E,Tiga,5l9wiTZVfqQTfMDOt0HtwC
