,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.636,0.214,1,-15.281,1,0.921,0.951,0.0,0.0934,0.704,71.572,audio_features,2n5P4egls3wW9BGwynPER0,spotify:track:2n5P4egls3wW9BGwynPER0,https://api.spotify.com/v1/tracks/2n5P4egls3wW9BGwynPER0,https://api.spotify.com/v1/audio-analysis/2n5P4egls3wW9BGwynPER0,395476,3,L.A. - Commentary,spotify:track:2n5P4egls3wW9BGwynPER0,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
1,0.406,0.67,0,-6.031,1,0.0295,0.394,0.000149,0.168,0.469,147.808,audio_features,0bHY9tBL4ZOZsDzsdcNJzM,spotify:track:0bHY9tBL4ZOZsDzsdcNJzM,https://api.spotify.com/v1/tracks/0bHY9tBL4ZOZsDzsdcNJzM,https://api.spotify.com/v1/audio-analysis/0bHY9tBL4ZOZsDzsdcNJzM,233427,4,L.A.,spotify:track:0bHY9tBL4ZOZsDzsdcNJzM,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
2,0.71,0.221,5,-15.63,1,0.934,0.97,0.0,0.276,0.708,130.579,audio_features,5e7EuseO691PjXpL9H9Hy5,spotify:track:5e7EuseO691PjXpL9H9Hy5,https://api.spotify.com/v1/tracks/5e7EuseO691PjXpL9H9Hy5,https://api.spotify.com/v1/audio-analysis/5e7EuseO691PjXpL9H9Hy5,117048,4,Chevy Spaceship - Commentary,spotify:track:5e7EuseO691PjXpL9H9Hy5,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
3,0.476,0.681,1,-5.031,1,0.0346,0.469,5.89e-06,0.0961,0.305,137.337,audio_features,427gERUGea0UX9PWHWwpBX,spotify:track:427gERUGea0UX9PWHWwpBX,https://api.spotify.com/v1/tracks/427gERUGea0UX9PWHWwpBX,https://api.spotify.com/v1/audio-analysis/427gERUGea0UX9PWHWwpBX,260053,4,Chevy Spaceship,spotify:track:427gERUGea0UX9PWHWwpBX,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
4,0.719,0.222,8,-15.432,1,0.899,0.96,0.0,0.279,0.661,115.342,audio_features,7dHMUgOX11rpjUbKallydF,spotify:track:7dHMUgOX11rpjUbKallydF,https://api.spotify.com/v1/tracks/7dHMUgOX11rpjUbKallydF,https://api.spotify.com/v1/audio-analysis/7dHMUgOX11rpjUbKallydF,137462,4,Here On Earth - Commentary,spotify:track:7dHMUgOX11rpjUbKallydF,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
5,0.44,0.682,2,-6.885,1,0.0343,0.097,8.97e-06,0.0426,0.324,101.093,audio_features,1Y7qVfN3QrH3CYd1GMCj04,spotify:track:1Y7qVfN3QrH3CYd1GMCj04,https://api.spotify.com/v1/tracks/1Y7qVfN3QrH3CYd1GMCj04,https://api.spotify.com/v1/audio-analysis/1Y7qVfN3QrH3CYd1GMCj04,261200,4,Here On Earth,spotify:track:1Y7qVfN3QrH3CYd1GMCj04,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
6,0.647,0.228,5,-14.765,0,0.902,0.939,0.0,0.13,0.644,83.064,audio_features,6c7mJjNFQjlFsH2Bjfq2Ok,spotify:track:6c7mJjNFQjlFsH2Bjfq2Ok,https://api.spotify.com/v1/tracks/6c7mJjNFQjlFsH2Bjfq2Ok,https://api.spotify.com/v1/audio-analysis/6c7mJjNFQjlFsH2Bjfq2Ok,100983,5,Damn Sure Do - Commentary,spotify:track:6c7mJjNFQjlFsH2Bjfq2Ok,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
7,0.435,0.628,1,-7.201,1,0.0285,0.286,0.000255,0.0816,0.425,160.106,audio_features,7mUOiS6Y4M5ZbLKbUqylpr,spotify:track:7mUOiS6Y4M5ZbLKbUqylpr,https://api.spotify.com/v1/tracks/7mUOiS6Y4M5ZbLKbUqylpr,https://api.spotify.com/v1/audio-analysis/7mUOiS6Y4M5ZbLKbUqylpr,252413,4,Damn Sure Do,spotify:track:7mUOiS6Y4M5ZbLKbUqylpr,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
8,0.726,0.223,0,-15.4,1,0.878,0.955,0.0,0.14,0.678,80.922,audio_features,0tRf4RISZprCzVXyBYpne6,spotify:track:0tRf4RISZprCzVXyBYpne6,https://api.spotify.com/v1/tracks/0tRf4RISZprCzVXyBYpne6,https://api.spotify.com/v1/audio-analysis/0tRf4RISZprCzVXyBYpne6,188799,4,Hallelujahville - Commentary,spotify:track:0tRf4RISZprCzVXyBYpne6,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
9,0.455,0.548,7,-6.144,1,0.0284,0.748,0.000498,0.0928,0.352,67.123,audio_features,4N61RRRSIAQEbeRaTeegZd,spotify:track:4N61RRRSIAQEbeRaTeegZd,https://api.spotify.com/v1/tracks/4N61RRRSIAQEbeRaTeegZd,https://api.spotify.com/v1/audio-analysis/4N61RRRSIAQEbeRaTeegZd,266747,4,Hallelujahville,spotify:track:4N61RRRSIAQEbeRaTeegZd,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
10,0.714,0.248,0,-14.662,0,0.81,0.963,0.0,0.139,0.718,130.149,audio_features,3zP2c1hTGWoe6dgBWsTpMQ,spotify:track:3zP2c1hTGWoe6dgBWsTpMQ,https://api.spotify.com/v1/tracks/3zP2c1hTGWoe6dgBWsTpMQ,https://api.spotify.com/v1/audio-analysis/3zP2c1hTGWoe6dgBWsTpMQ,116807,4,Good Taste In Women - Commentary,spotify:track:3zP2c1hTGWoe6dgBWsTpMQ,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
11,0.646,0.717,5,-6.24,1,0.0426,0.00877,8.1e-05,0.129,0.935,127.982,audio_features,5tIKP8V2O7rSXGPhNn03DS,spotify:track:5tIKP8V2O7rSXGPhNn03DS,https://api.spotify.com/v1/tracks/5tIKP8V2O7rSXGPhNn03DS,https://api.spotify.com/v1/audio-analysis/5tIKP8V2O7rSXGPhNn03DS,227147,4,Good Taste In Women,spotify:track:5tIKP8V2O7rSXGPhNn03DS,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
12,0.706,0.265,3,-14.814,1,0.899,0.942,0.0,0.149,0.726,107.685,audio_features,4FGbi9RjusMQ6xZMoa9uEX,spotify:track:4FGbi9RjusMQ6xZMoa9uEX,https://api.spotify.com/v1/tracks/4FGbi9RjusMQ6xZMoa9uEX,https://api.spotify.com/v1/audio-analysis/4FGbi9RjusMQ6xZMoa9uEX,90715,5,Hard To Stay Mad At - Commentary,spotify:track:4FGbi9RjusMQ6xZMoa9uEX,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
13,0.507,0.766,8,-8.218,1,0.0311,0.262,0.00918,0.104,0.857,161.977,audio_features,7vrD7RxpJ7A7cmGHDrgQCE,spotify:track:7vrD7RxpJ7A7cmGHDrgQCE,https://api.spotify.com/v1/tracks/7vrD7RxpJ7A7cmGHDrgQCE,https://api.spotify.com/v1/audio-analysis/7vrD7RxpJ7A7cmGHDrgQCE,250333,4,Hard To Stay Mad At,spotify:track:7vrD7RxpJ7A7cmGHDrgQCE,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
14,0.791,0.2,10,-15.547,0,0.907,0.953,0.0,0.094,0.796,63.537,audio_features,7sUXH5xb6k7bsHWaRqPOAF,spotify:track:7sUXH5xb6k7bsHWaRqPOAF,https://api.spotify.com/v1/tracks/7sUXH5xb6k7bsHWaRqPOAF,https://api.spotify.com/v1/audio-analysis/7sUXH5xb6k7bsHWaRqPOAF,126591,4,Sheryl Crow - Commentary,spotify:track:7sUXH5xb6k7bsHWaRqPOAF,Tim McGraw,6roFdX1y5BYSbp60OTJWMd
