,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.784,0.706,4,-8.616,1,0.134,0.0616,0.404,0.28,0.791,165.459,audio_features,1ACN15kFxlTPMHNYWEfTts,spotify:track:1ACN15kFxlTPMHNYWEfTts,https://api.spotify.com/v1/tracks/1ACN15kFxlTPMHNYWEfTts,https://api.spotify.com/v1/audio-analysis/1ACN15kFxlTPMHNYWEfTts,291107,4,Clock Strikes,spotify:track:1ACN15kFxlTPMHNYWEfTts,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ
1,0.863,0.364,1,-9.28,1,0.198,0.0529,0.00117,0.115,0.736,167.962,audio_features,2tVLvDXC1zm2fyaAwZAZkB,spotify:track:2tVLvDXC1zm2fyaAwZAZkB,https://api.spotify.com/v1/tracks/2tVLvDXC1zm2fyaAwZAZkB,https://api.spotify.com/v1/audio-analysis/2tVLvDXC1zm2fyaAwZAZkB,249280,4,15 After Da Hour,spotify:track:2tVLvDXC1zm2fyaAwZAZkB,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ
2,0.869,0.639,11,-7.36,0,0.139,0.0533,0.000401,0.108,0.786,125.662,audio_features,0GqBKeKNo9f4svY16TEri8,spotify:track:0GqBKeKNo9f4svY16TEri8,https://api.spotify.com/v1/tracks/0GqBKeKNo9f4svY16TEri8,https://api.spotify.com/v1/audio-analysis/0GqBKeKNo9f4svY16TEri8,281840,4,Man Undercover,spotify:track:0GqBKeKNo9f4svY16TEri8,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ
3,0.824,0.669,9,-6.729,0,0.109,0.441,0.000222,0.0502,0.953,141.453,audio_features,2QmWYNRiyOEgQNwrdFH6My,spotify:track:2QmWYNRiyOEgQNwrdFH6My,https://api.spotify.com/v1/tracks/2QmWYNRiyOEgQNwrdFH6My,https://api.spotify.com/v1/audio-analysis/2QmWYNRiyOEgQNwrdFH6My,293627,4,Joy,spotify:track:2QmWYNRiyOEgQNwrdFH6My,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ
4,0.909,0.686,10,-6.943,0,0.229,0.187,0.00198,0.0826,0.867,93.914,audio_features,0015Q1y13od916Rb9PZTsq,spotify:track:0015Q1y13od916Rb9PZTsq,https://api.spotify.com/v1/tracks/0015Q1y13od916Rb9PZTsq,https://api.spotify.com/v1/audio-analysis/0015Q1y13od916Rb9PZTsq,261467,4,Here We Come,spotify:track:0015Q1y13od916Rb9PZTsq,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ
5,0.812,0.69,1,-10.141,1,0.258,0.164,0.0359,0.16,0.813,142.451,audio_features,3CARBoHKtW3I7wtAtkWl03,spotify:track:3CARBoHKtW3I7wtAtkWl03,https://api.spotify.com/v1/tracks/3CARBoHKtW3I7wtAtkWl03,https://api.spotify.com/v1/audio-analysis/3CARBoHKtW3I7wtAtkWl03,256133,4,Who Am I,spotify:track:3CARBoHKtW3I7wtAtkWl03,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ
6,0.872,0.46,10,-10.496,0,0.173,0.447,1.61e-05,0.0361,0.666,127.715,audio_features,63uskkm1ORS7AZkWEKj7Kg,spotify:track:63uskkm1ORS7AZkWEKj7Kg,https://api.spotify.com/v1/tracks/63uskkm1ORS7AZkWEKj7Kg,https://api.spotify.com/v1/audio-analysis/63uskkm1ORS7AZkWEKj7Kg,239947,4,John Blaze,spotify:track:63uskkm1ORS7AZkWEKj7Kg,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ
7,0.81,0.322,8,-11.132,1,0.191,0.505,0.0,0.112,0.591,139.22,audio_features,61h7zHL2qrSWoFHpMa4634,spotify:track:61h7zHL2qrSWoFHpMa4634,https://api.spotify.com/v1/tracks/61h7zHL2qrSWoFHpMa4634,https://api.spotify.com/v1/audio-analysis/61h7zHL2qrSWoFHpMa4634,210933,4,3.30 In The Morning,spotify:track:61h7zHL2qrSWoFHpMa4634,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ
8,0.957,0.561,3,-10.364,0,0.213,0.456,0.0,0.623,0.867,116.98,audio_features,0GLYctIffFgQtCkIRq4Z6t,spotify:track:0GLYctIffFgQtCkIRq4Z6t,https://api.spotify.com/v1/tracks/0GLYctIffFgQtCkIRq4Z6t,https://api.spotify.com/v1/audio-analysis/0GLYctIffFgQtCkIRq4Z6t,360747,4,Drop,spotify:track:0GLYctIffFgQtCkIRq4Z6t,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ
9,0.731,0.59,6,-11.553,0,0.248,0.207,0.0,0.608,0.694,90.775,audio_features,6RoJbeTDAbQxnQfKbJyMJr,spotify:track:6RoJbeTDAbQxnQfKbJyMJr,https://api.spotify.com/v1/tracks/6RoJbeTDAbQxnQfKbJyMJr,https://api.spotify.com/v1/audio-analysis/6RoJbeTDAbQxnQfKbJyMJr,237000,4,All Y'all,spotify:track:6RoJbeTDAbQxnQfKbJyMJr,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ
