,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.479,0.636,8,-7.133,1,0.153,0.451,0.0,0.303,0.353,148.466,audio_features,6wcLhQZBeFqnnlf6IFXsWS,spotify:track:6wcLhQZBeFqnnlf6IFXsWS,https://api.spotify.com/v1/tracks/6wcLhQZBeFqnnlf6IFXsWS,https://api.spotify.com/v1/audio-analysis/6wcLhQZBeFqnnlf6IFXsWS,162568,3,Parasite,spotify:track:6wcLhQZBeFqnnlf6IFXsWS,Tokyo Project,6b6w8DXrLFEPxnG4kTqUnT
1,0.848,0.606,0,-5.693,1,0.321,0.283,0.000106,0.537,0.414,89.982,audio_features,3pO5fGxd9ovOvEIeXnb3Pl,spotify:track:3pO5fGxd9ovOvEIeXnb3Pl,https://api.spotify.com/v1/tracks/3pO5fGxd9ovOvEIeXnb3Pl,https://api.spotify.com/v1/audio-analysis/3pO5fGxd9ovOvEIeXnb3Pl,138509,4,My Perfection,spotify:track:3pO5fGxd9ovOvEIeXnb3Pl,Tokyo Project,6b6w8DXrLFEPxnG4kTqUnT
2,0.669,0.671,1,-7.406,0,0.389,0.194,0.0,0.146,0.624,129.978,audio_features,1GR57dLLVuepUHZmhBUXE0,spotify:track:1GR57dLLVuepUHZmhBUXE0,https://api.spotify.com/v1/tracks/1GR57dLLVuepUHZmhBUXE0,https://api.spotify.com/v1/audio-analysis/1GR57dLLVuepUHZmhBUXE0,156924,4,Lies,spotify:track:1GR57dLLVuepUHZmhBUXE0,Tokyo Project,6b6w8DXrLFEPxnG4kTqUnT
3,0.848,0.606,0,-5.693,1,0.321,0.283,0.000106,0.537,0.414,89.982,audio_features,6Bvk8WXfGEfMFOgROQMhys,spotify:track:6Bvk8WXfGEfMFOgROQMhys,https://api.spotify.com/v1/tracks/6Bvk8WXfGEfMFOgROQMhys,https://api.spotify.com/v1/audio-analysis/6Bvk8WXfGEfMFOgROQMhys,138509,4,My Perfection,spotify:track:6Bvk8WXfGEfMFOgROQMhys,Tokyo Project,6b6w8DXrLFEPxnG4kTqUnT
4,0.576,0.708,6,-4.766,0,0.0625,0.352,0.000299,0.0996,0.386,105.903,audio_features,5VMwfgUI7dZr9DvxF7UNMx,spotify:track:5VMwfgUI7dZr9DvxF7UNMx,https://api.spotify.com/v1/tracks/5VMwfgUI7dZr9DvxF7UNMx,https://api.spotify.com/v1/audio-analysis/5VMwfgUI7dZr9DvxF7UNMx,167547,3,Just Friends - Tokyo Project Remix,spotify:track:5VMwfgUI7dZr9DvxF7UNMx,Tokyo Project,6b6w8DXrLFEPxnG4kTqUnT
5,0.545,0.595,3,-4.277,0,0.0663,0.297,0.0,0.35,0.261,126.048,audio_features,4IewdpGprSNdyYguWle5ZM,spotify:track:4IewdpGprSNdyYguWle5ZM,https://api.spotify.com/v1/tracks/4IewdpGprSNdyYguWle5ZM,https://api.spotify.com/v1/audio-analysis/4IewdpGprSNdyYguWle5ZM,167619,4,Out of Control,spotify:track:4IewdpGprSNdyYguWle5ZM,Tokyo Project,6b6w8DXrLFEPxnG4kTqUnT
6,0.693,0.76,6,-6.139,0,0.0754,0.19,0.000265,0.159,0.359,126.959,audio_features,5tbpn2VOZ3ZY6ENN6nXa8r,spotify:track:5tbpn2VOZ3ZY6ENN6nXa8r,https://api.spotify.com/v1/tracks/5tbpn2VOZ3ZY6ENN6nXa8r,https://api.spotify.com/v1/audio-analysis/5tbpn2VOZ3ZY6ENN6nXa8r,155905,4,Siren - Kaan Pars Remix,spotify:track:5tbpn2VOZ3ZY6ENN6nXa8r,Tokyo Project,6b6w8DXrLFEPxnG4kTqUnT
7,0.667,0.736,8,-4.643,0,0.0381,0.0837,0.0,0.0902,0.588,123.991,audio_features,1UeCENSr10kUnmdeZxE67C,spotify:track:1UeCENSr10kUnmdeZxE67C,https://api.spotify.com/v1/tracks/1UeCENSr10kUnmdeZxE67C,https://api.spotify.com/v1/audio-analysis/1UeCENSr10kUnmdeZxE67C,170323,4,Siren - Marc Brothers Remix,spotify:track:1UeCENSr10kUnmdeZxE67C,Tokyo Project,6b6w8DXrLFEPxnG4kTqUnT
8,0.53,0.811,8,-6.841,0,0.0474,0.0361,4.58e-05,0.374,0.444,126.473,audio_features,4qaxWBDoL4EDafZtijsJof,spotify:track:4qaxWBDoL4EDafZtijsJof,https://api.spotify.com/v1/tracks/4qaxWBDoL4EDafZtijsJof,https://api.spotify.com/v1/audio-analysis/4qaxWBDoL4EDafZtijsJof,161905,4,Siren - Kplr Remix,spotify:track:4qaxWBDoL4EDafZtijsJof,Tokyo Project,6b6w8DXrLFEPxnG4kTqUnT
9,0.611,0.828,6,-5.23,1,0.0397,0.066,0.0,0.124,0.395,123.038,audio_features,1HvGe2SEDwxCYe2Gu4HmMy,spotify:track:1HvGe2SEDwxCYe2Gu4HmMy,https://api.spotify.com/v1/tracks/1HvGe2SEDwxCYe2Gu4HmMy,https://api.spotify.com/v1/audio-analysis/1HvGe2SEDwxCYe2Gu4HmMy,162927,4,Siren - Nalestar Remix,spotify:track:1HvGe2SEDwxCYe2Gu4HmMy,Tokyo Project,6b6w8DXrLFEPxnG4kTqUnT
10,0.762,0.652,5,-4.532,1,0.171,0.383,0.0,0.0564,0.421,122.948,audio_features,6ppD6jcF44ML34utcHPzuS,spotify:track:6ppD6jcF44ML34utcHPzuS,https://api.spotify.com/v1/tracks/6ppD6jcF44ML34utcHPzuS,https://api.spotify.com/v1/audio-analysis/6ppD6jcF44ML34utcHPzuS,189766,4,Like We Used To,spotify:track:6ppD6jcF44ML34utcHPzuS,Tokyo Project,6b6w8DXrLFEPxnG4kTqUnT
11,0.623,0.905,8,-3.141,0,0.0636,0.533,8.49e-06,0.0804,0.73,125.011,audio_features,3yNogcnFPZnWMzJPQGjvtc,spotify:track:3yNogcnFPZnWMzJPQGjvtc,https://api.spotify.com/v1/tracks/3yNogcnFPZnWMzJPQGjvtc,https://api.spotify.com/v1/audio-analysis/3yNogcnFPZnWMzJPQGjvtc,168960,4,Siren,spotify:track:3yNogcnFPZnWMzJPQGjvtc,Tokyo Project,6b6w8DXrLFEPxnG4kTqUnT
12,0.477,0.593,5,-5.887,0,0.174,0.148,4.21e-05,0.268,0.245,121.046,audio_features,5BlHZXZlzszk9guvT6YcJq,spotify:track:5BlHZXZlzszk9guvT6YcJq,https://api.spotify.com/v1/tracks/5BlHZXZlzszk9guvT6YcJq,https://api.spotify.com/v1/audio-analysis/5BlHZXZlzszk9guvT6YcJq,164571,4,Somebody to Hold,spotify:track:5BlHZXZlzszk9guvT6YcJq,Tokyo Project,6b6w8DXrLFEPxnG4kTqUnT
