,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.543,0.217,7,-15.981,1,0.0334,0.888,0.000102,0.114,0.335,89.638,audio_features,2N0voeWkOgCC78sdQ44Mcr,spotify:track:2N0voeWkOgCC78sdQ44Mcr,https://api.spotify.com/v1/tracks/2N0voeWkOgCC78sdQ44Mcr,https://api.spotify.com/v1/audio-analysis/2N0voeWkOgCC78sdQ44Mcr,166880,4,Grown,spotify:track:2N0voeWkOgCC78sdQ44Mcr,Tom Leeb,35fF6CkBMBkqoebE4lc3GY
1,0.392,0.0981,10,-13.365,0,0.0378,0.962,8.28e-06,0.105,0.215,147.203,audio_features,0DBxyn5NnfuP1GawI2xtkW,spotify:track:0DBxyn5NnfuP1GawI2xtkW,https://api.spotify.com/v1/tracks/0DBxyn5NnfuP1GawI2xtkW,https://api.spotify.com/v1/audio-analysis/0DBxyn5NnfuP1GawI2xtkW,154568,4,Run Away,spotify:track:0DBxyn5NnfuP1GawI2xtkW,Tom Leeb,35fF6CkBMBkqoebE4lc3GY
2,0.518,0.151,7,-15.567,1,0.0475,0.799,0.0,0.336,0.352,130.349,audio_features,1esI0ZmkDwJP0nVDWgKVBM,spotify:track:1esI0ZmkDwJP0nVDWgKVBM,https://api.spotify.com/v1/tracks/1esI0ZmkDwJP0nVDWgKVBM,https://api.spotify.com/v1/audio-analysis/1esI0ZmkDwJP0nVDWgKVBM,260147,4,You Got Something,spotify:track:1esI0ZmkDwJP0nVDWgKVBM,Tom Leeb,35fF6CkBMBkqoebE4lc3GY
3,0.629,0.0935,2,-15.645,1,0.0398,0.881,1.68e-05,0.108,0.327,108.076,audio_features,4VxHezfVmTAnSU9OxKjEWA,spotify:track:4VxHezfVmTAnSU9OxKjEWA,https://api.spotify.com/v1/tracks/4VxHezfVmTAnSU9OxKjEWA,https://api.spotify.com/v1/audio-analysis/4VxHezfVmTAnSU9OxKjEWA,178910,4,Happy Alone,spotify:track:4VxHezfVmTAnSU9OxKjEWA,Tom Leeb,35fF6CkBMBkqoebE4lc3GY
4,0.552,0.119,7,-17.183,1,0.0463,0.821,0.0,0.0932,0.295,122.915,audio_features,5eaPLlS3bSGJ6ecRx7ah9U,spotify:track:5eaPLlS3bSGJ6ecRx7ah9U,https://api.spotify.com/v1/tracks/5eaPLlS3bSGJ6ecRx7ah9U,https://api.spotify.com/v1/audio-analysis/5eaPLlS3bSGJ6ecRx7ah9U,183577,4,Si tu savais,spotify:track:5eaPLlS3bSGJ6ecRx7ah9U,Tom Leeb,35fF6CkBMBkqoebE4lc3GY
5,0.826,0.449,8,-14.141,1,0.118,0.15,5.08e-05,0.198,0.176,111.072,audio_features,7mmcnccdqdnabh2TCLSgd2,spotify:track:7mmcnccdqdnabh2TCLSgd2,https://api.spotify.com/v1/tracks/7mmcnccdqdnabh2TCLSgd2,https://api.spotify.com/v1/audio-analysis/7mmcnccdqdnabh2TCLSgd2,142287,4,Responsible,spotify:track:7mmcnccdqdnabh2TCLSgd2,Tom Leeb,35fF6CkBMBkqoebE4lc3GY
6,0.291,0.0265,2,-21.283,1,0.045,0.977,0.000897,0.108,0.0667,55.355,audio_features,2LG6WyKdPuyI3QZVApYuIx,spotify:track:2LG6WyKdPuyI3QZVApYuIx,https://api.spotify.com/v1/tracks/2LG6WyKdPuyI3QZVApYuIx,https://api.spotify.com/v1/audio-analysis/2LG6WyKdPuyI3QZVApYuIx,257389,4,Maybe I'll Go Back Someday,spotify:track:2LG6WyKdPuyI3QZVApYuIx,Tom Leeb,35fF6CkBMBkqoebE4lc3GY
7,0.613,0.42,0,-9.745,1,0.0336,0.735,0.0,0.112,0.369,139.989,audio_features,5RPhQ58HMqUhHv5Mhe2bYL,spotify:track:5RPhQ58HMqUhHv5Mhe2bYL,https://api.spotify.com/v1/tracks/5RPhQ58HMqUhHv5Mhe2bYL,https://api.spotify.com/v1/audio-analysis/5RPhQ58HMqUhHv5Mhe2bYL,187800,4,The Best in Me,spotify:track:5RPhQ58HMqUhHv5Mhe2bYL,Tom Leeb,35fF6CkBMBkqoebE4lc3GY
8,0.593,0.697,5,-7.651,1,0.0397,0.236,1.52e-06,0.0922,0.427,167.168,audio_features,728JpU0Ybp2MZ9MPFvGyQn,spotify:track:728JpU0Ybp2MZ9MPFvGyQn,https://api.spotify.com/v1/tracks/728JpU0Ybp2MZ9MPFvGyQn,https://api.spotify.com/v1/audio-analysis/728JpU0Ybp2MZ9MPFvGyQn,270053,4,Ashes,spotify:track:728JpU0Ybp2MZ9MPFvGyQn,Tom Leeb,35fF6CkBMBkqoebE4lc3GY
9,0.562,0.428,2,-10.571,1,0.037,0.522,0.0,0.143,0.519,173.171,audio_features,2qIsopfwRJsFyiPfnUky1I,spotify:track:2qIsopfwRJsFyiPfnUky1I,https://api.spotify.com/v1/tracks/2qIsopfwRJsFyiPfnUky1I,https://api.spotify.com/v1/audio-analysis/2qIsopfwRJsFyiPfnUky1I,238320,4,You and I,spotify:track:2qIsopfwRJsFyiPfnUky1I,Tom Leeb,35fF6CkBMBkqoebE4lc3GY
