,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.695,0.46,9,-8.68,1,0.0393,0.248,0.00661,0.52,0.34,77.999,audio_features,7jjt3Cca27toA80bJUKIux,spotify:track:7jjt3Cca27toA80bJUKIux,https://api.spotify.com/v1/tracks/7jjt3Cca27toA80bJUKIux,https://api.spotify.com/v1/audio-analysis/7jjt3Cca27toA80bJUKIux,153523,4,numb,spotify:track:7jjt3Cca27toA80bJUKIux,Tom Odell,2txHhyCwHjUEpJjWrEyqyX
1,0.868,0.582,10,-4.948,1,0.0713,0.423,0.00791,0.105,0.336,109.998,audio_features,2ntDLg7UiG4wqoueO6yDIv,spotify:track:2ntDLg7UiG4wqoueO6yDIv,https://api.spotify.com/v1/tracks/2ntDLg7UiG4wqoueO6yDIv,https://api.spotify.com/v1/audio-analysis/2ntDLg7UiG4wqoueO6yDIv,218289,4,over you yet,spotify:track:2ntDLg7UiG4wqoueO6yDIv,Tom Odell,2txHhyCwHjUEpJjWrEyqyX
2,0.557,0.266,6,-11.867,1,0.518,0.917,0.0,0.587,0.508,95.868,audio_features,1gX6XpRQnZcA1UgZCqUrK1,spotify:track:1gX6XpRQnZcA1UgZCqUrK1,https://api.spotify.com/v1/tracks/1gX6XpRQnZcA1UgZCqUrK1,https://api.spotify.com/v1/audio-analysis/1gX6XpRQnZcA1UgZCqUrK1,98187,4,noise,spotify:track:1gX6XpRQnZcA1UgZCqUrK1,Tom Odell,2txHhyCwHjUEpJjWrEyqyX
3,0.807,0.788,9,-6.043,0,0.109,0.273,0.00104,0.225,0.602,83.016,audio_features,4JfRSWIU24q8cGRdFrcH8p,spotify:track:4JfRSWIU24q8cGRdFrcH8p,https://api.spotify.com/v1/tracks/4JfRSWIU24q8cGRdFrcH8p,https://api.spotify.com/v1/audio-analysis/4JfRSWIU24q8cGRdFrcH8p,176250,4,money,spotify:track:4JfRSWIU24q8cGRdFrcH8p,Tom Odell,2txHhyCwHjUEpJjWrEyqyX
4,0.802,0.531,4,-6.952,1,0.0307,0.623,5.25e-05,0.116,0.517,110.597,audio_features,3L5akPUc3UHTbgfurmdyDf,spotify:track:3L5akPUc3UHTbgfurmdyDf,https://api.spotify.com/v1/tracks/3L5akPUc3UHTbgfurmdyDf,https://api.spotify.com/v1/audio-analysis/3L5akPUc3UHTbgfurmdyDf,204977,4,tears that never dry,spotify:track:3L5akPUc3UHTbgfurmdyDf,Tom Odell,2txHhyCwHjUEpJjWrEyqyX
5,0.799,0.488,5,-6.196,1,0.0381,0.731,0.000217,0.126,0.577,96.976,audio_features,6ezP44vLQ80YlO2nDDjHk5,spotify:track:6ezP44vLQ80YlO2nDDjHk5,https://api.spotify.com/v1/tracks/6ezP44vLQ80YlO2nDDjHk5,https://api.spotify.com/v1/audio-analysis/6ezP44vLQ80YlO2nDDjHk5,139627,4,monster v.2,spotify:track:6ezP44vLQ80YlO2nDDjHk5,Tom Odell,2txHhyCwHjUEpJjWrEyqyX
6,0.778,0.467,3,-10.062,1,0.195,0.925,0.84,0.0792,0.353,118.928,audio_features,4L2KY5ruvvvGq9acHUhYNF,spotify:track:4L2KY5ruvvvGq9acHUhYNF,https://api.spotify.com/v1/tracks/4L2KY5ruvvvGq9acHUhYNF,https://api.spotify.com/v1/audio-analysis/4L2KY5ruvvvGq9acHUhYNF,116507,4,lockdown,spotify:track:4L2KY5ruvvvGq9acHUhYNF,Tom Odell,2txHhyCwHjUEpJjWrEyqyX
7,0.628,0.578,3,-4.374,1,0.0441,0.51,8.13e-05,0.162,0.277,125.12,audio_features,6tO3JEDUwaXCtTi9BL6vNK,spotify:track:6tO3JEDUwaXCtTi9BL6vNK,https://api.spotify.com/v1/tracks/6tO3JEDUwaXCtTi9BL6vNK,https://api.spotify.com/v1/audio-analysis/6tO3JEDUwaXCtTi9BL6vNK,187440,4,lose you again,spotify:track:6tO3JEDUwaXCtTi9BL6vNK,Tom Odell,2txHhyCwHjUEpJjWrEyqyX
8,0.764,0.599,11,-6.208,1,0.242,0.317,0.000116,0.313,0.799,160.973,audio_features,3tvfqBpAnNYzguAe7PkSI8,spotify:track:3tvfqBpAnNYzguAe7PkSI8,https://api.spotify.com/v1/tracks/3tvfqBpAnNYzguAe7PkSI8,https://api.spotify.com/v1/audio-analysis/3tvfqBpAnNYzguAe7PkSI8,159733,4,fighting fire with fire,spotify:track:3tvfqBpAnNYzguAe7PkSI8,Tom Odell,2txHhyCwHjUEpJjWrEyqyX
9,0.695,0.546,6,-11.675,1,0.284,0.713,0.393,0.188,0.67,173.555,audio_features,7v8PKfPbS6dDVxCkXfGIHE,spotify:track:7v8PKfPbS6dDVxCkXfGIHE,https://api.spotify.com/v1/tracks/7v8PKfPbS6dDVxCkXfGIHE,https://api.spotify.com/v1/audio-analysis/7v8PKfPbS6dDVxCkXfGIHE,39209,4,problems,spotify:track:7v8PKfPbS6dDVxCkXfGIHE,Tom Odell,2txHhyCwHjUEpJjWrEyqyX
