,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.478,0.494,11,-13.421,1,0.0268,0.539,0.865,0.384,0.466,96.749,audio_features,1OaaIAC1xbkMfL10OIkZrv,spotify:track:1OaaIAC1xbkMfL10OIkZrv,https://api.spotify.com/v1/tracks/1OaaIAC1xbkMfL10OIkZrv,https://api.spotify.com/v1/audio-analysis/1OaaIAC1xbkMfL10OIkZrv,459375,4,In This Life,spotify:track:1OaaIAC1xbkMfL10OIkZrv,Uni Ika Ai,56MfyFQ5VAUiP3CPZ43jnC
1,0.413,0.41,9,-11.124,1,0.0279,0.0816,0.0036,0.334,0.405,169.982,audio_features,6hkXsSaMZEhYyYX7bi0eIE,spotify:track:6hkXsSaMZEhYyYX7bi0eIE,https://api.spotify.com/v1/tracks/6hkXsSaMZEhYyYX7bi0eIE,https://api.spotify.com/v1/audio-analysis/6hkXsSaMZEhYyYX7bi0eIE,311417,3,Soft in Ice,spotify:track:6hkXsSaMZEhYyYX7bi0eIE,Uni Ika Ai,56MfyFQ5VAUiP3CPZ43jnC
2,0.477,0.454,11,-10.573,1,0.0306,0.585,0.578,0.115,0.143,128.013,audio_features,0vd5qEqqxMcxi6i2lTt5kL,spotify:track:0vd5qEqqxMcxi6i2lTt5kL,https://api.spotify.com/v1/tracks/0vd5qEqqxMcxi6i2lTt5kL,https://api.spotify.com/v1/audio-analysis/0vd5qEqqxMcxi6i2lTt5kL,434795,4,Already Dead,spotify:track:0vd5qEqqxMcxi6i2lTt5kL,Uni Ika Ai,56MfyFQ5VAUiP3CPZ43jnC
3,0.387,0.265,0,-16.768,1,0.0749,0.177,0.505,0.222,0.213,97.029,audio_features,2uvN7u0HC9PDANCkM5gmDo,spotify:track:2uvN7u0HC9PDANCkM5gmDo,https://api.spotify.com/v1/tracks/2uvN7u0HC9PDANCkM5gmDo,https://api.spotify.com/v1/audio-analysis/2uvN7u0HC9PDANCkM5gmDo,333057,4,Hera,spotify:track:2uvN7u0HC9PDANCkM5gmDo,Uni Ika Ai,56MfyFQ5VAUiP3CPZ43jnC
4,0.502,0.532,0,-11.473,1,0.0314,0.671,0.0638,0.275,0.311,133.021,audio_features,55VsQeD23u8UWp8a4XOj96,spotify:track:55VsQeD23u8UWp8a4XOj96,https://api.spotify.com/v1/tracks/55VsQeD23u8UWp8a4XOj96,https://api.spotify.com/v1/audio-analysis/55VsQeD23u8UWp8a4XOj96,201681,4,Make You Better,spotify:track:55VsQeD23u8UWp8a4XOj96,Uni Ika Ai,56MfyFQ5VAUiP3CPZ43jnC
5,0.399,0.467,0,-11.675,1,0.0376,0.437,0.659,0.371,0.0979,119.702,audio_features,77xNPZVHQjzjG9bZ9VFn1E,spotify:track:77xNPZVHQjzjG9bZ9VFn1E,https://api.spotify.com/v1/tracks/77xNPZVHQjzjG9bZ9VFn1E,https://api.spotify.com/v1/audio-analysis/77xNPZVHQjzjG9bZ9VFn1E,316523,4,Mexico,spotify:track:77xNPZVHQjzjG9bZ9VFn1E,Uni Ika Ai,56MfyFQ5VAUiP3CPZ43jnC
6,0.495,0.135,0,-17.364,1,0.0324,0.961,0.0161,0.0882,0.158,124.661,audio_features,2O4lnnoZ2y4oGxOqriF9Yc,spotify:track:2O4lnnoZ2y4oGxOqriF9Yc,https://api.spotify.com/v1/tracks/2O4lnnoZ2y4oGxOqriF9Yc,https://api.spotify.com/v1/audio-analysis/2O4lnnoZ2y4oGxOqriF9Yc,488757,4,Wrinkle Away,spotify:track:2O4lnnoZ2y4oGxOqriF9Yc,Uni Ika Ai,56MfyFQ5VAUiP3CPZ43jnC
7,0.275,0.232,2,-21.335,0,0.0416,0.829,0.92,0.0971,0.0337,117.421,audio_features,2LGCUrENYuUIZGc6Pdw4uf,spotify:track:2LGCUrENYuUIZGc6Pdw4uf,https://api.spotify.com/v1/tracks/2LGCUrENYuUIZGc6Pdw4uf,https://api.spotify.com/v1/audio-analysis/2LGCUrENYuUIZGc6Pdw4uf,434992,1,Zen Squid,spotify:track:2LGCUrENYuUIZGc6Pdw4uf,Uni Ika Ai,56MfyFQ5VAUiP3CPZ43jnC
8,0.505,0.705,10,-9.707,1,0.0333,0.018,0.01,0.246,0.512,105.507,audio_features,3XFUULKjAQcO6D4QbXGesd,spotify:track:3XFUULKjAQcO6D4QbXGesd,https://api.spotify.com/v1/tracks/3XFUULKjAQcO6D4QbXGesd,https://api.spotify.com/v1/audio-analysis/3XFUULKjAQcO6D4QbXGesd,323758,4,In This Life - The Wild Honey Pie Buzzsession,spotify:track:3XFUULKjAQcO6D4QbXGesd,Uni Ika Ai,56MfyFQ5VAUiP3CPZ43jnC
9,0.332,0.671,6,-7.866,0,0.0392,0.0109,6.56e-06,0.274,0.352,94.366,audio_features,0T4DZcRqbjlHpYslTntNdw,spotify:track:0T4DZcRqbjlHpYslTntNdw,https://api.spotify.com/v1/tracks/0T4DZcRqbjlHpYslTntNdw,https://api.spotify.com/v1/audio-analysis/0T4DZcRqbjlHpYslTntNdw,278329,3,Soft In Ice - The Wild Honey Pie Buzzsession,spotify:track:0T4DZcRqbjlHpYslTntNdw,Uni Ika Ai,56MfyFQ5VAUiP3CPZ43jnC
