,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.523,0.297,11,-25.801,1,0.174,0.996,0.96,0.207,0.0384,120.663,audio_features,38oq1qKlt4mBxrV6lx8el0,spotify:track:38oq1qKlt4mBxrV6lx8el0,https://api.spotify.com/v1/tracks/38oq1qKlt4mBxrV6lx8el0,https://api.spotify.com/v1/audio-analysis/38oq1qKlt4mBxrV6lx8el0,33408,4,Message From Mount Alda - Pt. I,spotify:track:38oq1qKlt4mBxrV6lx8el0,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
1,0.534,0.764,8,-4.671,1,0.0475,0.000368,4.01e-06,0.0876,0.307,117.92,audio_features,0L41AwgseWUhOFBSQPOVCy,spotify:track:0L41AwgseWUhOFBSQPOVCy,https://api.spotify.com/v1/tracks/0L41AwgseWUhOFBSQPOVCy,https://api.spotify.com/v1/audio-analysis/0L41AwgseWUhOFBSQPOVCy,212101,4,Suddenly,spotify:track:0L41AwgseWUhOFBSQPOVCy,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
2,0.563,0.912,0,-4.411,1,0.0421,0.00229,0.0088,0.17,0.624,135.956,audio_features,1zaKYpBtzhxdyUzgO6CETG,spotify:track:1zaKYpBtzhxdyUzgO6CETG,https://api.spotify.com/v1/tracks/1zaKYpBtzhxdyUzgO6CETG,https://api.spotify.com/v1/audio-analysis/1zaKYpBtzhxdyUzgO6CETG,202041,4,Always,spotify:track:1zaKYpBtzhxdyUzgO6CETG,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
3,0.302,0.856,0,-5.423,1,0.112,0.0327,3.2e-05,0.136,0.506,149.621,audio_features,79pCe0ZvPfLazsfOg5SRVf,spotify:track:79pCe0ZvPfLazsfOg5SRVf,https://api.spotify.com/v1/tracks/79pCe0ZvPfLazsfOg5SRVf,https://api.spotify.com/v1/audio-analysis/79pCe0ZvPfLazsfOg5SRVf,188658,4,Thunder,spotify:track:79pCe0ZvPfLazsfOg5SRVf,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
4,0.517,0.935,11,-5.872,0,0.0662,0.0248,0.0448,0.33,0.541,139.987,audio_features,0B53eamdEb98kEewWzEFKZ,spotify:track:0B53eamdEb98kEewWzEFKZ,https://api.spotify.com/v1/tracks/0B53eamdEb98kEewWzEFKZ,https://api.spotify.com/v1/audio-analysis/0B53eamdEb98kEewWzEFKZ,190434,4,Back Before You Know It,spotify:track:0B53eamdEb98kEewWzEFKZ,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
5,0.332,0.371,0,-7.445,1,0.0273,0.129,0.0118,0.108,0.232,104.225,audio_features,3lCNZSLRgib8Lkw2XQsFqm,spotify:track:3lCNZSLRgib8Lkw2XQsFqm,https://api.spotify.com/v1/tracks/3lCNZSLRgib8Lkw2XQsFqm,https://api.spotify.com/v1/audio-analysis/3lCNZSLRgib8Lkw2XQsFqm,288597,4,Daughter Of A Rifleman,spotify:track:3lCNZSLRgib8Lkw2XQsFqm,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
6,0.704,0.723,7,-7.183,0,0.0267,0.337,0.0015,0.341,0.739,100.012,audio_features,5zLqQdhsLFVKr4On6PNDTO,spotify:track:5zLqQdhsLFVKr4On6PNDTO,https://api.spotify.com/v1/tracks/5zLqQdhsLFVKr4On6PNDTO,https://api.spotify.com/v1/audio-analysis/5zLqQdhsLFVKr4On6PNDTO,211421,4,Sweet Escape,spotify:track:5zLqQdhsLFVKr4On6PNDTO,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
7,0.699,0.881,8,-5.414,0,0.0726,0.000172,0.0521,0.194,0.698,131.006,audio_features,6aEWR6gbNkb4g2Kkb2lNGC,spotify:track:6aEWR6gbNkb4g2Kkb2lNGC,https://api.spotify.com/v1/tracks/6aEWR6gbNkb4g2Kkb2lNGC,https://api.spotify.com/v1/audio-analysis/6aEWR6gbNkb4g2Kkb2lNGC,199617,4,Big Hearted,spotify:track:6aEWR6gbNkb4g2Kkb2lNGC,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
8,0.37,0.845,4,-5.577,0,0.0529,0.000537,0.232,0.179,0.799,137.626,audio_features,0uQPFA6w1QeXmyHYlOYbDo,spotify:track:0uQPFA6w1QeXmyHYlOYbDo,https://api.spotify.com/v1/tracks/0uQPFA6w1QeXmyHYlOYbDo,https://api.spotify.com/v1/audio-analysis/0uQPFA6w1QeXmyHYlOYbDo,225175,4,Shine Shine,spotify:track:0uQPFA6w1QeXmyHYlOYbDo,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
9,0.59,0.332,11,-20.473,1,0.1,0.991,0.763,0.094,0.165,125.95,audio_features,6i4qoaB48qigMBRL56rF0g,spotify:track:6i4qoaB48qigMBRL56rF0g,https://api.spotify.com/v1/tracks/6i4qoaB48qigMBRL56rF0g,https://api.spotify.com/v1/audio-analysis/6i4qoaB48qigMBRL56rF0g,16226,5,Message From Mount Alda - Pt. II,spotify:track:6i4qoaB48qigMBRL56rF0g,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
10,0.401,0.709,8,-3.649,1,0.0312,0.0104,0.0158,0.0861,0.306,140.362,audio_features,1MjmBPDjTZv0sRYKHF0XM0,spotify:track:1MjmBPDjTZv0sRYKHF0XM0,https://api.spotify.com/v1/tracks/1MjmBPDjTZv0sRYKHF0XM0,https://api.spotify.com/v1/audio-analysis/1MjmBPDjTZv0sRYKHF0XM0,255894,4,People Like Us,spotify:track:1MjmBPDjTZv0sRYKHF0XM0,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
11,0.324,0.0658,7,-17.95,1,0.0425,0.901,0.000143,0.0952,0.0371,126.447,audio_features,1cDx06mCYPWY61KdjBntL7,spotify:track:1cDx06mCYPWY61KdjBntL7,https://api.spotify.com/v1/tracks/1cDx06mCYPWY61KdjBntL7,https://api.spotify.com/v1/audio-analysis/1cDx06mCYPWY61KdjBntL7,92947,3,One Eternal Being,spotify:track:1cDx06mCYPWY61KdjBntL7,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
12,0.498,0.829,11,-4.844,0,0.0347,0.000767,4.61e-05,0.0921,0.583,79.984,audio_features,47UC2RUN3d2FVgQaF4I42v,spotify:track:47UC2RUN3d2FVgQaF4I42v,https://api.spotify.com/v1/tracks/47UC2RUN3d2FVgQaF4I42v,https://api.spotify.com/v1/audio-analysis/47UC2RUN3d2FVgQaF4I42v,282067,4,Darkest Before The Dawn,spotify:track:47UC2RUN3d2FVgQaF4I42v,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
13,0.588,0.826,3,-5.52,1,0.0276,0.00296,0.0,0.167,0.784,125.97,audio_features,5dbG21QwToBiwgt0aZnzRi,spotify:track:5dbG21QwToBiwgt0aZnzRi,https://api.spotify.com/v1/tracks/5dbG21QwToBiwgt0aZnzRi,https://api.spotify.com/v1/audio-analysis/5dbG21QwToBiwgt0aZnzRi,211360,4,Since 99,spotify:track:5dbG21QwToBiwgt0aZnzRi,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
14,0.483,0.576,5,-8.298,0,0.0342,0.29,0.000383,0.108,0.345,137.092,audio_features,7FW5m5TX7Z0ql49YNgWiqk,spotify:track:7FW5m5TX7Z0ql49YNgWiqk,https://api.spotify.com/v1/tracks/7FW5m5TX7Z0ql49YNgWiqk,https://api.spotify.com/v1/audio-analysis/7FW5m5TX7Z0ql49YNgWiqk,217760,4,Hurts To Be Hurt,spotify:track:7FW5m5TX7Z0ql49YNgWiqk,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
15,0.315,0.447,0,-13.347,0,0.0421,0.946,0.000739,0.529,0.546,104.253,audio_features,5xnTk5PpbIZuU2ypYnxeC6,spotify:track:5xnTk5PpbIZuU2ypYnxeC6,https://api.spotify.com/v1/tracks/5xnTk5PpbIZuU2ypYnxeC6,https://api.spotify.com/v1/audio-analysis/5xnTk5PpbIZuU2ypYnxeC6,35080,1,Nothing Changes,spotify:track:5xnTk5PpbIZuU2ypYnxeC6,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
16,0.595,0.785,0,-5.367,0,0.027,0.061,0.0,0.197,0.718,133.919,audio_features,08zlGMGA6wJ9sqoz8dqtq4,spotify:track:08zlGMGA6wJ9sqoz8dqtq4,https://api.spotify.com/v1/tracks/08zlGMGA6wJ9sqoz8dqtq4,https://api.spotify.com/v1/audio-analysis/08zlGMGA6wJ9sqoz8dqtq4,204280,4,Forgot To Be Your Lover,spotify:track:08zlGMGA6wJ9sqoz8dqtq4,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
17,0.511,0.411,0,-21.713,1,0.0622,0.936,0.895,0.523,0.882,89.884,audio_features,3fLqdM6H7DYP4BI9hspuvJ,spotify:track:3fLqdM6H7DYP4BI9hspuvJ,https://api.spotify.com/v1/tracks/3fLqdM6H7DYP4BI9hspuvJ,https://api.spotify.com/v1/audio-analysis/3fLqdM6H7DYP4BI9hspuvJ,15693,3,Prisoners,spotify:track:3fLqdM6H7DYP4BI9hspuvJ,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
18,0.454,0.794,4,-4.369,0,0.0318,0.246,0.00158,0.238,0.593,147.981,audio_features,54dNc125ftlE9GLdYabJqG,spotify:track:54dNc125ftlE9GLdYabJqG,https://api.spotify.com/v1/tracks/54dNc125ftlE9GLdYabJqG,https://api.spotify.com/v1/audio-analysis/54dNc125ftlE9GLdYabJqG,221120,4,Back To You,spotify:track:54dNc125ftlE9GLdYabJqG,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
19,0.473,0.621,6,-4.298,0,0.0305,0.183,7.31e-05,0.149,0.32,129.834,audio_features,3eUzii3Nhcg1sFaouzoeM3,spotify:track:3eUzii3Nhcg1sFaouzoeM3,https://api.spotify.com/v1/tracks/3eUzii3Nhcg1sFaouzoeM3,https://api.spotify.com/v1/audio-analysis/3eUzii3Nhcg1sFaouzoeM3,300347,4,Somebody That Understands Me,spotify:track:3eUzii3Nhcg1sFaouzoeM3,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
20,0.771,0.936,4,-4.373,0,0.0406,0.00872,0.0885,0.222,0.962,119.981,audio_features,1nu5OqEBP4vESjtMmCcpvK,spotify:track:1nu5OqEBP4vESjtMmCcpvK,https://api.spotify.com/v1/tracks/1nu5OqEBP4vESjtMmCcpvK,https://api.spotify.com/v1/audio-analysis/1nu5OqEBP4vESjtMmCcpvK,239600,4,Pick It Up,spotify:track:1nu5OqEBP4vESjtMmCcpvK,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
21,0.145,0.746,5,-8.008,1,0.0443,0.000615,0.78,0.377,0.401,141.899,audio_features,3anrdW9bLSOdLxTYN5omnT,spotify:track:3anrdW9bLSOdLxTYN5omnT,https://api.spotify.com/v1/tracks/3anrdW9bLSOdLxTYN5omnT,https://api.spotify.com/v1/audio-analysis/3anrdW9bLSOdLxTYN5omnT,84813,4,Freedom Dividend,spotify:track:3anrdW9bLSOdLxTYN5omnT,Vargas & Lagola,2fVW2ix4ANKiofDZIsy1XR
