,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.716,0.461,7,-11.478,0,0.0324,0.589,0.0518,0.107,0.205,119.998,audio_features,3pMyZztzU35UqFtlUtbICr,spotify:track:3pMyZztzU35UqFtlUtbICr,https://api.spotify.com/v1/tracks/3pMyZztzU35UqFtlUtbICr,https://api.spotify.com/v1/audio-analysis/3pMyZztzU35UqFtlUtbICr,280000,4,The Tide,spotify:track:3pMyZztzU35UqFtlUtbICr,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
1,0.704,0.811,2,-7.262,0,0.053,0.0175,0.545,0.103,0.146,125.986,audio_features,0a3u91JhK1YYbTwmkjwmHC,spotify:track:0a3u91JhK1YYbTwmkjwmHC,https://api.spotify.com/v1/tracks/0a3u91JhK1YYbTwmkjwmHC,https://api.spotify.com/v1/audio-analysis/0a3u91JhK1YYbTwmkjwmHC,357143,4,Open Space,spotify:track:0a3u91JhK1YYbTwmkjwmHC,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
2,0.62,0.639,6,-12.064,1,0.0348,0.0601,0.334,0.11,0.0593,121.998,audio_features,6MBZUjQ1OYI4Co4nWme5ug,spotify:track:6MBZUjQ1OYI4Co4nWme5ug,https://api.spotify.com/v1/tracks/6MBZUjQ1OYI4Co4nWme5ug,https://api.spotify.com/v1/audio-analysis/6MBZUjQ1OYI4Co4nWme5ug,385574,4,How Can I Let Go,spotify:track:6MBZUjQ1OYI4Co4nWme5ug,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
3,0.782,0.741,1,-7.938,0,0.0436,0.0418,0.6,0.0963,0.412,123.968,audio_features,6YtOYgFjeKfkQJOCLSE6cO,spotify:track:6YtOYgFjeKfkQJOCLSE6cO,https://api.spotify.com/v1/tracks/6YtOYgFjeKfkQJOCLSE6cO,https://api.spotify.com/v1/audio-analysis/6YtOYgFjeKfkQJOCLSE6cO,201290,4,Who Forgives Us - Radio Edit,spotify:track:6YtOYgFjeKfkQJOCLSE6cO,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
4,0.82,0.715,6,-8.098,0,0.0473,0.0423,0.64,0.279,0.526,124.005,audio_features,3QJXkMM8Sn67UEOFFhqZ68,spotify:track:3QJXkMM8Sn67UEOFFhqZ68,https://api.spotify.com/v1/tracks/3QJXkMM8Sn67UEOFFhqZ68,https://api.spotify.com/v1/audio-analysis/3QJXkMM8Sn67UEOFFhqZ68,358064,4,Who Forgives Us,spotify:track:3QJXkMM8Sn67UEOFFhqZ68,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
5,0.772,0.547,8,-8.892,0,0.0643,0.101,0.737,0.0735,0.2,122.012,audio_features,4FJBJ8VMTnCjwyshRQNB8t,spotify:track:4FJBJ8VMTnCjwyshRQNB8t,https://api.spotify.com/v1/tracks/4FJBJ8VMTnCjwyshRQNB8t,https://api.spotify.com/v1/audio-analysis/4FJBJ8VMTnCjwyshRQNB8t,352254,4,Opposite Of Sadness - Club Remix,spotify:track:4FJBJ8VMTnCjwyshRQNB8t,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
6,0.673,0.737,9,-9.473,0,0.035,0.0918,0.662,0.152,0.61,122.007,audio_features,2c3prh9BExAIyDTpJ2B57m,spotify:track:2c3prh9BExAIyDTpJ2B57m,https://api.spotify.com/v1/tracks/2c3prh9BExAIyDTpJ2B57m,https://api.spotify.com/v1/audio-analysis/2c3prh9BExAIyDTpJ2B57m,239508,4,Dawn Of Truth - David Bay Remix,spotify:track:2c3prh9BExAIyDTpJ2B57m,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
7,0.764,0.766,6,-9.148,0,0.0402,0.0233,0.575,0.112,0.414,121.995,audio_features,3R3OYD2T8IR3BAYfCpBgdP,spotify:track:3R3OYD2T8IR3BAYfCpBgdP,https://api.spotify.com/v1/tracks/3R3OYD2T8IR3BAYfCpBgdP,https://api.spotify.com/v1/audio-analysis/3R3OYD2T8IR3BAYfCpBgdP,366025,4,Symmetry - Club Remix,spotify:track:3R3OYD2T8IR3BAYfCpBgdP,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
8,0.709,0.624,11,-11.064,0,0.0345,0.249,0.0535,0.225,0.33,120.507,audio_features,7q1r70zfBxoQh3VGQMHprg,spotify:track:7q1r70zfBxoQh3VGQMHprg,https://api.spotify.com/v1/tracks/7q1r70zfBxoQh3VGQMHprg,https://api.spotify.com/v1/audio-analysis/7q1r70zfBxoQh3VGQMHprg,262687,4,Symmetry,spotify:track:7q1r70zfBxoQh3VGQMHprg,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
9,0.625,0.595,6,-10.571,0,0.0934,0.0129,0.00241,0.248,0.477,120.46,audio_features,075eSjNGZvQAqTvtcAi0yB,spotify:track:075eSjNGZvQAqTvtcAi0yB,https://api.spotify.com/v1/tracks/075eSjNGZvQAqTvtcAi0yB,https://api.spotify.com/v1/audio-analysis/075eSjNGZvQAqTvtcAi0yB,246886,3,Symmetry - Rodriguez Jr. Remix Edit,spotify:track:075eSjNGZvQAqTvtcAi0yB,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
10,0.642,0.63,6,-11.379,0,0.0588,0.0232,0.0642,0.0842,0.49,120.512,audio_features,4Q85WCIgKcJODalsgJ96Bd,spotify:track:4Q85WCIgKcJODalsgJ96Bd,https://api.spotify.com/v1/tracks/4Q85WCIgKcJODalsgJ96Bd,https://api.spotify.com/v1/audio-analysis/4Q85WCIgKcJODalsgJ96Bd,373381,4,Symmetry - Rodriguez Jr. Remix,spotify:track:4Q85WCIgKcJODalsgJ96Bd,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
11,0.616,0.662,6,-9.241,0,0.0521,0.167,0.00027,0.348,0.38,120.498,audio_features,4gkNtEYNYQ13YRXinTorQ9,spotify:track:4gkNtEYNYQ13YRXinTorQ9,https://api.spotify.com/v1/tracks/4gkNtEYNYQ13YRXinTorQ9,https://api.spotify.com/v1/audio-analysis/4gkNtEYNYQ13YRXinTorQ9,217220,4,Symmetry - Jochen Naaf Version,spotify:track:4gkNtEYNYQ13YRXinTorQ9,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
12,0.709,0.624,11,-11.064,0,0.0345,0.249,0.0535,0.225,0.33,120.507,audio_features,6neTi1hddaXOKgDFdwzNvu,spotify:track:6neTi1hddaXOKgDFdwzNvu,https://api.spotify.com/v1/tracks/6neTi1hddaXOKgDFdwzNvu,https://api.spotify.com/v1/audio-analysis/6neTi1hddaXOKgDFdwzNvu,262687,4,Symmetry,spotify:track:6neTi1hddaXOKgDFdwzNvu,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
13,0.778,0.536,8,-10.926,1,0.0444,0.00179,0.759,0.12,0.125,122.013,audio_features,0w677ORee6Hv8apwtIBFyx,spotify:track:0w677ORee6Hv8apwtIBFyx,https://api.spotify.com/v1/tracks/0w677ORee6Hv8apwtIBFyx,https://api.spotify.com/v1/audio-analysis/0w677ORee6Hv8apwtIBFyx,444713,4,Undone - Ron Flatter Remix,spotify:track:0w677ORee6Hv8apwtIBFyx,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
14,0.692,0.474,1,-14.653,1,0.0623,0.446,0.782,0.446,0.212,120.029,audio_features,0xdv2pSMwwOjUJFieQjKBu,spotify:track:0xdv2pSMwwOjUJFieQjKBu,https://api.spotify.com/v1/tracks/0xdv2pSMwwOjUJFieQjKBu,https://api.spotify.com/v1/audio-analysis/0xdv2pSMwwOjUJFieQjKBu,244021,4,Undone - Aparde Remix,spotify:track:0xdv2pSMwwOjUJFieQjKBu,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
15,0.616,0.724,9,-12.503,0,0.0367,0.564,0.842,0.11,0.0794,120.018,audio_features,53nTUhiYCGceNJB8wbUzXI,spotify:track:53nTUhiYCGceNJB8wbUzXI,https://api.spotify.com/v1/tracks/53nTUhiYCGceNJB8wbUzXI,https://api.spotify.com/v1/audio-analysis/53nTUhiYCGceNJB8wbUzXI,292146,4,Dawn Of Truth - Fejká Remix,spotify:track:53nTUhiYCGceNJB8wbUzXI,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
16,0.557,0.8,10,-10.573,1,0.0322,0.00151,0.847,0.102,0.242,122.001,audio_features,0fz8uK5GuDnpWVuay7BWKw,spotify:track:0fz8uK5GuDnpWVuay7BWKw,https://api.spotify.com/v1/tracks/0fz8uK5GuDnpWVuay7BWKw,https://api.spotify.com/v1/audio-analysis/0fz8uK5GuDnpWVuay7BWKw,414125,4,Undone - Monkey Safari Remix,spotify:track:0fz8uK5GuDnpWVuay7BWKw,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
17,0.779,0.579,9,-11.761,0,0.0564,0.545,0.395,0.0986,0.419,122.025,audio_features,7Cmi5n9512L9g9GQfvJR1L,spotify:track:7Cmi5n9512L9g9GQfvJR1L,https://api.spotify.com/v1/tracks/7Cmi5n9512L9g9GQfvJR1L,https://api.spotify.com/v1/audio-analysis/7Cmi5n9512L9g9GQfvJR1L,272459,4,Dawn Of Truth,spotify:track:7Cmi5n9512L9g9GQfvJR1L,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
18,0.778,0.528,11,-13.939,0,0.0497,0.0757,0.136,0.383,0.217,123.989,audio_features,5pHCS357KbV4Cyv855XXHN,spotify:track:5pHCS357KbV4Cyv855XXHN,https://api.spotify.com/v1/tracks/5pHCS357KbV4Cyv855XXHN,https://api.spotify.com/v1/audio-analysis/5pHCS357KbV4Cyv855XXHN,309677,4,While The City Sleeps,spotify:track:5pHCS357KbV4Cyv855XXHN,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
19,0.878,0.523,2,-10.99,1,0.152,0.209,0.841,0.0881,0.607,125.007,audio_features,41agC3wkuL4zPbEoujxM8L,spotify:track:41agC3wkuL4zPbEoujxM8L,https://api.spotify.com/v1/tracks/41agC3wkuL4zPbEoujxM8L,https://api.spotify.com/v1/audio-analysis/41agC3wkuL4zPbEoujxM8L,387360,4,Complicated - Club Remix,spotify:track:41agC3wkuL4zPbEoujxM8L,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
20,0.403,0.351,9,-12.461,0,0.0442,0.943,0.0498,0.108,0.112,140.233,audio_features,1QIHMYyle8Tgk6kA2V7lo4,spotify:track:1QIHMYyle8Tgk6kA2V7lo4,https://api.spotify.com/v1/tracks/1QIHMYyle8Tgk6kA2V7lo4,https://api.spotify.com/v1/audio-analysis/1QIHMYyle8Tgk6kA2V7lo4,217286,4,Complicated,spotify:track:1QIHMYyle8Tgk6kA2V7lo4,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
21,0.735,0.605,1,-10.411,1,0.0583,0.221,0.298,0.0965,0.627,122.003,audio_features,55lFHmln3ZnRINS6VcCfIo,spotify:track:55lFHmln3ZnRINS6VcCfIo,https://api.spotify.com/v1/tracks/55lFHmln3ZnRINS6VcCfIo,https://api.spotify.com/v1/audio-analysis/55lFHmln3ZnRINS6VcCfIo,255000,4,Undone,spotify:track:55lFHmln3ZnRINS6VcCfIo,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
22,0.403,0.351,9,-12.461,0,0.0442,0.943,0.0498,0.108,0.112,140.233,audio_features,2Kv2bHDrw52cHBm2x2BKrj,spotify:track:2Kv2bHDrw52cHBm2x2BKrj,https://api.spotify.com/v1/tracks/2Kv2bHDrw52cHBm2x2BKrj,https://api.spotify.com/v1/audio-analysis/2Kv2bHDrw52cHBm2x2BKrj,217286,4,Complicated,spotify:track:2Kv2bHDrw52cHBm2x2BKrj,Verboten Berlin,6RNhl0w2Lfem0Xjy3l0LKX
