,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.63,0.753,8,-8.399,1,0.0386,0.000376,0.774,0.106,0.275,108.04,audio_features,6kaG6K9Zn8eRCPMhJZTvXh,spotify:track:6kaG6K9Zn8eRCPMhJZTvXh,https://api.spotify.com/v1/tracks/6kaG6K9Zn8eRCPMhJZTvXh,https://api.spotify.com/v1/audio-analysis/6kaG6K9Zn8eRCPMhJZTvXh,121527,4,Dystopian Vision,spotify:track:6kaG6K9Zn8eRCPMhJZTvXh,Voicians,5DNApAt05XowaylsOJo1eW
1,0.434,0.854,7,-9.04,0,0.0337,0.00306,0.776,0.271,0.59,152.007,audio_features,6zXTDRtT5paBBdBb5mZDUq,spotify:track:6zXTDRtT5paBBdBb5mZDUq,https://api.spotify.com/v1/tracks/6zXTDRtT5paBBdBb5mZDUq,https://api.spotify.com/v1/audio-analysis/6zXTDRtT5paBBdBb5mZDUq,135883,4,Sinister Aggression,spotify:track:6zXTDRtT5paBBdBb5mZDUq,Voicians,5DNApAt05XowaylsOJo1eW
2,0.711,0.743,1,-8.152,1,0.0394,5.82e-05,0.859,0.0653,0.315,103.974,audio_features,5IzyDB6zUL9U7Y7g3SJHiv,spotify:track:5IzyDB6zUL9U7Y7g3SJHiv,https://api.spotify.com/v1/tracks/5IzyDB6zUL9U7Y7g3SJHiv,https://api.spotify.com/v1/audio-analysis/5IzyDB6zUL9U7Y7g3SJHiv,151973,4,Future Lab,spotify:track:5IzyDB6zUL9U7Y7g3SJHiv,Voicians,5DNApAt05XowaylsOJo1eW
3,0.61,0.868,11,-9.992,0,0.0449,0.124,0.974,0.347,0.654,118.016,audio_features,0n5eiPf57mLMSHrtrn7Waf,spotify:track:0n5eiPf57mLMSHrtrn7Waf,https://api.spotify.com/v1/tracks/0n5eiPf57mLMSHrtrn7Waf,https://api.spotify.com/v1/audio-analysis/0n5eiPf57mLMSHrtrn7Waf,105025,4,Street Hustle,spotify:track:0n5eiPf57mLMSHrtrn7Waf,Voicians,5DNApAt05XowaylsOJo1eW
4,0.651,0.81,10,-6.907,1,0.0306,4.51e-05,0.89,0.33,0.796,129.976,audio_features,2UOvSm4G854P9kwmPtqY2v,spotify:track:2UOvSm4G854P9kwmPtqY2v,https://api.spotify.com/v1/tracks/2UOvSm4G854P9kwmPtqY2v,https://api.spotify.com/v1/audio-analysis/2UOvSm4G854P9kwmPtqY2v,154078,4,Million Lives,spotify:track:2UOvSm4G854P9kwmPtqY2v,Voicians,5DNApAt05XowaylsOJo1eW
5,0.564,0.799,7,-7.853,1,0.0369,0.000139,0.904,0.364,0.24,99.986,audio_features,3wceIOidvYIEwCP0QrXOKI,spotify:track:3wceIOidvYIEwCP0QrXOKI,https://api.spotify.com/v1/tracks/3wceIOidvYIEwCP0QrXOKI,https://api.spotify.com/v1/audio-analysis/3wceIOidvYIEwCP0QrXOKI,139746,4,City Drama,spotify:track:3wceIOidvYIEwCP0QrXOKI,Voicians,5DNApAt05XowaylsOJo1eW
6,0.671,0.562,1,-10.504,1,0.0309,0.0055,0.826,0.11,0.232,93.01,audio_features,5AXE2C8uvc0mr9ToBarshW,spotify:track:5AXE2C8uvc0mr9ToBarshW,https://api.spotify.com/v1/tracks/5AXE2C8uvc0mr9ToBarshW,https://api.spotify.com/v1/audio-analysis/5AXE2C8uvc0mr9ToBarshW,117951,4,Hopeful Investigation,spotify:track:5AXE2C8uvc0mr9ToBarshW,Voicians,5DNApAt05XowaylsOJo1eW
7,0.612,0.787,11,-10.568,0,0.0472,0.00133,0.9,0.123,0.0739,114.976,audio_features,5jnfWmi26k3kZB8z8QdRjV,spotify:track:5jnfWmi26k3kZB8z8QdRjV,https://api.spotify.com/v1/tracks/5jnfWmi26k3kZB8z8QdRjV,https://api.spotify.com/v1/audio-analysis/5jnfWmi26k3kZB8z8QdRjV,137251,4,Clubby Affair,spotify:track:5jnfWmi26k3kZB8z8QdRjV,Voicians,5DNApAt05XowaylsOJo1eW
8,0.675,0.605,11,-9.059,1,0.0254,0.115,0.963,0.177,0.305,100.037,audio_features,0wRBS7QHooWGCi17vpTaOo,spotify:track:0wRBS7QHooWGCi17vpTaOo,https://api.spotify.com/v1/tracks/0wRBS7QHooWGCi17vpTaOo,https://api.spotify.com/v1/audio-analysis/0wRBS7QHooWGCi17vpTaOo,119089,4,Dark City Lights,spotify:track:0wRBS7QHooWGCi17vpTaOo,Voicians,5DNApAt05XowaylsOJo1eW
9,0.392,0.902,5,-8.453,0,0.0359,0.00137,0.878,0.206,0.134,174.062,audio_features,1AvVy2dhVTSSJB4Wzye4yD,spotify:track:1AvVy2dhVTSSJB4Wzye4yD,https://api.spotify.com/v1/tracks/1AvVy2dhVTSSJB4Wzye4yD,https://api.spotify.com/v1/audio-analysis/1AvVy2dhVTSSJB4Wzye4yD,115720,4,Crowded,spotify:track:1AvVy2dhVTSSJB4Wzye4yD,Voicians,5DNApAt05XowaylsOJo1eW
