,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.775,0.291,6,-10.649,1,0.0344,0.858,0.0,0.12,0.469,99.912,audio_features,0PuI2w9viFAleHV4AIcSKO,spotify:track:0PuI2w9viFAleHV4AIcSKO,https://api.spotify.com/v1/tracks/0PuI2w9viFAleHV4AIcSKO,https://api.spotify.com/v1/audio-analysis/0PuI2w9viFAleHV4AIcSKO,243654,4,"Dil Diyan Gallan (From ""Tiger Zinda Hai"")",spotify:track:0PuI2w9viFAleHV4AIcSKO,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb
1,0.696,0.2,5,-14.341,0,0.0614,0.771,3.21e-06,0.106,0.557,78.966,audio_features,6fUAMor7JM6ph90QH403tV,spotify:track:6fUAMor7JM6ph90QH403tV,https://api.spotify.com/v1/tracks/6fUAMor7JM6ph90QH403tV,https://api.spotify.com/v1/audio-analysis/6fUAMor7JM6ph90QH403tV,254485,4,"Jag Ghoomeya (From ""Sultan"")",spotify:track:6fUAMor7JM6ph90QH403tV,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb
2,0.464,0.493,2,-9.753,0,0.0629,0.201,0.000134,0.134,0.492,110.683,audio_features,5PG9wItg5FJseXbVq1CIqD,spotify:track:5PG9wItg5FJseXbVq1CIqD,https://api.spotify.com/v1/tracks/5PG9wItg5FJseXbVq1CIqD,https://api.spotify.com/v1/audio-analysis/5PG9wItg5FJseXbVq1CIqD,311458,4,"Pareshaan (From ""MTV Unplugged"")",spotify:track:5PG9wItg5FJseXbVq1CIqD,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb
3,0.677,0.743,6,-7.036,0,0.0725,0.075,0.0,0.11,0.661,108.987,audio_features,5MvJvw4MQcgqkAj6YOfEaU,spotify:track:5MvJvw4MQcgqkAj6YOfEaU,https://api.spotify.com/v1/tracks/5MvJvw4MQcgqkAj6YOfEaU,https://api.spotify.com/v1/audio-analysis/5MvJvw4MQcgqkAj6YOfEaU,329708,4,"Jiya Re (From ""MTV Unplugged"")",spotify:track:5MvJvw4MQcgqkAj6YOfEaU,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb
4,0.463,0.408,0,-9.17,1,0.0282,0.749,8.63e-05,0.117,0.182,70.82,audio_features,0dHUpao3cwnedMXAcJ3lyt,spotify:track:0dHUpao3cwnedMXAcJ3lyt,https://api.spotify.com/v1/tracks/0dHUpao3cwnedMXAcJ3lyt,https://api.spotify.com/v1/audio-analysis/0dHUpao3cwnedMXAcJ3lyt,319458,4,"Nain Parindey (From ""MTV Unplugged"")",spotify:track:0dHUpao3cwnedMXAcJ3lyt,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb
5,0.713,0.666,5,-8.226,0,0.0664,0.303,0.0,0.143,0.811,130.161,audio_features,53wASupWuDcRZBPVZFYJ7s,spotify:track:53wASupWuDcRZBPVZFYJ7s,https://api.spotify.com/v1/tracks/53wASupWuDcRZBPVZFYJ7s,https://api.spotify.com/v1/audio-analysis/53wASupWuDcRZBPVZFYJ7s,230478,4,"Gulabi (From ""MTV Unplugged"")",spotify:track:53wASupWuDcRZBPVZFYJ7s,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb
6,0.575,0.781,4,-7.613,1,0.0733,0.709,5.95e-06,0.339,0.333,98.735,audio_features,3FC2CAh6HWsAk9VfxplZjN,spotify:track:3FC2CAh6HWsAk9VfxplZjN,https://api.spotify.com/v1/tracks/3FC2CAh6HWsAk9VfxplZjN,https://api.spotify.com/v1/audio-analysis/3FC2CAh6HWsAk9VfxplZjN,373624,4,"Bulleya (From ""MTV Unplugged"")",spotify:track:3FC2CAh6HWsAk9VfxplZjN,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb
7,0.465,0.788,4,-8.314,0,0.182,0.241,0.0,0.707,0.615,169.747,audio_features,3rsIgQa9V7dHdSBw2mDFWd,spotify:track:3rsIgQa9V7dHdSBw2mDFWd,https://api.spotify.com/v1/tracks/3rsIgQa9V7dHdSBw2mDFWd,https://api.spotify.com/v1/audio-analysis/3rsIgQa9V7dHdSBw2mDFWd,384392,4,"Kamli (From ""MTV Unplugged"")",spotify:track:3rsIgQa9V7dHdSBw2mDFWd,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb
8,0.735,0.793,0,-5.03,1,0.0277,0.0879,0.0,0.504,0.395,111.161,audio_features,78iInbeXZ2kLqOpcxSQAOu,spotify:track:78iInbeXZ2kLqOpcxSQAOu,https://api.spotify.com/v1/tracks/78iInbeXZ2kLqOpcxSQAOu,https://api.spotify.com/v1/audio-analysis/78iInbeXZ2kLqOpcxSQAOu,269750,4,"Tarkeebein (From ""MTV Unplugged"")",spotify:track:78iInbeXZ2kLqOpcxSQAOu,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb
9,0.341,0.466,5,-9.63,1,0.0409,0.352,6.83e-06,0.0931,0.257,84.878,audio_features,3BE1Ni5tEHOCnxQJ3GuUfa,spotify:track:3BE1Ni5tEHOCnxQJ3GuUfa,https://api.spotify.com/v1/tracks/3BE1Ni5tEHOCnxQJ3GuUfa,https://api.spotify.com/v1/audio-analysis/3BE1Ni5tEHOCnxQJ3GuUfa,353941,4,"Afeemi (From ""MTV Unplugged"")",spotify:track:3BE1Ni5tEHOCnxQJ3GuUfa,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb
