,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.38,0.738,6,-6.517,1,0.0447,0.379,0.0103,0.385,0.485,84.808,audio_features,2oKR4ysYgz5Oe9KmQ2ZYlS,spotify:track:2oKR4ysYgz5Oe9KmQ2ZYlS,https://api.spotify.com/v1/tracks/2oKR4ysYgz5Oe9KmQ2ZYlS,https://api.spotify.com/v1/audio-analysis/2oKR4ysYgz5Oe9KmQ2ZYlS,287000,4,THE RIGHT ONE,spotify:track:2oKR4ysYgz5Oe9KmQ2ZYlS,We Are KING,0FPWyyf6MD4QZTj3aypD3O
1,0.599,0.828,1,-5.428,1,0.035,0.00868,0.0125,0.0632,0.953,167.915,audio_features,4mfzaRZRQnnib0JeDsuw06,spotify:track:4mfzaRZRQnnib0JeDsuw06,https://api.spotify.com/v1/tracks/4mfzaRZRQnnib0JeDsuw06,https://api.spotify.com/v1/audio-analysis/4mfzaRZRQnnib0JeDsuw06,195427,4,THE GREATEST,spotify:track:4mfzaRZRQnnib0JeDsuw06,We Are KING,0FPWyyf6MD4QZTj3aypD3O
2,0.479,0.493,0,-8.446,1,0.0313,0.268,0.00116,0.0792,0.384,158.003,audio_features,6l7NDxPMKkPvtvhzUpXmCY,spotify:track:6l7NDxPMKkPvtvhzUpXmCY,https://api.spotify.com/v1/tracks/6l7NDxPMKkPvtvhzUpXmCY,https://api.spotify.com/v1/audio-analysis/6l7NDxPMKkPvtvhzUpXmCY,278453,4,RED EYE,spotify:track:6l7NDxPMKkPvtvhzUpXmCY,We Are KING,0FPWyyf6MD4QZTj3aypD3O
3,0.405,0.507,3,-10.483,0,0.0374,0.603,0.066,0.124,0.0714,97.877,audio_features,4A83Y0NqSkDBjC8N9Xef2g,spotify:track:4A83Y0NqSkDBjC8N9Xef2g,https://api.spotify.com/v1/tracks/4A83Y0NqSkDBjC8N9Xef2g,https://api.spotify.com/v1/audio-analysis/4A83Y0NqSkDBjC8N9Xef2g,405600,4,SUPERNATURAL - EXTENDED MIX,spotify:track:4A83Y0NqSkDBjC8N9Xef2g,We Are KING,0FPWyyf6MD4QZTj3aypD3O
4,0.58,0.485,8,-8.843,1,0.0268,0.24,0.143,0.0998,0.317,154.53,audio_features,4DLqH9VvPzusxxxMcnZYwz,spotify:track:4DLqH9VvPzusxxxMcnZYwz,https://api.spotify.com/v1/tracks/4DLqH9VvPzusxxxMcnZYwz,https://api.spotify.com/v1/audio-analysis/4DLqH9VvPzusxxxMcnZYwz,221827,4,LOVE SONG,spotify:track:4DLqH9VvPzusxxxMcnZYwz,We Are KING,0FPWyyf6MD4QZTj3aypD3O
5,0.521,0.333,6,-12.779,1,0.0339,0.396,0.106,0.0967,0.322,161.87,audio_features,7mjncRozqFgO1gsKtSfFiU,spotify:track:7mjncRozqFgO1gsKtSfFiU,https://api.spotify.com/v1/tracks/7mjncRozqFgO1gsKtSfFiU,https://api.spotify.com/v1/audio-analysis/7mjncRozqFgO1gsKtSfFiU,276853,4,IN THE MEANTIME,spotify:track:7mjncRozqFgO1gsKtSfFiU,We Are KING,0FPWyyf6MD4QZTj3aypD3O
6,0.345,0.53,5,-7.42,0,0.0382,0.109,2.16e-05,0.0691,0.539,203.732,audio_features,2SS5P6f6xhYyj2YpqOJ0r3,spotify:track:2SS5P6f6xhYyj2YpqOJ0r3,https://api.spotify.com/v1/tracks/2SS5P6f6xhYyj2YpqOJ0r3,https://api.spotify.com/v1/audio-analysis/2SS5P6f6xhYyj2YpqOJ0r3,233107,3,CARRY ON,spotify:track:2SS5P6f6xhYyj2YpqOJ0r3,We Are KING,0FPWyyf6MD4QZTj3aypD3O
7,0.674,0.517,10,-8.066,0,0.0236,0.467,6.91e-06,0.14,0.478,96.977,audio_features,3a8jue0KnFNatKQB03GtFm,spotify:track:3a8jue0KnFNatKQB03GtFm,https://api.spotify.com/v1/tracks/3a8jue0KnFNatKQB03GtFm,https://api.spotify.com/v1/audio-analysis/3a8jue0KnFNatKQB03GtFm,215467,4,MISTER CHAMELEON,spotify:track:3a8jue0KnFNatKQB03GtFm,We Are KING,0FPWyyf6MD4QZTj3aypD3O
8,0.314,0.319,7,-11.234,1,0.027,0.675,0.0304,0.212,0.149,102.033,audio_features,6vmgE0DPTbKyW5sx17MXoE,spotify:track:6vmgE0DPTbKyW5sx17MXoE,https://api.spotify.com/v1/tracks/6vmgE0DPTbKyW5sx17MXoE,https://api.spotify.com/v1/audio-analysis/6vmgE0DPTbKyW5sx17MXoE,396787,3,HEY - EXTENDED MIX,spotify:track:6vmgE0DPTbKyW5sx17MXoE,We Are KING,0FPWyyf6MD4QZTj3aypD3O
9,0.615,0.465,11,-6.096,1,0.0287,0.218,0.00272,0.163,0.641,134.961,audio_features,5ri1GBB8dumStpN7yHZnF5,spotify:track:5ri1GBB8dumStpN7yHZnF5,https://api.spotify.com/v1/tracks/5ri1GBB8dumStpN7yHZnF5,https://api.spotify.com/v1/audio-analysis/5ri1GBB8dumStpN7yHZnF5,291027,3,"OH, PLEASE!",spotify:track:5ri1GBB8dumStpN7yHZnF5,We Are KING,0FPWyyf6MD4QZTj3aypD3O
