,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.536,0.839,0,-5.039,1,0.122,0.123,0.0,0.131,0.313,148.265,audio_features,3R07j3eglCJ0CJRsAzP9xd,spotify:track:3R07j3eglCJ0CJRsAzP9xd,https://api.spotify.com/v1/tracks/3R07j3eglCJ0CJRsAzP9xd,https://api.spotify.com/v1/audio-analysis/3R07j3eglCJ0CJRsAzP9xd,86413,4,Victory,spotify:track:3R07j3eglCJ0CJRsAzP9xd,Wisin,3E6xrwgnVfYCrCs0ePERDz
1,0.792,0.899,10,-3.166,0,0.0965,0.305,0.0,0.0966,0.766,97.021,audio_features,23Mw5dtfeixZWOZmZmc4ko,spotify:track:23Mw5dtfeixZWOZmZmc4ko,https://api.spotify.com/v1/tracks/23Mw5dtfeixZWOZmZmc4ko,https://api.spotify.com/v1/audio-analysis/23Mw5dtfeixZWOZmZmc4ko,237027,4,Contra la Pared,spotify:track:23Mw5dtfeixZWOZmZmc4ko,Wisin,3E6xrwgnVfYCrCs0ePERDz
2,0.692,0.893,0,-2.978,1,0.0437,0.144,3.14e-06,0.325,0.634,95.011,audio_features,2fzPn9Sb7nKHQFFTLERnzW,spotify:track:2fzPn9Sb7nKHQFFTLERnzW,https://api.spotify.com/v1/tracks/2fzPn9Sb7nKHQFFTLERnzW,https://api.spotify.com/v1/audio-analysis/2fzPn9Sb7nKHQFFTLERnzW,240080,4,Esta Noche Lo Vamos a Hacer,spotify:track:2fzPn9Sb7nKHQFFTLERnzW,Wisin,3E6xrwgnVfYCrCs0ePERDz
3,0.676,0.838,7,-3.163,0,0.0704,0.175,0.0,0.245,0.566,180.031,audio_features,6QLQL6Wzs3fIrzLUjaU1Sa,spotify:track:6QLQL6Wzs3fIrzLUjaU1Sa,https://api.spotify.com/v1/tracks/6QLQL6Wzs3fIrzLUjaU1Sa,https://api.spotify.com/v1/audio-analysis/6QLQL6Wzs3fIrzLUjaU1Sa,243013,4,Hacerte el Amor (feat. Yandel & Nicky Jam),spotify:track:6QLQL6Wzs3fIrzLUjaU1Sa,Wisin,3E6xrwgnVfYCrCs0ePERDz
4,0.751,0.854,9,-2.989,1,0.0536,0.0772,0.000222,0.178,0.579,90.014,audio_features,4gAxLlI7QGIXzjmtg0RJNd,spotify:track:4gAxLlI7QGIXzjmtg0RJNd,https://api.spotify.com/v1/tracks/4gAxLlI7QGIXzjmtg0RJNd,https://api.spotify.com/v1/audio-analysis/4gAxLlI7QGIXzjmtg0RJNd,199667,4,Muévelo,spotify:track:4gAxLlI7QGIXzjmtg0RJNd,Wisin,3E6xrwgnVfYCrCs0ePERDz
5,0.48,0.861,0,-3.797,1,0.255,0.126,0.00356,0.328,0.538,160.802,audio_features,7ixSri6oiQ6QNcqFlDkptD,spotify:track:7ixSri6oiQ6QNcqFlDkptD,https://api.spotify.com/v1/tracks/7ixSri6oiQ6QNcqFlDkptD,https://api.spotify.com/v1/audio-analysis/7ixSri6oiQ6QNcqFlDkptD,217573,5,Move Your Body (feat. Timbaland & Bad Bunny),spotify:track:7ixSri6oiQ6QNcqFlDkptD,Wisin,3E6xrwgnVfYCrCs0ePERDz
6,0.826,0.836,3,-4.238,0,0.0654,0.0961,4.81e-06,0.282,0.887,91.992,audio_features,3a2aBKuvgP1qHo3BqU3lGh,spotify:track:3a2aBKuvgP1qHo3BqU3lGh,https://api.spotify.com/v1/tracks/3a2aBKuvgP1qHo3BqU3lGh,https://api.spotify.com/v1/audio-analysis/3a2aBKuvgP1qHo3BqU3lGh,268107,4,Todo Comienza en la Disco,spotify:track:3a2aBKuvgP1qHo3BqU3lGh,Wisin,3E6xrwgnVfYCrCs0ePERDz
7,0.731,0.847,8,-3.514,1,0.0747,0.101,1.45e-05,0.113,0.726,93.982,audio_features,5ZuZWiChDM9Y6CfS5R15RP,spotify:track:5ZuZWiChDM9Y6CfS5R15RP,https://api.spotify.com/v1/tracks/5ZuZWiChDM9Y6CfS5R15RP,https://api.spotify.com/v1/audio-analysis/5ZuZWiChDM9Y6CfS5R15RP,232747,4,Esta Vez (feat. Don Omar),spotify:track:5ZuZWiChDM9Y6CfS5R15RP,Wisin,3E6xrwgnVfYCrCs0ePERDz
8,0.708,0.867,8,-3.376,1,0.0577,0.169,6.16e-05,0.236,0.77,90.101,audio_features,5X9daJT0Qg5yLIvUqwPKkX,spotify:track:5X9daJT0Qg5yLIvUqwPKkX,https://api.spotify.com/v1/tracks/5X9daJT0Qg5yLIvUqwPKkX,https://api.spotify.com/v1/audio-analysis/5X9daJT0Qg5yLIvUqwPKkX,224440,4,Quisiera Alejarme (feat. Ozuna),spotify:track:5X9daJT0Qg5yLIvUqwPKkX,Wisin,3E6xrwgnVfYCrCs0ePERDz
9,0.777,0.911,6,-3.223,0,0.173,0.246,0.0,0.257,0.704,96.017,audio_features,1rXojdsUqqxGj2WCmJGWHP,spotify:track:1rXojdsUqqxGj2WCmJGWHP,https://api.spotify.com/v1/tracks/1rXojdsUqqxGj2WCmJGWHP,https://api.spotify.com/v1/audio-analysis/1rXojdsUqqxGj2WCmJGWHP,238813,4,Vacaciones,spotify:track:1rXojdsUqqxGj2WCmJGWHP,Wisin,3E6xrwgnVfYCrCs0ePERDz
