,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.556,0.568,9,-12.349,1,0.0312,0.761,0.963,0.0978,0.118,115.499,audio_features,5mHguNsfTcGltObwPspQA1,spotify:track:5mHguNsfTcGltObwPspQA1,https://api.spotify.com/v1/tracks/5mHguNsfTcGltObwPspQA1,https://api.spotify.com/v1/audio-analysis/5mHguNsfTcGltObwPspQA1,343533,4,You Are Here,spotify:track:5mHguNsfTcGltObwPspQA1,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi
1,0.644,0.437,9,-8.887,1,0.0275,0.85,0.214,0.106,0.511,62.006,audio_features,6PqLgLpJU9XPWfdZCIs4zc,spotify:track:6PqLgLpJU9XPWfdZCIs4zc,https://api.spotify.com/v1/tracks/6PqLgLpJU9XPWfdZCIs4zc,https://api.spotify.com/v1/audio-analysis/6PqLgLpJU9XPWfdZCIs4zc,171400,4,Shades of Blue,spotify:track:6PqLgLpJU9XPWfdZCIs4zc,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi
2,0.563,0.697,9,-11.383,0,0.0314,0.937,0.904,0.0806,0.313,120.135,audio_features,3CRWN6ZgCbOgAUISt0gnOI,spotify:track:3CRWN6ZgCbOgAUISt0gnOI,https://api.spotify.com/v1/tracks/3CRWN6ZgCbOgAUISt0gnOI,https://api.spotify.com/v1/audio-analysis/3CRWN6ZgCbOgAUISt0gnOI,322867,4,"She May, She Might",spotify:track:3CRWN6ZgCbOgAUISt0gnOI,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi
3,0.544,0.902,1,-8.233,0,0.0303,0.79,0.885,0.108,0.236,137.416,audio_features,634n0U91zpaqRuJ1DO8jA2,spotify:track:634n0U91zpaqRuJ1DO8jA2,https://api.spotify.com/v1/tracks/634n0U91zpaqRuJ1DO8jA2,https://api.spotify.com/v1/audio-analysis/634n0U91zpaqRuJ1DO8jA2,253693,4,For You Too,spotify:track:634n0U91zpaqRuJ1DO8jA2,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi
4,0.7,0.231,0,-12.796,1,0.0281,0.897,0.681,0.0996,0.476,80.006,audio_features,4RRM2uP2y0GFkFnaPeLo5M,spotify:track:4RRM2uP2y0GFkFnaPeLo5M,https://api.spotify.com/v1/tracks/4RRM2uP2y0GFkFnaPeLo5M,https://api.spotify.com/v1/audio-analysis/4RRM2uP2y0GFkFnaPeLo5M,212747,3,Ashes,spotify:track:4RRM2uP2y0GFkFnaPeLo5M,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi
5,0.576,0.347,11,-13.47,1,0.03,0.943,0.0318,0.126,0.45,113.806,audio_features,6dSbdjv919DpQUNJwhC5bE,spotify:track:6dSbdjv919DpQUNJwhC5bE,https://api.spotify.com/v1/tracks/6dSbdjv919DpQUNJwhC5bE,https://api.spotify.com/v1/audio-analysis/6dSbdjv919DpQUNJwhC5bE,145520,4,Polynesia #1,spotify:track:6dSbdjv919DpQUNJwhC5bE,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi
6,0.247,0.349,4,-17.442,1,0.0812,0.961,0.887,0.124,0.0647,84.34,audio_features,4J4URHckRU2dNLrFon9w8r,spotify:track:4J4URHckRU2dNLrFon9w8r,https://api.spotify.com/v1/tracks/4J4URHckRU2dNLrFon9w8r,https://api.spotify.com/v1/audio-analysis/4J4URHckRU2dNLrFon9w8r,349973,4,Dream Dream Away,spotify:track:4J4URHckRU2dNLrFon9w8r,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi
7,0.0649,0.131,1,-18.119,0,0.0555,0.941,0.95,0.0946,0.025,77.097,audio_features,3pwTbqkqTbko4Nds3togoX,spotify:track:3pwTbqkqTbko4Nds3togoX,https://api.spotify.com/v1/tracks/3pwTbqkqTbko4Nds3togoX,https://api.spotify.com/v1/audio-analysis/3pwTbqkqTbko4Nds3togoX,344053,3,Shortwave,spotify:track:3pwTbqkqTbko4Nds3togoX,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi
8,0.574,0.565,0,-11.661,1,0.0433,0.9,0.696,0.0682,0.768,79.797,audio_features,30Dxv580tb3nnWx5wdFmFp,spotify:track:30Dxv580tb3nnWx5wdFmFp,https://api.spotify.com/v1/tracks/30Dxv580tb3nnWx5wdFmFp,https://api.spotify.com/v1/audio-analysis/30Dxv580tb3nnWx5wdFmFp,341093,4,Above the Sound,spotify:track:30Dxv580tb3nnWx5wdFmFp,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi
9,0.63,0.371,0,-12.537,1,0.039,0.939,0.741,0.162,0.0441,94.152,audio_features,6es0P4VRO2kQwjyFwPBiXW,spotify:track:6es0P4VRO2kQwjyFwPBiXW,https://api.spotify.com/v1/tracks/6es0P4VRO2kQwjyFwPBiXW,https://api.spotify.com/v1/audio-analysis/6es0P4VRO2kQwjyFwPBiXW,213720,4,Let's Do It Wrong,spotify:track:6es0P4VRO2kQwjyFwPBiXW,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi
