,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.675,0.759,0,-7.655,1,0.0472,0.0742,0.743,0.229,0.761,153.826,audio_features,6OOkbVOvc8umM48aIEA3aK,spotify:track:6OOkbVOvc8umM48aIEA3aK,https://api.spotify.com/v1/tracks/6OOkbVOvc8umM48aIEA3aK,https://api.spotify.com/v1/audio-analysis/6OOkbVOvc8umM48aIEA3aK,174862,4,Hole,spotify:track:6OOkbVOvc8umM48aIEA3aK,Yot Club,6FugQjLquBF4JzATRN70bR
1,0.634,0.837,5,-7.141,1,0.0284,0.326,0.835,0.545,0.72,149.623,audio_features,2zAzuCsqsZkSkozxTXqtSn,spotify:track:2zAzuCsqsZkSkozxTXqtSn,https://api.spotify.com/v1/tracks/2zAzuCsqsZkSkozxTXqtSn,https://api.spotify.com/v1/audio-analysis/2zAzuCsqsZkSkozxTXqtSn,180295,4,Alive,spotify:track:2zAzuCsqsZkSkozxTXqtSn,Yot Club,6FugQjLquBF4JzATRN70bR
2,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,audio_features,1GthO3CQVYJV0NZHCEPHOu,spotify:track:1GthO3CQVYJV0NZHCEPHOu,https://api.spotify.com/v1/tracks/1GthO3CQVYJV0NZHCEPHOu,https://api.spotify.com/v1/audio-analysis/1GthO3CQVYJV0NZHCEPHOu,212750,3,YKWIM?,spotify:track:1GthO3CQVYJV0NZHCEPHOu,Yot Club,6FugQjLquBF4JzATRN70bR
3,0.844,0.55,11,-6.821,0,0.061,0.341,0.924,0.384,0.556,113.263,audio_features,1jmtVtaaiJ6G0f5kbd8ugS,spotify:track:1jmtVtaaiJ6G0f5kbd8ugS,https://api.spotify.com/v1/tracks/1jmtVtaaiJ6G0f5kbd8ugS,https://api.spotify.com/v1/audio-analysis/1jmtVtaaiJ6G0f5kbd8ugS,205524,4,YKWIM? - Alternative Version,spotify:track:1jmtVtaaiJ6G0f5kbd8ugS,Yot Club,6FugQjLquBF4JzATRN70bR
4,0.664,0.451,11,-13.421,1,0.35,0.585,0.67,0.125,0.161,79.992,audio_features,3ab8sdupk0Pl06qtyiIIGt,spotify:track:3ab8sdupk0Pl06qtyiIIGt,https://api.spotify.com/v1/tracks/3ab8sdupk0Pl06qtyiIIGt,https://api.spotify.com/v1/audio-analysis/3ab8sdupk0Pl06qtyiIIGt,138016,4,YKWIM? - Sarcastic Sounds Remix,spotify:track:3ab8sdupk0Pl06qtyiIIGt,Yot Club,6FugQjLquBF4JzATRN70bR
5,0.651,0.759,6,-6.733,0,0.061,0.00881,0.545,0.173,0.347,104.035,audio_features,42Y0cTa8O8ChaMKOQbXdFV,spotify:track:42Y0cTa8O8ChaMKOQbXdFV,https://api.spotify.com/v1/tracks/42Y0cTa8O8ChaMKOQbXdFV,https://api.spotify.com/v1/audio-analysis/42Y0cTa8O8ChaMKOQbXdFV,187559,4,YKWIM? - Huron John Remix,spotify:track:42Y0cTa8O8ChaMKOQbXdFV,Yot Club,6FugQjLquBF4JzATRN70bR
6,0.748,0.658,8,-7.253,0,0.0496,0.252,0.387,0.259,0.918,117.995,audio_features,6xgCu2D24xaDyGLUhuSSiV,spotify:track:6xgCu2D24xaDyGLUhuSSiV,https://api.spotify.com/v1/tracks/6xgCu2D24xaDyGLUhuSSiV,https://api.spotify.com/v1/audio-analysis/6xgCu2D24xaDyGLUhuSSiV,189153,4,YKWIM? - Cyril Hahn Remix,spotify:track:6xgCu2D24xaDyGLUhuSSiV,Yot Club,6FugQjLquBF4JzATRN70bR
7,0.641,0.754,9,-7.193,0,0.0986,0.0685,0.166,0.147,0.389,84.012,audio_features,1xS1GdIvsw3lN6JApgnCNV,spotify:track:1xS1GdIvsw3lN6JApgnCNV,https://api.spotify.com/v1/tracks/1xS1GdIvsw3lN6JApgnCNV,https://api.spotify.com/v1/audio-analysis/1xS1GdIvsw3lN6JApgnCNV,210714,4,YKWIM? - Smartface Remix,spotify:track:1xS1GdIvsw3lN6JApgnCNV,Yot Club,6FugQjLquBF4JzATRN70bR
8,0.826,0.715,9,-6.762,0,0.0623,0.696,0.629,0.0894,0.761,123.908,audio_features,27gnIhBJcp5Now3H2JCP2H,spotify:track:27gnIhBJcp5Now3H2JCP2H,https://api.spotify.com/v1/tracks/27gnIhBJcp5Now3H2JCP2H,https://api.spotify.com/v1/audio-analysis/27gnIhBJcp5Now3H2JCP2H,161942,4,Go Away,spotify:track:27gnIhBJcp5Now3H2JCP2H,Yot Club,6FugQjLquBF4JzATRN70bR
9,0.83,0.57,8,-7.609,1,0.11,0.491,0.206,0.0847,0.723,121.638,audio_features,6LUbJz0wYrz4lyifxA0v3e,spotify:track:6LUbJz0wYrz4lyifxA0v3e,https://api.spotify.com/v1/tracks/6LUbJz0wYrz4lyifxA0v3e,https://api.spotify.com/v1/audio-analysis/6LUbJz0wYrz4lyifxA0v3e,146026,4,Spiral Stairs,spotify:track:6LUbJz0wYrz4lyifxA0v3e,Yot Club,6FugQjLquBF4JzATRN70bR
10,0.603,0.786,10,-6.896,1,0.121,0.673,0.0965,0.653,0.558,80.973,audio_features,46DaqATlO0FbJ9nYeGn5Iu,spotify:track:46DaqATlO0FbJ9nYeGn5Iu,https://api.spotify.com/v1/tracks/46DaqATlO0FbJ9nYeGn5Iu,https://api.spotify.com/v1/audio-analysis/46DaqATlO0FbJ9nYeGn5Iu,165038,4,Mardi gras,spotify:track:46DaqATlO0FbJ9nYeGn5Iu,Yot Club,6FugQjLquBF4JzATRN70bR
11,0.772,0.716,1,-7.041,1,0.0317,0.33,0.0224,0.133,0.907,117.127,audio_features,6bvR0Hgfwq7DYxVue9yHmV,spotify:track:6bvR0Hgfwq7DYxVue9yHmV,https://api.spotify.com/v1/tracks/6bvR0Hgfwq7DYxVue9yHmV,https://api.spotify.com/v1/audio-analysis/6bvR0Hgfwq7DYxVue9yHmV,194572,4,Water Fall,spotify:track:6bvR0Hgfwq7DYxVue9yHmV,Yot Club,6FugQjLquBF4JzATRN70bR
12,0.679,0.712,10,-6.962,0,0.0342,0.652,0.912,0.189,0.461,115.786,audio_features,2M3w1o8DGt84E1l18Sl3Gb,spotify:track:2M3w1o8DGt84E1l18Sl3Gb,https://api.spotify.com/v1/tracks/2M3w1o8DGt84E1l18Sl3Gb,https://api.spotify.com/v1/audio-analysis/2M3w1o8DGt84E1l18Sl3Gb,192660,4,Game Over,spotify:track:2M3w1o8DGt84E1l18Sl3Gb,Yot Club,6FugQjLquBF4JzATRN70bR
13,0.826,0.715,9,-6.762,0,0.0623,0.696,0.629,0.0894,0.761,123.908,audio_features,2tRHXwg78abOCIRJeTwpbQ,spotify:track:2tRHXwg78abOCIRJeTwpbQ,https://api.spotify.com/v1/tracks/2tRHXwg78abOCIRJeTwpbQ,https://api.spotify.com/v1/audio-analysis/2tRHXwg78abOCIRJeTwpbQ,161942,4,Go Away,spotify:track:2tRHXwg78abOCIRJeTwpbQ,Yot Club,6FugQjLquBF4JzATRN70bR
14,0.829,0.57,8,-7.609,1,0.11,0.491,0.206,0.0847,0.723,121.638,audio_features,6ODsBcPNsjqHzxrhmsPWLD,spotify:track:6ODsBcPNsjqHzxrhmsPWLD,https://api.spotify.com/v1/tracks/6ODsBcPNsjqHzxrhmsPWLD,https://api.spotify.com/v1/audio-analysis/6ODsBcPNsjqHzxrhmsPWLD,146026,4,Spiral Stairs,spotify:track:6ODsBcPNsjqHzxrhmsPWLD,Yot Club,6FugQjLquBF4JzATRN70bR
15,0.555,0.832,1,-6.881,1,0.0502,0.653,0.71,0.347,0.763,165.127,audio_features,1VXjp69G2hZowzVzWZTzvu,spotify:track:1VXjp69G2hZowzVzWZTzvu,https://api.spotify.com/v1/tracks/1VXjp69G2hZowzVzWZTzvu,https://api.spotify.com/v1/audio-analysis/1VXjp69G2hZowzVzWZTzvu,167449,4,The Bay,spotify:track:1VXjp69G2hZowzVzWZTzvu,Yot Club,6FugQjLquBF4JzATRN70bR
16,0.785,0.722,1,-6.641,1,0.0313,0.864,0.0737,0.277,0.76,131.371,audio_features,5goeUvSplsnWCmkUFmFDgt,spotify:track:5goeUvSplsnWCmkUFmFDgt,https://api.spotify.com/v1/tracks/5goeUvSplsnWCmkUFmFDgt,https://api.spotify.com/v1/audio-analysis/5goeUvSplsnWCmkUFmFDgt,227370,4,Comfort Zone,spotify:track:5goeUvSplsnWCmkUFmFDgt,Yot Club,6FugQjLquBF4JzATRN70bR
17,0.526,0.56,9,-9.839,1,0.026,0.825,0.015,0.493,0.735,90.882,audio_features,7FJrIeLwz1qQsgFyYzNW7Q,spotify:track:7FJrIeLwz1qQsgFyYzNW7Q,https://api.spotify.com/v1/tracks/7FJrIeLwz1qQsgFyYzNW7Q,https://api.spotify.com/v1/audio-analysis/7FJrIeLwz1qQsgFyYzNW7Q,155917,4,Landlord,spotify:track:7FJrIeLwz1qQsgFyYzNW7Q,Yot Club,6FugQjLquBF4JzATRN70bR
18,0.658,0.934,5,-6.853,0,0.0763,0.605,0.00053,0.327,0.909,141.138,audio_features,1q9J9Q0xai3e1cqmshEDos,spotify:track:1q9J9Q0xai3e1cqmshEDos,https://api.spotify.com/v1/tracks/1q9J9Q0xai3e1cqmshEDos,https://api.spotify.com/v1/audio-analysis/1q9J9Q0xai3e1cqmshEDos,199333,4,Go Slow,spotify:track:1q9J9Q0xai3e1cqmshEDos,Yot Club,6FugQjLquBF4JzATRN70bR
19,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,audio_features,2vWBUC9djv6BtiGlmKiQaH,spotify:track:2vWBUC9djv6BtiGlmKiQaH,https://api.spotify.com/v1/tracks/2vWBUC9djv6BtiGlmKiQaH,https://api.spotify.com/v1/audio-analysis/2vWBUC9djv6BtiGlmKiQaH,212750,3,YKWIM?,spotify:track:2vWBUC9djv6BtiGlmKiQaH,Yot Club,6FugQjLquBF4JzATRN70bR
20,0.685,0.948,11,-6.326,1,0.0471,0.877,0.589,0.572,0.864,127.525,audio_features,0J5l4gVPJ5ssqYnJKjSwLr,spotify:track:0J5l4gVPJ5ssqYnJKjSwLr,https://api.spotify.com/v1/tracks/0J5l4gVPJ5ssqYnJKjSwLr,https://api.spotify.com/v1/audio-analysis/0J5l4gVPJ5ssqYnJKjSwLr,174000,4,Dog Song,spotify:track:0J5l4gVPJ5ssqYnJKjSwLr,Yot Club,6FugQjLquBF4JzATRN70bR
21,0.474,0.891,2,-6.389,1,0.0527,0.198,0.533,0.45,0.504,173.145,audio_features,1GPmqcYcbgQeOiu7P3S6Xo,spotify:track:1GPmqcYcbgQeOiu7P3S6Xo,https://api.spotify.com/v1/tracks/1GPmqcYcbgQeOiu7P3S6Xo,https://api.spotify.com/v1/audio-analysis/1GPmqcYcbgQeOiu7P3S6Xo,160875,4,Fly Out West,spotify:track:1GPmqcYcbgQeOiu7P3S6Xo,Yot Club,6FugQjLquBF4JzATRN70bR
22,0.654,0.644,6,-6.848,1,0.0263,0.607,0.0026,0.11,0.728,83.808,audio_features,3gc5kaCwacZLTAkAcmBTYO,spotify:track:3gc5kaCwacZLTAkAcmBTYO,https://api.spotify.com/v1/tracks/3gc5kaCwacZLTAkAcmBTYO,https://api.spotify.com/v1/audio-analysis/3gc5kaCwacZLTAkAcmBTYO,165375,4,Heatwave,spotify:track:3gc5kaCwacZLTAkAcmBTYO,Yot Club,6FugQjLquBF4JzATRN70bR
23,0.499,0.666,2,-15.61,1,0.0446,0.417,0.461,0.0715,0.405,173.325,audio_features,0ASIqnVJvN1GmH1xEBdf2a,spotify:track:0ASIqnVJvN1GmH1xEBdf2a,https://api.spotify.com/v1/tracks/0ASIqnVJvN1GmH1xEBdf2a,https://api.spotify.com/v1/audio-analysis/0ASIqnVJvN1GmH1xEBdf2a,174212,4,Fly Out West,spotify:track:0ASIqnVJvN1GmH1xEBdf2a,Yot Club,6FugQjLquBF4JzATRN70bR
24,0.667,0.73,5,-8.411,1,0.0457,0.137,0.911,0.0706,0.375,165.834,audio_features,6LwYUSaVJLdTwrziHEUSxM,spotify:track:6LwYUSaVJLdTwrziHEUSxM,https://api.spotify.com/v1/tracks/6LwYUSaVJLdTwrziHEUSxM,https://api.spotify.com/v1/audio-analysis/6LwYUSaVJLdTwrziHEUSxM,174000,4,Japan,spotify:track:6LwYUSaVJLdTwrziHEUSxM,Yot Club,6FugQjLquBF4JzATRN70bR
25,0.651,0.696,7,-7.889,1,0.0314,0.0949,0.903,0.387,0.62,130.27,audio_features,3IwadYiQKN7O51JgIH9PBC,spotify:track:3IwadYiQKN7O51JgIH9PBC,https://api.spotify.com/v1/tracks/3IwadYiQKN7O51JgIH9PBC,https://api.spotify.com/v1/audio-analysis/3IwadYiQKN7O51JgIH9PBC,166458,4,no way !,spotify:track:3IwadYiQKN7O51JgIH9PBC,Yot Club,6FugQjLquBF4JzATRN70bR
26,0.768,0.726,4,-7.919,1,0.0409,0.4,0.0493,0.243,0.827,113.209,audio_features,0WZaqj1PCaP5Zm8cD7oGx1,spotify:track:0WZaqj1PCaP5Zm8cD7oGx1,https://api.spotify.com/v1/tracks/0WZaqj1PCaP5Zm8cD7oGx1,https://api.spotify.com/v1/audio-analysis/0WZaqj1PCaP5Zm8cD7oGx1,149512,4,take care,spotify:track:0WZaqj1PCaP5Zm8cD7oGx1,Yot Club,6FugQjLquBF4JzATRN70bR
27,0.618,0.472,8,-10.948,1,0.0378,0.441,0.907,0.191,0.512,111.055,audio_features,0YeJj1MH4xbPB9tm5BgfGb,spotify:track:0YeJj1MH4xbPB9tm5BgfGb,https://api.spotify.com/v1/tracks/0YeJj1MH4xbPB9tm5BgfGb,https://api.spotify.com/v1/audio-analysis/0YeJj1MH4xbPB9tm5BgfGb,161279,4,margs,spotify:track:0YeJj1MH4xbPB9tm5BgfGb,Yot Club,6FugQjLquBF4JzATRN70bR
28,0.606,0.535,4,-9.136,0,0.0308,0.211,0.605,0.337,0.323,76.061,audio_features,0zJLDZWUQPyh9ru0P4QaiW,spotify:track:0zJLDZWUQPyh9ru0P4QaiW,https://api.spotify.com/v1/tracks/0zJLDZWUQPyh9ru0P4QaiW,https://api.spotify.com/v1/audio-analysis/0zJLDZWUQPyh9ru0P4QaiW,134767,4,if u noticed,spotify:track:0zJLDZWUQPyh9ru0P4QaiW,Yot Club,6FugQjLquBF4JzATRN70bR
29,0.67,0.815,6,-7.46,1,0.0267,0.107,0.929,0.219,0.562,111.68,audio_features,6748TnHe1xprjDIrPiV3RE,spotify:track:6748TnHe1xprjDIrPiV3RE,https://api.spotify.com/v1/tracks/6748TnHe1xprjDIrPiV3RE,https://api.spotify.com/v1/audio-analysis/6748TnHe1xprjDIrPiV3RE,114983,4,jaded,spotify:track:6748TnHe1xprjDIrPiV3RE,Yot Club,6FugQjLquBF4JzATRN70bR
30,0.394,0.572,8,-10.08,1,0.0381,0.805,0.89,0.116,0.223,94.824,audio_features,6rTUBzBVNZihV5iqy7bxBa,spotify:track:6rTUBzBVNZihV5iqy7bxBa,https://api.spotify.com/v1/tracks/6rTUBzBVNZihV5iqy7bxBa,https://api.spotify.com/v1/audio-analysis/6rTUBzBVNZihV5iqy7bxBa,338526,4,Part of You,spotify:track:6rTUBzBVNZihV5iqy7bxBa,Yot Club,6FugQjLquBF4JzATRN70bR
