,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.719,0.724,11,-8.172,0,0.149,0.231,0.000446,0.494,0.557,99.13,audio_features,1naafubdrrClts280OtFXD,spotify:track:1naafubdrrClts280OtFXD,https://api.spotify.com/v1/tracks/1naafubdrrClts280OtFXD,https://api.spotify.com/v1/audio-analysis/1naafubdrrClts280OtFXD,182608,4,Otherside (Two Another Remix) - Mixed,spotify:track:1naafubdrrClts280OtFXD,Young Franco,6mK0vAO13gT8jWYANyoXAl
1,0.774,0.601,11,-10.128,1,0.17,0.0236,0.14,0.182,0.0611,108.068,audio_features,6fwEXZVa7PnrY5IOxNmhIg,spotify:track:6fwEXZVa7PnrY5IOxNmhIg,https://api.spotify.com/v1/tracks/6fwEXZVa7PnrY5IOxNmhIg,https://api.spotify.com/v1/audio-analysis/6fwEXZVa7PnrY5IOxNmhIg,162423,4,Purple Cloud - Mixed,spotify:track:6fwEXZVa7PnrY5IOxNmhIg,Young Franco,6mK0vAO13gT8jWYANyoXAl
2,0.633,0.596,4,-9.451,0,0.444,0.126,0.0,0.829,0.388,110.375,audio_features,2730wfn81eAhlccoJwyIMu,spotify:track:2730wfn81eAhlccoJwyIMu,https://api.spotify.com/v1/tracks/2730wfn81eAhlccoJwyIMu,https://api.spotify.com/v1/audio-analysis/2730wfn81eAhlccoJwyIMu,211018,4,Raindrops - Mixed,spotify:track:2730wfn81eAhlccoJwyIMu,Young Franco,6mK0vAO13gT8jWYANyoXAl
3,0.688,0.738,1,-9.027,1,0.228,0.202,0.0,0.839,0.544,110.894,audio_features,2evf4Ttbyk7IdKfhd4fbgJ,spotify:track:2evf4Ttbyk7IdKfhd4fbgJ,https://api.spotify.com/v1/tracks/2evf4Ttbyk7IdKfhd4fbgJ,https://api.spotify.com/v1/audio-analysis/2evf4Ttbyk7IdKfhd4fbgJ,173326,4,Know Me - Mixed,spotify:track:2evf4Ttbyk7IdKfhd4fbgJ,Young Franco,6mK0vAO13gT8jWYANyoXAl
4,0.64,0.65,8,-9.517,1,0.391,0.168,0.0,0.821,0.308,108.497,audio_features,2h4QTgFiUCLgiK655TaXyd,spotify:track:2h4QTgFiUCLgiK655TaXyd,https://api.spotify.com/v1/tracks/2h4QTgFiUCLgiK655TaXyd,https://api.spotify.com/v1/audio-analysis/2h4QTgFiUCLgiK655TaXyd,194751,4,Come Inside - Mixed,spotify:track:2h4QTgFiUCLgiK655TaXyd,Young Franco,6mK0vAO13gT8jWYANyoXAl
5,0.664,0.66,10,-10.614,0,0.0443,0.00145,0.233,0.184,0.646,114.249,audio_features,5wZs7aHIfJ4cUaIdYdEbbc,spotify:track:5wZs7aHIfJ4cUaIdYdEbbc,https://api.spotify.com/v1/tracks/5wZs7aHIfJ4cUaIdYdEbbc,https://api.spotify.com/v1/audio-analysis/5wZs7aHIfJ4cUaIdYdEbbc,168069,4,All for You - Mixed,spotify:track:5wZs7aHIfJ4cUaIdYdEbbc,Young Franco,6mK0vAO13gT8jWYANyoXAl
6,0.637,0.744,5,-7.374,0,0.181,0.0943,0.0,0.429,0.639,114.883,audio_features,5bUE24hlMqmnLyadGUpwan,spotify:track:5bUE24hlMqmnLyadGUpwan,https://api.spotify.com/v1/tracks/5bUE24hlMqmnLyadGUpwan,https://api.spotify.com/v1/audio-analysis/5bUE24hlMqmnLyadGUpwan,179262,4,Swim - Mixed,spotify:track:5bUE24hlMqmnLyadGUpwan,Young Franco,6mK0vAO13gT8jWYANyoXAl
7,0.605,0.727,3,-8.299,0,0.084,0.211,0.0,0.408,0.506,115.914,audio_features,0hDVT4nLW9txIpTGKBdLsk,spotify:track:0hDVT4nLW9txIpTGKBdLsk,https://api.spotify.com/v1/tracks/0hDVT4nLW9txIpTGKBdLsk,https://api.spotify.com/v1/audio-analysis/0hDVT4nLW9txIpTGKBdLsk,115951,4,She - Mixed,spotify:track:0hDVT4nLW9txIpTGKBdLsk,Young Franco,6mK0vAO13gT8jWYANyoXAl
8,0.849,0.376,11,-10.203,1,0.14,0.0163,0.0642,0.641,0.489,115.002,audio_features,1xhVxRN9fhBSGUnHHMVAaV,spotify:track:1xhVxRN9fhBSGUnHHMVAaV,https://api.spotify.com/v1/tracks/1xhVxRN9fhBSGUnHHMVAaV,https://api.spotify.com/v1/audio-analysis/1xhVxRN9fhBSGUnHHMVAaV,266906,4,Tangerine (Channel Tres Remix) - Mixed,spotify:track:1xhVxRN9fhBSGUnHHMVAaV,Young Franco,6mK0vAO13gT8jWYANyoXAl
9,0.723,0.685,11,-7.522,0,0.273,0.331,3.35e-05,0.126,0.482,118.947,audio_features,6IYut5vKtMTnlxUEM6yL3R,spotify:track:6IYut5vKtMTnlxUEM6yL3R,https://api.spotify.com/v1/tracks/6IYut5vKtMTnlxUEM6yL3R,https://api.spotify.com/v1/audio-analysis/6IYut5vKtMTnlxUEM6yL3R,195645,4,One on One - Mixed,spotify:track:6IYut5vKtMTnlxUEM6yL3R,Young Franco,6mK0vAO13gT8jWYANyoXAl
