,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.332,0.666,1,-10.342,1,0.265,0.138,0.00319,0.404,0.509,140.362,audio_features,2Mn4qhjgUdjHrd6NELhdpX,spotify:track:2Mn4qhjgUdjHrd6NELhdpX,https://api.spotify.com/v1/tracks/2Mn4qhjgUdjHrd6NELhdpX,https://api.spotify.com/v1/audio-analysis/2Mn4qhjgUdjHrd6NELhdpX,128987,3,My Agenda,spotify:track:2Mn4qhjgUdjHrd6NELhdpX,Yung Lean,67lytN32YpUxiSeWlKfHJ3
1,0.555,0.698,8,-8.706,1,0.0477,0.246,0.203,0.108,0.517,77.008,audio_features,7nHEmkpURecKykfN53r9F5,spotify:track:7nHEmkpURecKykfN53r9F5,https://api.spotify.com/v1/tracks/7nHEmkpURecKykfN53r9F5,https://api.spotify.com/v1/audio-analysis/7nHEmkpURecKykfN53r9F5,157293,4,Yayo,spotify:track:7nHEmkpURecKykfN53r9F5,Yung Lean,67lytN32YpUxiSeWlKfHJ3
2,0.393,0.646,5,-7.533,1,0.0371,0.105,0.0202,0.112,0.0521,144.869,audio_features,1WA5dWFBwokGf1dIRLYwVD,spotify:track:1WA5dWFBwokGf1dIRLYwVD,https://api.spotify.com/v1/tracks/1WA5dWFBwokGf1dIRLYwVD,https://api.spotify.com/v1/audio-analysis/1WA5dWFBwokGf1dIRLYwVD,216360,4,Boylife in EU,spotify:track:1WA5dWFBwokGf1dIRLYwVD,Yung Lean,67lytN32YpUxiSeWlKfHJ3
3,0.604,0.654,7,-7.44,1,0.261,0.321,0.00748,0.0955,0.183,173.999,audio_features,3bwSCiavJJM9UHEiqdeMW7,spotify:track:3bwSCiavJJM9UHEiqdeMW7,https://api.spotify.com/v1/tracks/3bwSCiavJJM9UHEiqdeMW7,https://api.spotify.com/v1/audio-analysis/3bwSCiavJJM9UHEiqdeMW7,172253,4,Violence,spotify:track:3bwSCiavJJM9UHEiqdeMW7,Yung Lean,67lytN32YpUxiSeWlKfHJ3
4,0.407,0.21,4,-16.196,1,0.0864,0.885,0.00221,0.12,0.626,171.638,audio_features,0Mdrf9ZHtZco3f8TgLfgc2,spotify:track:0Mdrf9ZHtZco3f8TgLfgc2,https://api.spotify.com/v1/tracks/0Mdrf9ZHtZco3f8TgLfgc2,https://api.spotify.com/v1/audio-analysis/0Mdrf9ZHtZco3f8TgLfgc2,171427,4,Outta My Head,spotify:track:0Mdrf9ZHtZco3f8TgLfgc2,Yung Lean,67lytN32YpUxiSeWlKfHJ3
5,0.59,0.455,2,-10.385,0,0.0428,0.368,0.508,0.14,0.103,130.037,audio_features,01MfNWiJORqsE3rt1LI0ft,spotify:track:01MfNWiJORqsE3rt1LI0ft,https://api.spotify.com/v1/tracks/01MfNWiJORqsE3rt1LI0ft,https://api.spotify.com/v1/audio-analysis/01MfNWiJORqsE3rt1LI0ft,173853,4,Dance in the Dark,spotify:track:01MfNWiJORqsE3rt1LI0ft,Yung Lean,67lytN32YpUxiSeWlKfHJ3
6,0.624,0.421,7,-12.602,1,0.066,0.644,0.0673,0.089,0.284,76.004,audio_features,3L60fLXCpeTF4jRL8a7kk9,spotify:track:3L60fLXCpeTF4jRL8a7kk9,https://api.spotify.com/v1/tracks/3L60fLXCpeTF4jRL8a7kk9,https://api.spotify.com/v1/audio-analysis/3L60fLXCpeTF4jRL8a7kk9,192507,4,Acid at 7/11,spotify:track:3L60fLXCpeTF4jRL8a7kk9,Yung Lean,67lytN32YpUxiSeWlKfHJ3
7,0.446,0.343,0,-12.929,1,0.036,0.643,0.0605,0.105,0.0952,114.989,audio_features,6WjAYBkzXP2NusejXjtkYQ,spotify:track:6WjAYBkzXP2NusejXjtkYQ,https://api.spotify.com/v1/tracks/6WjAYBkzXP2NusejXjtkYQ,https://api.spotify.com/v1/audio-analysis/6WjAYBkzXP2NusejXjtkYQ,260360,4,Starz,spotify:track:6WjAYBkzXP2NusejXjtkYQ,Yung Lean,67lytN32YpUxiSeWlKfHJ3
8,0.648,0.33,1,-9.818,1,0.0674,0.807,0.00113,0.112,0.227,135.024,audio_features,7lccmyCtG9z8oZJFNVKGGZ,spotify:track:7lccmyCtG9z8oZJFNVKGGZ,https://api.spotify.com/v1/tracks/7lccmyCtG9z8oZJFNVKGGZ,https://api.spotify.com/v1/audio-analysis/7lccmyCtG9z8oZJFNVKGGZ,145533,4,Hellraiser,spotify:track:7lccmyCtG9z8oZJFNVKGGZ,Yung Lean,67lytN32YpUxiSeWlKfHJ3
9,0.316,0.409,7,-10.999,1,0.0434,0.496,0.00218,0.105,0.157,133.163,audio_features,1Mbp3ZZmhlVeX8suBWpFlB,spotify:track:1Mbp3ZZmhlVeX8suBWpFlB,https://api.spotify.com/v1/tracks/1Mbp3ZZmhlVeX8suBWpFlB,https://api.spotify.com/v1/audio-analysis/1Mbp3ZZmhlVeX8suBWpFlB,157413,4,Butterfly Paralyzed,spotify:track:1Mbp3ZZmhlVeX8suBWpFlB,Yung Lean,67lytN32YpUxiSeWlKfHJ3
