,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.444,0.331,9,-10.587,1,0.0313,0.292,0.0,0.389,0.164,54.28,audio_features,2uLrXBbcWnxsPEcWnS81xM,spotify:track:2uLrXBbcWnxsPEcWnS81xM,https://api.spotify.com/v1/tracks/2uLrXBbcWnxsPEcWnS81xM,https://api.spotify.com/v1/audio-analysis/2uLrXBbcWnxsPEcWnS81xM,114400,4,Olamim,spotify:track:2uLrXBbcWnxsPEcWnS81xM,Yves Jarvis,19h4y2F9duQ776bv1YhQYt
1,0.584,0.484,1,-8.495,1,0.165,0.211,0.00559,0.295,0.556,149.557,audio_features,2wLBrHXzRH06FadpWOaFAM,spotify:track:2wLBrHXzRH06FadpWOaFAM,https://api.spotify.com/v1/tracks/2wLBrHXzRH06FadpWOaFAM,https://api.spotify.com/v1/audio-analysis/2wLBrHXzRH06FadpWOaFAM,217402,3,Ancient Chain,spotify:track:2wLBrHXzRH06FadpWOaFAM,Yves Jarvis,19h4y2F9duQ776bv1YhQYt
2,0.214,0.551,6,-7.98,0,0.0315,0.0126,0.0,0.286,0.297,84.547,audio_features,1lhD10j74xDVqfzkrzpC2W,spotify:track:1lhD10j74xDVqfzkrzpC2W,https://api.spotify.com/v1/tracks/1lhD10j74xDVqfzkrzpC2W,https://api.spotify.com/v1/audio-analysis/1lhD10j74xDVqfzkrzpC2W,77053,5,Recurring Theme,spotify:track:1lhD10j74xDVqfzkrzpC2W,Yves Jarvis,19h4y2F9duQ776bv1YhQYt
3,0.563,0.604,1,-11.72,1,0.162,0.913,0.72,0.12,0.529,170.233,audio_features,1yOf23vA3s6jJq6f4RJaTe,spotify:track:1yOf23vA3s6jJq6f4RJaTe,https://api.spotify.com/v1/tracks/1yOf23vA3s6jJq6f4RJaTe,https://api.spotify.com/v1/audio-analysis/1yOf23vA3s6jJq6f4RJaTe,177528,3,Red Champa,spotify:track:1yOf23vA3s6jJq6f4RJaTe,Yves Jarvis,19h4y2F9duQ776bv1YhQYt
4,0.697,0.771,7,-10.118,1,0.11,0.038,0.492,0.351,0.674,107.317,audio_features,1JfT1FHVUoPWy0pQ3GD82Q,spotify:track:1JfT1FHVUoPWy0pQ3GD82Q,https://api.spotify.com/v1/tracks/1JfT1FHVUoPWy0pQ3GD82Q,https://api.spotify.com/v1/audio-analysis/1JfT1FHVUoPWy0pQ3GD82Q,92822,4,Trillium,spotify:track:1JfT1FHVUoPWy0pQ3GD82Q,Yves Jarvis,19h4y2F9duQ776bv1YhQYt
5,0.313,0.736,10,-7.912,0,0.057,0.0385,0.000717,0.291,0.348,99.344,audio_features,1vWJ8P7IugqT23FVH0kWdP,spotify:track:1vWJ8P7IugqT23FVH0kWdP,https://api.spotify.com/v1/tracks/1vWJ8P7IugqT23FVH0kWdP,https://api.spotify.com/v1/audio-analysis/1vWJ8P7IugqT23FVH0kWdP,229924,4,Nymphea,spotify:track:1vWJ8P7IugqT23FVH0kWdP,Yves Jarvis,19h4y2F9duQ776bv1YhQYt
6,0.496,0.821,8,-8.487,1,0.13,0.0027,0.317,0.132,0.323,138.398,audio_features,2g1yeNpxHdQERUvujXGZLz,spotify:track:2g1yeNpxHdQERUvujXGZLz,https://api.spotify.com/v1/tracks/2g1yeNpxHdQERUvujXGZLz,https://api.spotify.com/v1/audio-analysis/2g1yeNpxHdQERUvujXGZLz,213404,4,Bone of a Hound,spotify:track:2g1yeNpxHdQERUvujXGZLz,Yves Jarvis,19h4y2F9duQ776bv1YhQYt
7,0.432,0.715,10,-9.843,0,0.0454,0.763,0.862,0.154,0.336,92.251,audio_features,64MPV7pkg1m2E8LAMC5bQx,spotify:track:64MPV7pkg1m2E8LAMC5bQx,https://api.spotify.com/v1/tracks/64MPV7pkg1m2E8LAMC5bQx,https://api.spotify.com/v1/audio-analysis/64MPV7pkg1m2E8LAMC5bQx,183823,4,Ein Sof,spotify:track:64MPV7pkg1m2E8LAMC5bQx,Yves Jarvis,19h4y2F9duQ776bv1YhQYt
8,0.317,0.476,8,-10.051,1,0.0617,0.039,0.038,0.373,0.165,83.734,audio_features,7dCdgzZ4i1o0IULL4AvrAV,spotify:track:7dCdgzZ4i1o0IULL4AvrAV,https://api.spotify.com/v1/tracks/7dCdgzZ4i1o0IULL4AvrAV,https://api.spotify.com/v1/audio-analysis/7dCdgzZ4i1o0IULL4AvrAV,218630,4,Lift My Heart,spotify:track:7dCdgzZ4i1o0IULL4AvrAV,Yves Jarvis,19h4y2F9duQ776bv1YhQYt
9,0.667,0.791,11,-7.668,0,0.109,0.00219,0.0103,0.236,0.94,124.249,audio_features,2LfN1bBdb8seTeXwpRGphg,spotify:track:2LfN1bBdb8seTeXwpRGphg,https://api.spotify.com/v1/tracks/2LfN1bBdb8seTeXwpRGphg,https://api.spotify.com/v1/audio-analysis/2LfN1bBdb8seTeXwpRGphg,135111,4,Elastic Band,spotify:track:2LfN1bBdb8seTeXwpRGphg,Yves Jarvis,19h4y2F9duQ776bv1YhQYt
10,0.39,0.125,0,-20.301,1,0.0406,0.995,0.934,0.198,0.0673,97.933,audio_features,3jdjD6trI9v1qYb02JtHtO,spotify:track:3jdjD6trI9v1qYb02JtHtO,https://api.spotify.com/v1/tracks/3jdjD6trI9v1qYb02JtHtO,https://api.spotify.com/v1/audio-analysis/3jdjD6trI9v1qYb02JtHtO,196481,1,Becoming,spotify:track:3jdjD6trI9v1qYb02JtHtO,Yves Jarvis,19h4y2F9duQ776bv1YhQYt
11,0.512,0.687,9,-8.423,1,0.0486,0.00195,0.0,0.333,0.302,119.374,audio_features,3uaAJMvehXqUzunMU4kokj,spotify:track:3uaAJMvehXqUzunMU4kokj,https://api.spotify.com/v1/tracks/3uaAJMvehXqUzunMU4kokj,https://api.spotify.com/v1/audio-analysis/3uaAJMvehXqUzunMU4kokj,88700,5,Mother's Rope,spotify:track:3uaAJMvehXqUzunMU4kokj,Yves Jarvis,19h4y2F9duQ776bv1YhQYt
