,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.701,0.561,1,-4.054,1,0.266,0.354,0.457,0.119,0.211,154.059,audio_features,4hztDCGnKSxKiAp9bom84H,spotify:track:4hztDCGnKSxKiAp9bom84H,https://api.spotify.com/v1/tracks/4hztDCGnKSxKiAp9bom84H,https://api.spotify.com/v1/audio-analysis/4hztDCGnKSxKiAp9bom84H,178171,4,Lost It,spotify:track:4hztDCGnKSxKiAp9bom84H,ZHU,28j8lBWDdDSHSSt5oPlsX2
1,0.772,0.555,2,-4.609,1,0.0632,0.0109,0.0415,0.111,0.132,124.01,audio_features,1OclhjovyOchLFT4qBW9S4,spotify:track:1OclhjovyOchLFT4qBW9S4,https://api.spotify.com/v1/tracks/1OclhjovyOchLFT4qBW9S4,https://api.spotify.com/v1/audio-analysis/1OclhjovyOchLFT4qBW9S4,247744,4,Distant Lights,spotify:track:1OclhjovyOchLFT4qBW9S4,ZHU,28j8lBWDdDSHSSt5oPlsX2
2,0.921,0.509,2,-5.646,1,0.0868,0.00294,0.0242,0.111,0.173,120.01,audio_features,2WFmsBFRt2KCYq3n3wWcfM,spotify:track:2WFmsBFRt2KCYq3n3wWcfM,https://api.spotify.com/v1/tracks/2WFmsBFRt2KCYq3n3wWcfM,https://api.spotify.com/v1/audio-analysis/2WFmsBFRt2KCYq3n3wWcfM,146571,4,Blue Dream,spotify:track:2WFmsBFRt2KCYq3n3wWcfM,ZHU,28j8lBWDdDSHSSt5oPlsX2
3,0.906,0.57,11,-6.437,0,0.21,0.0927,0.00584,0.062,0.444,124.014,audio_features,3RptaNfvFyY4vowA9YybRn,spotify:track:3RptaNfvFyY4vowA9YybRn,https://api.spotify.com/v1/tracks/3RptaNfvFyY4vowA9YybRn,https://api.spotify.com/v1/audio-analysis/3RptaNfvFyY4vowA9YybRn,188595,4,How Does It Feel,spotify:track:3RptaNfvFyY4vowA9YybRn,ZHU,28j8lBWDdDSHSSt5oPlsX2
4,0.441,0.725,9,-6.856,0,0.0486,0.141,0.136,0.144,0.0647,118.058,audio_features,20cnRi8KOX9nKUCA6mFbwF,spotify:track:20cnRi8KOX9nKUCA6mFbwF,https://api.spotify.com/v1/tracks/20cnRi8KOX9nKUCA6mFbwF,https://api.spotify.com/v1/audio-analysis/20cnRi8KOX9nKUCA6mFbwF,264676,4,Sky Is Crying,spotify:track:20cnRi8KOX9nKUCA6mFbwF,ZHU,28j8lBWDdDSHSSt5oPlsX2
5,0.802,0.665,7,-8.828,0,0.0511,0.0305,0.0277,0.15,0.0321,121.953,audio_features,4o8Cgom5tw33BTZwRB0VU9,spotify:track:4o8Cgom5tw33BTZwRB0VU9,https://api.spotify.com/v1/tracks/4o8Cgom5tw33BTZwRB0VU9,https://api.spotify.com/v1/audio-analysis/4o8Cgom5tw33BTZwRB0VU9,243087,4,Sweet Like Honey,spotify:track:4o8Cgom5tw33BTZwRB0VU9,ZHU,28j8lBWDdDSHSSt5oPlsX2
6,0.685,0.703,4,-5.957,0,0.0479,0.298,0.59,0.0777,0.0919,122.955,audio_features,5VF8zXWxamJiN0uQYGdXzx,spotify:track:5VF8zXWxamJiN0uQYGdXzx,https://api.spotify.com/v1/tracks/5VF8zXWxamJiN0uQYGdXzx,https://api.spotify.com/v1/audio-analysis/5VF8zXWxamJiN0uQYGdXzx,257734,4,Yours,spotify:track:5VF8zXWxamJiN0uQYGdXzx,ZHU,28j8lBWDdDSHSSt5oPlsX2
7,0.829,0.385,9,-8.129,0,0.124,0.484,0.000175,0.103,0.141,120.987,audio_features,4EDJwSpXqHdT1i5hxqpktf,spotify:track:4EDJwSpXqHdT1i5hxqpktf,https://api.spotify.com/v1/tracks/4EDJwSpXqHdT1i5hxqpktf,https://api.spotify.com/v1/audio-analysis/4EDJwSpXqHdT1i5hxqpktf,214651,4,SOCO,spotify:track:4EDJwSpXqHdT1i5hxqpktf,ZHU,28j8lBWDdDSHSSt5oPlsX2
8,0.797,0.572,10,-7.882,0,0.0542,0.369,0.00295,0.106,0.16,120.031,audio_features,7opQuOudbAju3SgZjMswJx,spotify:track:7opQuOudbAju3SgZjMswJx,https://api.spotify.com/v1/tracks/7opQuOudbAju3SgZjMswJx,https://api.spotify.com/v1/audio-analysis/7opQuOudbAju3SgZjMswJx,230000,4,ONLY,spotify:track:7opQuOudbAju3SgZjMswJx,ZHU,28j8lBWDdDSHSSt5oPlsX2
9,0.904,0.419,9,-6.358,1,0.0739,0.00363,0.062,0.204,0.181,122.024,audio_features,5scDX8wj7l0bWazlbpNNi8,spotify:track:5scDX8wj7l0bWazlbpNNi8,https://api.spotify.com/v1/tracks/5scDX8wj7l0bWazlbpNNi8,https://api.spotify.com/v1/audio-analysis/5scDX8wj7l0bWazlbpNNi8,230164,4,Zhudio54,spotify:track:5scDX8wj7l0bWazlbpNNi8,ZHU,28j8lBWDdDSHSSt5oPlsX2
