,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.411,0.432,8,-8.357,1,0.042,0.807,2.58e-06,0.0994,0.393,127.265,audio_features,7h7wrenhCbADpRK6ItHxI0,spotify:track:7h7wrenhCbADpRK6ItHxI0,https://api.spotify.com/v1/tracks/7h7wrenhCbADpRK6ItHxI0,https://api.spotify.com/v1/audio-analysis/7h7wrenhCbADpRK6ItHxI0,246547,3,Les jours heureux,spotify:track:7h7wrenhCbADpRK6ItHxI0,Zaz,1mbgj8ERPs8lWi7t5cYrdy
1,0.533,0.817,9,-5.41,0,0.0573,0.62,0.0,0.184,0.909,91.805,audio_features,00N4nzw54Xz4ZwtcDzqHJK,spotify:track:00N4nzw54Xz4ZwtcDzqHJK,https://api.spotify.com/v1/tracks/00N4nzw54Xz4ZwtcDzqHJK,https://api.spotify.com/v1/audio-analysis/00N4nzw54Xz4ZwtcDzqHJK,171173,4,Imagine,spotify:track:00N4nzw54Xz4ZwtcDzqHJK,Zaz,1mbgj8ERPs8lWi7t5cYrdy
2,0.695,0.712,9,-6.181,1,0.0387,0.444,1.71e-05,0.121,0.553,104.987,audio_features,0RDOAXhI1Wn83zMY1XtWf1,spotify:track:0RDOAXhI1Wn83zMY1XtWf1,https://api.spotify.com/v1/tracks/0RDOAXhI1Wn83zMY1XtWf1,https://api.spotify.com/v1/audio-analysis/0RDOAXhI1Wn83zMY1XtWf1,208093,4,De couleurs vives,spotify:track:0RDOAXhI1Wn83zMY1XtWf1,Zaz,1mbgj8ERPs8lWi7t5cYrdy
3,0.389,0.6,6,-8.871,0,0.0352,0.706,0.118,0.185,0.539,87.137,audio_features,5avSiEjUAsbomuEWYiCXPP,spotify:track:5avSiEjUAsbomuEWYiCXPP,https://api.spotify.com/v1/tracks/5avSiEjUAsbomuEWYiCXPP,https://api.spotify.com/v1/audio-analysis/5avSiEjUAsbomuEWYiCXPP,184080,1,Ce que tu es dans ma vie,spotify:track:5avSiEjUAsbomuEWYiCXPP,Zaz,1mbgj8ERPs8lWi7t5cYrdy
4,0.547,0.758,1,-6.546,1,0.0475,0.453,2.51e-05,0.11,0.548,100.161,audio_features,7AKlLXGDF5Gh7gktZIRxms,spotify:track:7AKlLXGDF5Gh7gktZIRxms,https://api.spotify.com/v1/tracks/7AKlLXGDF5Gh7gktZIRxms,https://api.spotify.com/v1/audio-analysis/7AKlLXGDF5Gh7gktZIRxms,293053,4,Tout là-haut,spotify:track:7AKlLXGDF5Gh7gktZIRxms,Zaz,1mbgj8ERPs8lWi7t5cYrdy
5,0.633,0.566,1,-8.489,0,0.043,0.412,7.67e-05,0.296,0.468,158.044,audio_features,4xyuEjZPqf2STpJ6V6bIfj,spotify:track:4xyuEjZPqf2STpJ6V6bIfj,https://api.spotify.com/v1/tracks/4xyuEjZPqf2STpJ6V6bIfj,https://api.spotify.com/v1/audio-analysis/4xyuEjZPqf2STpJ6V6bIfj,154093,4,Il faut qu’on se donne,spotify:track:4xyuEjZPqf2STpJ6V6bIfj,Zaz,1mbgj8ERPs8lWi7t5cYrdy
6,0.714,0.651,2,-7.862,0,0.0338,0.645,2.61e-05,0.112,0.215,106.973,audio_features,2RFs9C6OfM6MaGBphZi3MB,spotify:track:2RFs9C6OfM6MaGBphZi3MB,https://api.spotify.com/v1/tracks/2RFs9C6OfM6MaGBphZi3MB,https://api.spotify.com/v1/audio-analysis/2RFs9C6OfM6MaGBphZi3MB,222013,4,Exister,spotify:track:2RFs9C6OfM6MaGBphZi3MB,Zaz,1mbgj8ERPs8lWi7t5cYrdy
7,0.436,0.699,8,-6.365,1,0.0324,0.523,0.0,0.117,0.368,199.901,audio_features,6Xj8JbfaK3U6yJQH1eKfvN,spotify:track:6Xj8JbfaK3U6yJQH1eKfvN,https://api.spotify.com/v1/tracks/6Xj8JbfaK3U6yJQH1eKfvN,https://api.spotify.com/v1/audio-analysis/6Xj8JbfaK3U6yJQH1eKfvN,201973,3,À perte de rue,spotify:track:6Xj8JbfaK3U6yJQH1eKfvN,Zaz,1mbgj8ERPs8lWi7t5cYrdy
8,0.447,0.556,5,-12.842,1,0.0594,0.917,0.058,0.111,0.356,94.895,audio_features,0lfmTKnJ4EdhO8Ovi7Sisw,spotify:track:0lfmTKnJ4EdhO8Ovi7Sisw,https://api.spotify.com/v1/tracks/0lfmTKnJ4EdhO8Ovi7Sisw,https://api.spotify.com/v1/audio-analysis/0lfmTKnJ4EdhO8Ovi7Sisw,271133,4,Comme tu voudras,spotify:track:0lfmTKnJ4EdhO8Ovi7Sisw,Zaz,1mbgj8ERPs8lWi7t5cYrdy
9,0.636,0.431,4,-8.741,0,0.0306,0.866,2.3e-05,0.113,0.332,80.044,audio_features,1Sjr5FVRdID2WJSpDj1SMV,spotify:track:1Sjr5FVRdID2WJSpDj1SMV,https://api.spotify.com/v1/tracks/1Sjr5FVRdID2WJSpDj1SMV,https://api.spotify.com/v1/audio-analysis/1Sjr5FVRdID2WJSpDj1SMV,191027,4,Avec son frère,spotify:track:1Sjr5FVRdID2WJSpDj1SMV,Zaz,1mbgj8ERPs8lWi7t5cYrdy
10,0.483,0.503,0,-3.706,0,0.0256,0.868,2.05e-06,0.117,0.294,92.951,audio_features,0BjkVRVqxP1wcU78IB9qGr,spotify:track:0BjkVRVqxP1wcU78IB9qGr,https://api.spotify.com/v1/tracks/0BjkVRVqxP1wcU78IB9qGr,https://api.spotify.com/v1/audio-analysis/0BjkVRVqxP1wcU78IB9qGr,241850,3,Le jardin des larmes (feat. Till Lindemann),spotify:track:0BjkVRVqxP1wcU78IB9qGr,Zaz,1mbgj8ERPs8lWi7t5cYrdy
11,0.531,0.369,9,-10.239,1,0.0367,0.723,3.91e-06,0.0986,0.198,131.743,audio_features,7nkmJ4Xv8xiHsz0Rhm9kPV,spotify:track:7nkmJ4Xv8xiHsz0Rhm9kPV,https://api.spotify.com/v1/tracks/7nkmJ4Xv8xiHsz0Rhm9kPV,https://api.spotify.com/v1/audio-analysis/7nkmJ4Xv8xiHsz0Rhm9kPV,303587,4,Le chant des grives,spotify:track:7nkmJ4Xv8xiHsz0Rhm9kPV,Zaz,1mbgj8ERPs8lWi7t5cYrdy
12,0.462,0.231,8,-12.558,1,0.0484,0.948,8.94e-06,0.132,0.476,109.679,audio_features,07zOddkt1gACUrfZexoZtW,spotify:track:07zOddkt1gACUrfZexoZtW,https://api.spotify.com/v1/tracks/07zOddkt1gACUrfZexoZtW,https://api.spotify.com/v1/audio-analysis/07zOddkt1gACUrfZexoZtW,184813,1,Et le reste,spotify:track:07zOddkt1gACUrfZexoZtW,Zaz,1mbgj8ERPs8lWi7t5cYrdy
13,0.491,0.263,7,-11.719,1,0.0391,0.926,9.94e-05,0.114,0.278,84.27,audio_features,1gyeYL3RaqMaJK23IJH7QA,spotify:track:1gyeYL3RaqMaJK23IJH7QA,https://api.spotify.com/v1/tracks/1gyeYL3RaqMaJK23IJH7QA,https://api.spotify.com/v1/audio-analysis/1gyeYL3RaqMaJK23IJH7QA,158800,4,Demain c'est toi,spotify:track:1gyeYL3RaqMaJK23IJH7QA,Zaz,1mbgj8ERPs8lWi7t5cYrdy
