,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.371,0.225,9,-11.797,1,0.0286,0.756,1.56e-05,0.109,0.124,135.497,audio_features,6ysS3rKrkuy8dxOvkuWKZK,spotify:track:6ysS3rKrkuy8dxOvkuWKZK,https://api.spotify.com/v1/tracks/6ysS3rKrkuy8dxOvkuWKZK,https://api.spotify.com/v1/audio-analysis/6ysS3rKrkuy8dxOvkuWKZK,122640,4,hey,spotify:track:6ysS3rKrkuy8dxOvkuWKZK,boylife,6P8DiegQ0Inxj1UF6a9lCb
1,0.255,0.607,6,-6.685,1,0.145,0.0616,0.000505,0.483,0.257,35.047,audio_features,3pC8pwmXi7xJe2cU2zCRHZ,spotify:track:3pC8pwmXi7xJe2cU2zCRHZ,https://api.spotify.com/v1/tracks/3pC8pwmXi7xJe2cU2zCRHZ,https://api.spotify.com/v1/audio-analysis/3pC8pwmXi7xJe2cU2zCRHZ,168600,4,church,spotify:track:3pC8pwmXi7xJe2cU2zCRHZ,boylife,6P8DiegQ0Inxj1UF6a9lCb
2,0.248,0.373,4,-9.054,1,0.0336,0.331,0.0382,0.798,0.138,49.215,audio_features,7afu0r3cro65yBIL2YWp00,spotify:track:7afu0r3cro65yBIL2YWp00,https://api.spotify.com/v1/tracks/7afu0r3cro65yBIL2YWp00,https://api.spotify.com/v1/audio-analysis/7afu0r3cro65yBIL2YWp00,226307,4,peas,spotify:track:7afu0r3cro65yBIL2YWp00,boylife,6P8DiegQ0Inxj1UF6a9lCb
3,0.771,0.456,6,-6.844,0,0.0415,0.318,0.000244,0.137,0.355,113.974,audio_features,0xrXdCzlbKto4zPSb5lDXd,spotify:track:0xrXdCzlbKto4zPSb5lDXd,https://api.spotify.com/v1/tracks/0xrXdCzlbKto4zPSb5lDXd,https://api.spotify.com/v1/audio-analysis/0xrXdCzlbKto4zPSb5lDXd,231053,4,dio,spotify:track:0xrXdCzlbKto4zPSb5lDXd,boylife,6P8DiegQ0Inxj1UF6a9lCb
4,0.56,0.488,1,-10.192,1,0.499,0.692,0.0005,0.0964,0.42,126.827,audio_features,4mCoMenH6cm8Cttgl2D5LB,spotify:track:4mCoMenH6cm8Cttgl2D5LB,https://api.spotify.com/v1/tracks/4mCoMenH6cm8Cttgl2D5LB,https://api.spotify.com/v1/audio-analysis/4mCoMenH6cm8Cttgl2D5LB,168267,3,amphetamine,spotify:track:4mCoMenH6cm8Cttgl2D5LB,boylife,6P8DiegQ0Inxj1UF6a9lCb
5,0.728,0.602,7,-7.5,1,0.0781,0.085,0.00105,0.328,0.248,144.039,audio_features,1dREq1mzXFpNssjHGWPvo9,spotify:track:1dREq1mzXFpNssjHGWPvo9,https://api.spotify.com/v1/tracks/1dREq1mzXFpNssjHGWPvo9,https://api.spotify.com/v1/audio-analysis/1dREq1mzXFpNssjHGWPvo9,177027,4,bummy,spotify:track:1dREq1mzXFpNssjHGWPvo9,boylife,6P8DiegQ0Inxj1UF6a9lCb
6,0.629,0.392,2,-12.071,1,0.355,0.788,0.131,0.0973,0.228,79.11,audio_features,5CRiby2Cqz5H2JuSC7dfPd,spotify:track:5CRiby2Cqz5H2JuSC7dfPd,https://api.spotify.com/v1/tracks/5CRiby2Cqz5H2JuSC7dfPd,https://api.spotify.com/v1/audio-analysis/5CRiby2Cqz5H2JuSC7dfPd,95013,4,lush2,spotify:track:5CRiby2Cqz5H2JuSC7dfPd,boylife,6P8DiegQ0Inxj1UF6a9lCb
7,0.702,0.702,5,-5.849,0,0.174,0.0157,0.0,0.0833,0.454,126.037,audio_features,7FKLmkzQbOTXlOSkdkVIrJ,spotify:track:7FKLmkzQbOTXlOSkdkVIrJ,https://api.spotify.com/v1/tracks/7FKLmkzQbOTXlOSkdkVIrJ,https://api.spotify.com/v1/audio-analysis/7FKLmkzQbOTXlOSkdkVIrJ,167707,4,superpretty,spotify:track:7FKLmkzQbOTXlOSkdkVIrJ,boylife,6P8DiegQ0Inxj1UF6a9lCb
8,0.536,0.257,5,-11.066,1,0.0268,0.77,0.00351,0.124,0.482,80.016,audio_features,66yroagAzFjOcnIiqRgWPo,spotify:track:66yroagAzFjOcnIiqRgWPo,https://api.spotify.com/v1/tracks/66yroagAzFjOcnIiqRgWPo,https://api.spotify.com/v1/audio-analysis/66yroagAzFjOcnIiqRgWPo,267080,4,lush,spotify:track:66yroagAzFjOcnIiqRgWPo,boylife,6P8DiegQ0Inxj1UF6a9lCb
9,0.477,0.32,2,-12.89,1,0.0724,0.578,0.00158,0.0856,0.213,132.307,audio_features,5cCA9gRN61gyN8wgO2fPjX,spotify:track:5cCA9gRN61gyN8wgO2fPjX,https://api.spotify.com/v1/tracks/5cCA9gRN61gyN8wgO2fPjX,https://api.spotify.com/v1/audio-analysis/5cCA9gRN61gyN8wgO2fPjX,278373,4,hoon,spotify:track:5cCA9gRN61gyN8wgO2fPjX,boylife,6P8DiegQ0Inxj1UF6a9lCb
10,0.506,0.225,9,-8.649,1,0.0318,0.871,2.37e-06,0.112,0.188,124.054,audio_features,4lLBttf0iUA3dQ4gJpRGKN,spotify:track:4lLBttf0iUA3dQ4gJpRGKN,https://api.spotify.com/v1/tracks/4lLBttf0iUA3dQ4gJpRGKN,https://api.spotify.com/v1/audio-analysis/4lLBttf0iUA3dQ4gJpRGKN,229733,4,baddreams,spotify:track:4lLBttf0iUA3dQ4gJpRGKN,boylife,6P8DiegQ0Inxj1UF6a9lCb
11,0.359,0.751,1,-10.0,0,0.0513,0.294,0.796,0.108,0.0988,129.947,audio_features,3VonCBNguRp7NipLOg5BxZ,spotify:track:3VonCBNguRp7NipLOg5BxZ,https://api.spotify.com/v1/tracks/3VonCBNguRp7NipLOg5BxZ,https://api.spotify.com/v1/audio-analysis/3VonCBNguRp7NipLOg5BxZ,255080,4,goldeyes,spotify:track:3VonCBNguRp7NipLOg5BxZ,boylife,6P8DiegQ0Inxj1UF6a9lCb
12,0.691,0.751,8,-8.222,1,0.426,0.597,0.0165,0.0911,0.633,84.718,audio_features,6OxJsaqxD7yaR35qRuhyFa,spotify:track:6OxJsaqxD7yaR35qRuhyFa,https://api.spotify.com/v1/tracks/6OxJsaqxD7yaR35qRuhyFa,https://api.spotify.com/v1/audio-analysis/6OxJsaqxD7yaR35qRuhyFa,120242,4,amphetamine,spotify:track:6OxJsaqxD7yaR35qRuhyFa,boylife,6P8DiegQ0Inxj1UF6a9lCb
13,0.536,0.257,5,-11.066,1,0.0268,0.77,0.00351,0.124,0.482,80.016,audio_features,6dAwpRTPBCE8TROpbPcGcq,spotify:track:6dAwpRTPBCE8TROpbPcGcq,https://api.spotify.com/v1/tracks/6dAwpRTPBCE8TROpbPcGcq,https://api.spotify.com/v1/audio-analysis/6dAwpRTPBCE8TROpbPcGcq,267080,4,lush,spotify:track:6dAwpRTPBCE8TROpbPcGcq,boylife,6P8DiegQ0Inxj1UF6a9lCb
14,0.373,0.658,6,-5.289,1,0.164,0.101,0.000175,0.28,0.273,120.557,audio_features,2leLCJ5Gjm9gAgPbcz2frL,spotify:track:2leLCJ5Gjm9gAgPbcz2frL,https://api.spotify.com/v1/tracks/2leLCJ5Gjm9gAgPbcz2frL,https://api.spotify.com/v1/audio-analysis/2leLCJ5Gjm9gAgPbcz2frL,155434,3,church,spotify:track:2leLCJ5Gjm9gAgPbcz2frL,boylife,6P8DiegQ0Inxj1UF6a9lCb
15,0.326,0.249,7,-9.191,0,0.0302,0.957,3.69e-06,0.0647,0.183,96.337,audio_features,5qtvC0Ze5b8cqhAAqpUU5U,spotify:track:5qtvC0Ze5b8cqhAAqpUU5U,https://api.spotify.com/v1/tracks/5qtvC0Ze5b8cqhAAqpUU5U,https://api.spotify.com/v1/audio-analysis/5qtvC0Ze5b8cqhAAqpUU5U,143719,5,boston,spotify:track:5qtvC0Ze5b8cqhAAqpUU5U,boylife,6P8DiegQ0Inxj1UF6a9lCb
16,0.814,0.512,9,-5.698,1,0.034,0.0997,0.0119,0.0903,0.42,114.006,audio_features,5bW37bLG2ILFlcLYRK8AU6,spotify:track:5bW37bLG2ILFlcLYRK8AU6,https://api.spotify.com/v1/tracks/5bW37bLG2ILFlcLYRK8AU6,https://api.spotify.com/v1/audio-analysis/5bW37bLG2ILFlcLYRK8AU6,210394,4,dio,spotify:track:5bW37bLG2ILFlcLYRK8AU6,boylife,6P8DiegQ0Inxj1UF6a9lCb
17,0.731,0.586,7,-7.95,1,0.0696,0.115,0.0017,0.146,0.248,144.02,audio_features,3Cb1BM69vKCwiJu5aoEADz,spotify:track:3Cb1BM69vKCwiJu5aoEADz,https://api.spotify.com/v1/tracks/3Cb1BM69vKCwiJu5aoEADz,https://api.spotify.com/v1/audio-analysis/3Cb1BM69vKCwiJu5aoEADz,176741,4,bummy!,spotify:track:3Cb1BM69vKCwiJu5aoEADz,boylife,6P8DiegQ0Inxj1UF6a9lCb
18,0.505,0.348,4,-10.299,1,0.0314,0.297,0.014,0.16,0.136,112.011,audio_features,7u90UFSH0Y2iiDsdoXPPbR,spotify:track:7u90UFSH0Y2iiDsdoXPPbR,https://api.spotify.com/v1/tracks/7u90UFSH0Y2iiDsdoXPPbR,https://api.spotify.com/v1/audio-analysis/7u90UFSH0Y2iiDsdoXPPbR,234645,4,peas,spotify:track:7u90UFSH0Y2iiDsdoXPPbR,boylife,6P8DiegQ0Inxj1UF6a9lCb
