,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.683,0.574,11,-10.483,1,0.0443,0.562,0.897,0.102,0.11,86.656,audio_features,2HXbCeN1K3jxvvPSYZPOUp,spotify:track:2HXbCeN1K3jxvvPSYZPOUp,https://api.spotify.com/v1/tracks/2HXbCeN1K3jxvvPSYZPOUp,https://api.spotify.com/v1/audio-analysis/2HXbCeN1K3jxvvPSYZPOUp,173538,5,red reflections,spotify:track:2HXbCeN1K3jxvvPSYZPOUp,hope mona,4dY5OgoQjnx0jwht0P6siG
1,0.613,0.552,8,-9.152,1,0.123,0.607,0.75,0.121,0.168,139.918,audio_features,11QSzLodIy7O6ux1V5Tw71,spotify:track:11QSzLodIy7O6ux1V5Tw71,https://api.spotify.com/v1/tracks/11QSzLodIy7O6ux1V5Tw71,https://api.spotify.com/v1/audio-analysis/11QSzLodIy7O6ux1V5Tw71,167143,4,kaleidoscopes,spotify:track:11QSzLodIy7O6ux1V5Tw71,hope mona,4dY5OgoQjnx0jwht0P6siG
2,0.645,0.737,6,-5.528,0,0.0384,0.828,0.0558,0.337,0.144,144.012,audio_features,6GLeYrPIi52t39LagpExZI,spotify:track:6GLeYrPIi52t39LagpExZI,https://api.spotify.com/v1/tracks/6GLeYrPIi52t39LagpExZI,https://api.spotify.com/v1/audio-analysis/6GLeYrPIi52t39LagpExZI,166000,4,mixed signals,spotify:track:6GLeYrPIi52t39LagpExZI,hope mona,4dY5OgoQjnx0jwht0P6siG
3,0.654,0.451,11,-10.406,0,0.0379,0.489,0.823,0.136,0.0998,140.006,audio_features,70BO1pxMmy4NW9Erwlymh4,spotify:track:70BO1pxMmy4NW9Erwlymh4,https://api.spotify.com/v1/tracks/70BO1pxMmy4NW9Erwlymh4,https://api.spotify.com/v1/audio-analysis/70BO1pxMmy4NW9Erwlymh4,185143,4,patterns of peace,spotify:track:70BO1pxMmy4NW9Erwlymh4,hope mona,4dY5OgoQjnx0jwht0P6siG
4,0.696,0.141,11,-23.131,1,0.0628,0.847,0.885,0.098,0.148,110.025,audio_features,29aEQCuc0s6E0kcFreV46L,spotify:track:29aEQCuc0s6E0kcFreV46L,https://api.spotify.com/v1/tracks/29aEQCuc0s6E0kcFreV46L,https://api.spotify.com/v1/audio-analysis/29aEQCuc0s6E0kcFreV46L,122182,4,foggy afternoons,spotify:track:29aEQCuc0s6E0kcFreV46L,hope mona,4dY5OgoQjnx0jwht0P6siG
5,0.795,0.281,4,-12.449,0,0.416,0.467,0.93,0.105,0.137,150.002,audio_features,3PSG6Rs7rWKCVm23Y9AIdH,spotify:track:3PSG6Rs7rWKCVm23Y9AIdH,https://api.spotify.com/v1/tracks/3PSG6Rs7rWKCVm23Y9AIdH,https://api.spotify.com/v1/audio-analysis/3PSG6Rs7rWKCVm23Y9AIdH,179200,4,cloudy skies,spotify:track:3PSG6Rs7rWKCVm23Y9AIdH,hope mona,4dY5OgoQjnx0jwht0P6siG
6,0.46,0.146,2,-18.868,1,0.0736,0.947,0.829,0.105,0.128,69.22,audio_features,2FQeoy9i7ZQsFrXEdIq0t3,spotify:track:2FQeoy9i7ZQsFrXEdIq0t3,https://api.spotify.com/v1/tracks/2FQeoy9i7ZQsFrXEdIq0t3,https://api.spotify.com/v1/audio-analysis/2FQeoy9i7ZQsFrXEdIq0t3,178286,4,with you,spotify:track:2FQeoy9i7ZQsFrXEdIq0t3,hope mona,4dY5OgoQjnx0jwht0P6siG
7,0.772,0.374,3,-9.392,0,0.103,0.779,0.124,0.532,0.269,136.039,audio_features,5dP0o5QcuZ9ydNwfoTOJdJ,spotify:track:5dP0o5QcuZ9ydNwfoTOJdJ,https://api.spotify.com/v1/tracks/5dP0o5QcuZ9ydNwfoTOJdJ,https://api.spotify.com/v1/audio-analysis/5dP0o5QcuZ9ydNwfoTOJdJ,188051,4,purpose,spotify:track:5dP0o5QcuZ9ydNwfoTOJdJ,hope mona,4dY5OgoQjnx0jwht0P6siG
8,0.709,0.281,1,-13.227,0,0.0531,0.924,0.852,0.168,0.271,79.994,audio_features,56756XSqYMGrIaliGnSvdc,spotify:track:56756XSqYMGrIaliGnSvdc,https://api.spotify.com/v1/tracks/56756XSqYMGrIaliGnSvdc,https://api.spotify.com/v1/audio-analysis/56756XSqYMGrIaliGnSvdc,160500,4,borrowed time,spotify:track:56756XSqYMGrIaliGnSvdc,hope mona,4dY5OgoQjnx0jwht0P6siG
9,0.749,0.596,8,-10.157,1,0.203,0.699,0.896,0.257,0.564,84.968,audio_features,32pWKCtV5WEELjDsIguwrW,spotify:track:32pWKCtV5WEELjDsIguwrW,https://api.spotify.com/v1/tracks/32pWKCtV5WEELjDsIguwrW,https://api.spotify.com/v1/audio-analysis/32pWKCtV5WEELjDsIguwrW,242824,4,dozen ducks,spotify:track:32pWKCtV5WEELjDsIguwrW,hope mona,4dY5OgoQjnx0jwht0P6siG
