,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.871,0.462,1,-14.165,0,0.128,0.0869,0.0119,0.0936,0.45,95.014,audio_features,0xHjCPoQIRTEfAITeY5paV,spotify:track:0xHjCPoQIRTEfAITeY5paV,https://api.spotify.com/v1/tracks/0xHjCPoQIRTEfAITeY5paV,https://api.spotify.com/v1/audio-analysis/0xHjCPoQIRTEfAITeY5paV,142791,4,7er Stock,spotify:track:0xHjCPoQIRTEfAITeY5paV,makko,6ARKr2ZoLf9TDoQiZarJMt
1,0.777,0.352,9,-15.327,1,0.27,0.358,0.0115,0.132,0.462,160.944,audio_features,2RNFYfXffbqy24Iyczymvb,spotify:track:2RNFYfXffbqy24Iyczymvb,https://api.spotify.com/v1/tracks/2RNFYfXffbqy24Iyczymvb,https://api.spotify.com/v1/audio-analysis/2RNFYfXffbqy24Iyczymvb,157442,4,Dreifach,spotify:track:2RNFYfXffbqy24Iyczymvb,makko,6ARKr2ZoLf9TDoQiZarJMt
2,0.864,0.371,11,-13.5,0,0.224,0.296,0.00082,0.126,0.784,138.063,audio_features,0fMpLLz3TCynWBabcL2Dq4,spotify:track:0fMpLLz3TCynWBabcL2Dq4,https://api.spotify.com/v1/tracks/0fMpLLz3TCynWBabcL2Dq4,https://api.spotify.com/v1/audio-analysis/0fMpLLz3TCynWBabcL2Dq4,167436,4,Immer Mehr,spotify:track:0fMpLLz3TCynWBabcL2Dq4,makko,6ARKr2ZoLf9TDoQiZarJMt
3,0.761,0.156,8,-20.586,1,0.304,0.465,0.000764,0.149,0.38,154.053,audio_features,1HXmA0N9isoaSOdmFdKYll,spotify:track:1HXmA0N9isoaSOdmFdKYll,https://api.spotify.com/v1/tracks/1HXmA0N9isoaSOdmFdKYll,https://api.spotify.com/v1/audio-analysis/1HXmA0N9isoaSOdmFdKYll,164850,4,"Aus dem Block, für den Block",spotify:track:1HXmA0N9isoaSOdmFdKYll,makko,6ARKr2ZoLf9TDoQiZarJMt
4,0.826,0.442,2,-10.916,1,0.123,0.383,0.00133,0.113,0.549,137.053,audio_features,5fofj2VfKlArLPepYEwali,spotify:track:5fofj2VfKlArLPepYEwali,https://api.spotify.com/v1/tracks/5fofj2VfKlArLPepYEwali,https://api.spotify.com/v1/audio-analysis/5fofj2VfKlArLPepYEwali,112290,4,Shmoney,spotify:track:5fofj2VfKlArLPepYEwali,makko,6ARKr2ZoLf9TDoQiZarJMt
5,0.771,0.255,6,-12.943,0,0.394,0.836,0.0144,0.0813,0.512,149.97,audio_features,4oQTgfkIR2JPNqxnAXiKI6,spotify:track:4oQTgfkIR2JPNqxnAXiKI6,https://api.spotify.com/v1/tracks/4oQTgfkIR2JPNqxnAXiKI6,https://api.spotify.com/v1/audio-analysis/4oQTgfkIR2JPNqxnAXiKI6,103298,4,Auto,spotify:track:4oQTgfkIR2JPNqxnAXiKI6,makko,6ARKr2ZoLf9TDoQiZarJMt
6,0.746,0.406,9,-11.813,0,0.364,0.281,0.000639,0.163,0.395,139.969,audio_features,6zKtfglbfx72zq7n64MV4c,spotify:track:6zKtfglbfx72zq7n64MV4c,https://api.spotify.com/v1/tracks/6zKtfglbfx72zq7n64MV4c,https://api.spotify.com/v1/audio-analysis/6zKtfglbfx72zq7n64MV4c,104029,4,Keine Sterne in Berlin,spotify:track:6zKtfglbfx72zq7n64MV4c,makko,6ARKr2ZoLf9TDoQiZarJMt
7,0.831,0.36,6,-13.498,1,0.466,0.596,8.2e-05,0.0937,0.734,141.993,audio_features,7j0LW1CICw1FHya0huojpw,spotify:track:7j0LW1CICw1FHya0huojpw,https://api.spotify.com/v1/tracks/7j0LW1CICw1FHya0huojpw,https://api.spotify.com/v1/audio-analysis/7j0LW1CICw1FHya0huojpw,108099,4,Bunte Farben,spotify:track:7j0LW1CICw1FHya0huojpw,makko,6ARKr2ZoLf9TDoQiZarJMt
8,0.922,0.381,6,-13.35,0,0.54,0.307,0.0505,0.0898,0.534,97.996,audio_features,60xpLLg9NJyTTgJP0cTphH,spotify:track:60xpLLg9NJyTTgJP0cTphH,https://api.spotify.com/v1/tracks/60xpLLg9NJyTTgJP0cTphH,https://api.spotify.com/v1/audio-analysis/60xpLLg9NJyTTgJP0cTphH,115610,4,Enemies,spotify:track:60xpLLg9NJyTTgJP0cTphH,makko,6ARKr2ZoLf9TDoQiZarJMt
9,0.64,0.422,0,-9.169,1,0.102,0.908,0.00113,0.12,0.413,160.021,audio_features,6zd7SSLhfiPH8kNu6lpDO7,spotify:track:6zd7SSLhfiPH8kNu6lpDO7,https://api.spotify.com/v1/tracks/6zd7SSLhfiPH8kNu6lpDO7,https://api.spotify.com/v1/audio-analysis/6zd7SSLhfiPH8kNu6lpDO7,154551,4,Coco,spotify:track:6zd7SSLhfiPH8kNu6lpDO7,makko,6ARKr2ZoLf9TDoQiZarJMt
10,0.918,0.267,0,-9.253,1,0.233,0.502,0.0373,0.0824,0.474,129.989,audio_features,5ols9yz9onV8mR1N1jVoqF,spotify:track:5ols9yz9onV8mR1N1jVoqF,https://api.spotify.com/v1/tracks/5ols9yz9onV8mR1N1jVoqF,https://api.spotify.com/v1/audio-analysis/5ols9yz9onV8mR1N1jVoqF,236886,4,"Nein, Doch",spotify:track:5ols9yz9onV8mR1N1jVoqF,makko,6ARKr2ZoLf9TDoQiZarJMt
11,0.748,0.632,9,-10.005,1,0.291,0.101,0.415,0.106,0.421,162.02,audio_features,7CAfkjepnPhPrQxiE2zOe7,spotify:track:7CAfkjepnPhPrQxiE2zOe7,https://api.spotify.com/v1/tracks/7CAfkjepnPhPrQxiE2zOe7,https://api.spotify.com/v1/audio-analysis/7CAfkjepnPhPrQxiE2zOe7,166439,4,Life is sweet,spotify:track:7CAfkjepnPhPrQxiE2zOe7,makko,6ARKr2ZoLf9TDoQiZarJMt
12,0.738,0.498,6,-8.276,1,0.505,0.751,0.000283,0.382,0.597,154.076,audio_features,5ebw2sog4U0bh4K5Yts3Ty,spotify:track:5ebw2sog4U0bh4K5Yts3Ty,https://api.spotify.com/v1/tracks/5ebw2sog4U0bh4K5Yts3Ty,https://api.spotify.com/v1/audio-analysis/5ebw2sog4U0bh4K5Yts3Ty,159009,4,More Love,spotify:track:5ebw2sog4U0bh4K5Yts3Ty,makko,6ARKr2ZoLf9TDoQiZarJMt
13,0.716,0.529,1,-12.006,1,0.187,0.111,0.0,0.12,0.229,140.046,audio_features,2egEQssURqHyFwsmYFy4XC,spotify:track:2egEQssURqHyFwsmYFy4XC,https://api.spotify.com/v1/tracks/2egEQssURqHyFwsmYFy4XC,https://api.spotify.com/v1/audio-analysis/2egEQssURqHyFwsmYFy4XC,151578,4,Beats von meinen Bro's,spotify:track:2egEQssURqHyFwsmYFy4XC,makko,6ARKr2ZoLf9TDoQiZarJMt
14,0.803,0.42,8,-12.926,0,0.235,0.66,0.0715,0.107,0.366,146.008,audio_features,6XLdof7NWrd2R7BiUACYdZ,spotify:track:6XLdof7NWrd2R7BiUACYdZ,https://api.spotify.com/v1/tracks/6XLdof7NWrd2R7BiUACYdZ,https://api.spotify.com/v1/audio-analysis/6XLdof7NWrd2R7BiUACYdZ,205077,4,Gib mir,spotify:track:6XLdof7NWrd2R7BiUACYdZ,makko,6ARKr2ZoLf9TDoQiZarJMt
15,0.961,0.423,0,-12.045,1,0.384,0.306,1.92e-05,0.542,0.82,125.993,audio_features,6OwhiFpXbkcNmNhr2ccBdP,spotify:track:6OwhiFpXbkcNmNhr2ccBdP,https://api.spotify.com/v1/tracks/6OwhiFpXbkcNmNhr2ccBdP,https://api.spotify.com/v1/audio-analysis/6OwhiFpXbkcNmNhr2ccBdP,99566,4,Modus Nr.8,spotify:track:6OwhiFpXbkcNmNhr2ccBdP,makko,6ARKr2ZoLf9TDoQiZarJMt
16,0.63,0.565,4,-10.589,0,0.0462,0.163,0.000393,0.122,0.362,159.995,audio_features,57KUPYB6CliPsFhZTMBL3g,spotify:track:57KUPYB6CliPsFhZTMBL3g,https://api.spotify.com/v1/tracks/57KUPYB6CliPsFhZTMBL3g,https://api.spotify.com/v1/audio-analysis/57KUPYB6CliPsFhZTMBL3g,111018,4,Leb es oder lass es,spotify:track:57KUPYB6CliPsFhZTMBL3g,makko,6ARKr2ZoLf9TDoQiZarJMt
17,0.858,0.364,5,-11.992,0,0.0839,0.163,0.283,0.108,0.459,127.971,audio_features,5HjfBdWNmbtx1gj7FncCzK,spotify:track:5HjfBdWNmbtx1gj7FncCzK,https://api.spotify.com/v1/tracks/5HjfBdWNmbtx1gj7FncCzK,https://api.spotify.com/v1/audio-analysis/5HjfBdWNmbtx1gj7FncCzK,199133,4,Change the Weather,spotify:track:5HjfBdWNmbtx1gj7FncCzK,makko,6ARKr2ZoLf9TDoQiZarJMt
18,0.788,0.586,1,-10.692,1,0.113,0.531,0.000909,0.171,0.324,84.521,audio_features,0YMmdlzcWYrQHQKi9tqZcA,spotify:track:0YMmdlzcWYrQHQKi9tqZcA,https://api.spotify.com/v1/tracks/0YMmdlzcWYrQHQKi9tqZcA,https://api.spotify.com/v1/audio-analysis/0YMmdlzcWYrQHQKi9tqZcA,114426,4,H.A.H.,spotify:track:0YMmdlzcWYrQHQKi9tqZcA,makko,6ARKr2ZoLf9TDoQiZarJMt
19,0.845,0.448,6,-13.233,0,0.117,0.216,0.000192,0.0965,0.553,139.969,audio_features,1SofrA5WmoF4d3lmU87gvo,spotify:track:1SofrA5WmoF4d3lmU87gvo,https://api.spotify.com/v1/tracks/1SofrA5WmoF4d3lmU87gvo,https://api.spotify.com/v1/audio-analysis/1SofrA5WmoF4d3lmU87gvo,124829,4,Melodien,spotify:track:1SofrA5WmoF4d3lmU87gvo,makko,6ARKr2ZoLf9TDoQiZarJMt
20,0.748,0.373,8,-13.015,1,0.304,0.136,0.000682,0.111,0.477,131.001,audio_features,047TSIr5Zq6uhYAfHhGYz4,spotify:track:047TSIr5Zq6uhYAfHhGYz4,https://api.spotify.com/v1/tracks/047TSIr5Zq6uhYAfHhGYz4,https://api.spotify.com/v1/audio-analysis/047TSIr5Zq6uhYAfHhGYz4,193189,4,Halb 1,spotify:track:047TSIr5Zq6uhYAfHhGYz4,makko,6ARKr2ZoLf9TDoQiZarJMt
21,0.761,0.409,0,-17.308,1,0.068,0.107,0.000246,0.152,0.417,136.028,audio_features,0dskXiroKutXw5VKWkBBnh,spotify:track:0dskXiroKutXw5VKWkBBnh,https://api.spotify.com/v1/tracks/0dskXiroKutXw5VKWkBBnh,https://api.spotify.com/v1/audio-analysis/0dskXiroKutXw5VKWkBBnh,141239,4,Everything,spotify:track:0dskXiroKutXw5VKWkBBnh,makko,6ARKr2ZoLf9TDoQiZarJMt
22,0.715,0.467,8,-11.008,1,0.376,0.459,0.0142,0.15,0.44,171.994,audio_features,6AE80UbsQK6bdYjVYI1srS,spotify:track:6AE80UbsQK6bdYjVYI1srS,https://api.spotify.com/v1/tracks/6AE80UbsQK6bdYjVYI1srS,https://api.spotify.com/v1/audio-analysis/6AE80UbsQK6bdYjVYI1srS,212508,4,21,spotify:track:6AE80UbsQK6bdYjVYI1srS,makko,6ARKr2ZoLf9TDoQiZarJMt
23,0.9,0.555,9,-12.171,0,0.322,0.331,0.0377,0.116,0.321,125.08,audio_features,0hPzyES82xnh6GhOa2hbiw,spotify:track:0hPzyES82xnh6GhOa2hbiw,https://api.spotify.com/v1/tracks/0hPzyES82xnh6GhOa2hbiw,https://api.spotify.com/v1/audio-analysis/0hPzyES82xnh6GhOa2hbiw,170880,4,Morgen/Heute,spotify:track:0hPzyES82xnh6GhOa2hbiw,makko,6ARKr2ZoLf9TDoQiZarJMt
24,0.907,0.609,0,-6.133,1,0.188,0.035,0.0,0.0748,0.56,146.032,audio_features,0fa24jD1FAdqpmreXGNRlu,spotify:track:0fa24jD1FAdqpmreXGNRlu,https://api.spotify.com/v1/tracks/0fa24jD1FAdqpmreXGNRlu,https://api.spotify.com/v1/audio-analysis/0fa24jD1FAdqpmreXGNRlu,99600,4,Nimmasatt,spotify:track:0fa24jD1FAdqpmreXGNRlu,makko,6ARKr2ZoLf9TDoQiZarJMt
25,0.833,0.303,1,-14.247,1,0.459,0.544,2.01e-05,0.101,0.604,139.999,audio_features,4laXRqbAnZsmtkBsHOq5uE,spotify:track:4laXRqbAnZsmtkBsHOq5uE,https://api.spotify.com/v1/tracks/4laXRqbAnZsmtkBsHOq5uE,https://api.spotify.com/v1/audio-analysis/4laXRqbAnZsmtkBsHOq5uE,135000,4,Zip Bag,spotify:track:4laXRqbAnZsmtkBsHOq5uE,makko,6ARKr2ZoLf9TDoQiZarJMt
26,0.762,0.283,7,-14.955,1,0.123,0.284,0.554,0.134,0.0599,120.044,audio_features,3afBNAR4krE2HpX8iw7WFE,spotify:track:3afBNAR4krE2HpX8iw7WFE,https://api.spotify.com/v1/tracks/3afBNAR4krE2HpX8iw7WFE,https://api.spotify.com/v1/audio-analysis/3afBNAR4krE2HpX8iw7WFE,204300,4,Bequem,spotify:track:3afBNAR4krE2HpX8iw7WFE,makko,6ARKr2ZoLf9TDoQiZarJMt
27,0.791,0.656,1,-7.478,0,0.346,0.127,0.0,0.108,0.742,161.158,audio_features,7CFMmVIxakFbZ7KxBGKbLt,spotify:track:7CFMmVIxakFbZ7KxBGKbLt,https://api.spotify.com/v1/tracks/7CFMmVIxakFbZ7KxBGKbLt,https://api.spotify.com/v1/audio-analysis/7CFMmVIxakFbZ7KxBGKbLt,96894,4,Dieser eine Song den wir im Tesla gemacht haben,spotify:track:7CFMmVIxakFbZ7KxBGKbLt,makko,6ARKr2ZoLf9TDoQiZarJMt
28,0.921,0.336,5,-12.846,1,0.153,0.147,0.000835,0.0818,0.342,121.019,audio_features,4LoEzw09RiFbVFTdDpBNWZ,spotify:track:4LoEzw09RiFbVFTdDpBNWZ,https://api.spotify.com/v1/tracks/4LoEzw09RiFbVFTdDpBNWZ,https://api.spotify.com/v1/audio-analysis/4LoEzw09RiFbVFTdDpBNWZ,144793,4,Souvenir (Industrie),spotify:track:4LoEzw09RiFbVFTdDpBNWZ,makko,6ARKr2ZoLf9TDoQiZarJMt
29,0.81,0.505,11,-9.586,1,0.267,0.0744,0.000139,0.238,0.242,79.998,audio_features,0NfQ8KYA4tGzuCAuDWnEgE,spotify:track:0NfQ8KYA4tGzuCAuDWnEgE,https://api.spotify.com/v1/tracks/0NfQ8KYA4tGzuCAuDWnEgE,https://api.spotify.com/v1/audio-analysis/0NfQ8KYA4tGzuCAuDWnEgE,121484,4,INTRO,spotify:track:0NfQ8KYA4tGzuCAuDWnEgE,makko,6ARKr2ZoLf9TDoQiZarJMt
30,0.864,0.281,1,-14.104,0,0.121,0.712,0.000948,0.106,0.559,123.031,audio_features,6ONIBZM0dPYz7lZkC1mTu7,spotify:track:6ONIBZM0dPYz7lZkC1mTu7,https://api.spotify.com/v1/tracks/6ONIBZM0dPYz7lZkC1mTu7,https://api.spotify.com/v1/audio-analysis/6ONIBZM0dPYz7lZkC1mTu7,250076,4,Altbau Polar Pants,spotify:track:6ONIBZM0dPYz7lZkC1mTu7,makko,6ARKr2ZoLf9TDoQiZarJMt
31,0.934,0.334,0,-8.976,1,0.373,0.66,7.25e-05,0.354,0.324,129.963,audio_features,6X94gaASKS3l38c7UhBHdi,spotify:track:6X94gaASKS3l38c7UhBHdi,https://api.spotify.com/v1/tracks/6X94gaASKS3l38c7UhBHdi,https://api.spotify.com/v1/audio-analysis/6X94gaASKS3l38c7UhBHdi,225236,4,Kuh.mp3,spotify:track:6X94gaASKS3l38c7UhBHdi,makko,6ARKr2ZoLf9TDoQiZarJMt
32,0.735,0.539,7,-8.374,0,0.756,0.757,1.03e-05,0.1,0.0395,81.934,audio_features,24EMl9YoSKcyKZdJqIUgZV,spotify:track:24EMl9YoSKcyKZdJqIUgZV,https://api.spotify.com/v1/tracks/24EMl9YoSKcyKZdJqIUgZV,https://api.spotify.com/v1/audio-analysis/24EMl9YoSKcyKZdJqIUgZV,158834,4,Center Shocks,spotify:track:24EMl9YoSKcyKZdJqIUgZV,makko,6ARKr2ZoLf9TDoQiZarJMt
33,0.893,0.266,0,-19.76,0,0.395,0.226,0.0,0.0648,0.842,133.903,audio_features,0QWmQOmNyVlqJndYfsYwFQ,spotify:track:0QWmQOmNyVlqJndYfsYwFQ,https://api.spotify.com/v1/tracks/0QWmQOmNyVlqJndYfsYwFQ,https://api.spotify.com/v1/audio-analysis/0QWmQOmNyVlqJndYfsYwFQ,200606,4,Kein Chanel,spotify:track:0QWmQOmNyVlqJndYfsYwFQ,makko,6ARKr2ZoLf9TDoQiZarJMt
34,0.763,0.185,11,-15.342,0,0.504,0.206,0.000452,0.0795,0.0525,135.939,audio_features,3Tvf35PuvXq64nHJMSmcQf,spotify:track:3Tvf35PuvXq64nHJMSmcQf,https://api.spotify.com/v1/tracks/3Tvf35PuvXq64nHJMSmcQf,https://api.spotify.com/v1/audio-analysis/3Tvf35PuvXq64nHJMSmcQf,242142,4,Gelb,spotify:track:3Tvf35PuvXq64nHJMSmcQf,makko,6ARKr2ZoLf9TDoQiZarJMt
35,0.611,0.497,6,-9.021,0,0.127,0.252,0.00815,0.128,0.0413,76.989,audio_features,2JbnUiXHCtxK41iK61XyEf,spotify:track:2JbnUiXHCtxK41iK61XyEf,https://api.spotify.com/v1/tracks/2JbnUiXHCtxK41iK61XyEf,https://api.spotify.com/v1/audio-analysis/2JbnUiXHCtxK41iK61XyEf,150390,4,Uno,spotify:track:2JbnUiXHCtxK41iK61XyEf,makko,6ARKr2ZoLf9TDoQiZarJMt
36,0.825,0.274,2,-15.42,1,0.418,0.409,3.91e-05,0.0877,0.266,130.017,audio_features,6lKWevYNoi3ozeIfZSNpC2,spotify:track:6lKWevYNoi3ozeIfZSNpC2,https://api.spotify.com/v1/tracks/6lKWevYNoi3ozeIfZSNpC2,https://api.spotify.com/v1/audio-analysis/6lKWevYNoi3ozeIfZSNpC2,149077,4,Grad mal ein Jahr,spotify:track:6lKWevYNoi3ozeIfZSNpC2,makko,6ARKr2ZoLf9TDoQiZarJMt
37,0.778,0.439,11,-11.111,0,0.174,0.0797,0.0,0.111,0.539,147.998,audio_features,5CqkB3R0VFL4PqxNqc24jr,spotify:track:5CqkB3R0VFL4PqxNqc24jr,https://api.spotify.com/v1/tracks/5CqkB3R0VFL4PqxNqc24jr,https://api.spotify.com/v1/audio-analysis/5CqkB3R0VFL4PqxNqc24jr,220541,4,40 Stunden Woche,spotify:track:5CqkB3R0VFL4PqxNqc24jr,makko,6ARKr2ZoLf9TDoQiZarJMt
38,0.875,0.566,5,-6.904,0,0.263,0.374,2.17e-06,0.11,0.759,141.937,audio_features,5KWudhM9O4IEhB2Wm8Vihc,spotify:track:5KWudhM9O4IEhB2Wm8Vihc,https://api.spotify.com/v1/tracks/5KWudhM9O4IEhB2Wm8Vihc,https://api.spotify.com/v1/audio-analysis/5KWudhM9O4IEhB2Wm8Vihc,167430,4,GX1000,spotify:track:5KWudhM9O4IEhB2Wm8Vihc,makko,6ARKr2ZoLf9TDoQiZarJMt
39,0.853,0.51,2,-11.011,1,0.208,0.117,0.0237,0.277,0.619,116.025,audio_features,2MAS9rb9YHN3oHonOA6hMP,spotify:track:2MAS9rb9YHN3oHonOA6hMP,https://api.spotify.com/v1/tracks/2MAS9rb9YHN3oHonOA6hMP,https://api.spotify.com/v1/audio-analysis/2MAS9rb9YHN3oHonOA6hMP,192982,4,Neue Tschick,spotify:track:2MAS9rb9YHN3oHonOA6hMP,makko,6ARKr2ZoLf9TDoQiZarJMt
40,0.848,0.361,8,-12.693,1,0.595,0.501,0.0,0.13,0.0789,82.391,audio_features,0ZqpqtB7adoRj4iK9W3My8,spotify:track:0ZqpqtB7adoRj4iK9W3My8,https://api.spotify.com/v1/tracks/0ZqpqtB7adoRj4iK9W3My8,https://api.spotify.com/v1/audio-analysis/0ZqpqtB7adoRj4iK9W3My8,131190,4,Kalter Rauch,spotify:track:0ZqpqtB7adoRj4iK9W3My8,makko,6ARKr2ZoLf9TDoQiZarJMt
41,0.855,0.775,1,-5.743,1,0.195,0.228,0.00123,0.106,0.683,150.006,audio_features,3CbVz7mylrCuuxHXBAGrAX,spotify:track:3CbVz7mylrCuuxHXBAGrAX,https://api.spotify.com/v1/tracks/3CbVz7mylrCuuxHXBAGrAX,https://api.spotify.com/v1/audio-analysis/3CbVz7mylrCuuxHXBAGrAX,206124,4,Adlibs,spotify:track:3CbVz7mylrCuuxHXBAGrAX,makko,6ARKr2ZoLf9TDoQiZarJMt
42,0.871,0.462,1,-14.165,0,0.128,0.0869,0.0119,0.0936,0.45,95.014,audio_features,7FPCiXpG8gy9hSP9misXDn,spotify:track:7FPCiXpG8gy9hSP9misXDn,https://api.spotify.com/v1/tracks/7FPCiXpG8gy9hSP9misXDn,https://api.spotify.com/v1/audio-analysis/7FPCiXpG8gy9hSP9misXDn,142791,4,7er Stock,spotify:track:7FPCiXpG8gy9hSP9misXDn,makko,6ARKr2ZoLf9TDoQiZarJMt
43,0.864,0.281,1,-14.104,0,0.121,0.712,0.000948,0.106,0.559,123.031,audio_features,0b0x2jQY4YtVLTCVRpMXPo,spotify:track:0b0x2jQY4YtVLTCVRpMXPo,https://api.spotify.com/v1/tracks/0b0x2jQY4YtVLTCVRpMXPo,https://api.spotify.com/v1/audio-analysis/0b0x2jQY4YtVLTCVRpMXPo,250076,4,Altbau Polar Pants,spotify:track:0b0x2jQY4YtVLTCVRpMXPo,makko,6ARKr2ZoLf9TDoQiZarJMt
44,0.606,0.684,9,-7.83,1,0.434,0.0517,0.0,0.104,0.594,175.974,audio_features,4PafGaqdq079wYHRN8bzjX,spotify:track:4PafGaqdq079wYHRN8bzjX,https://api.spotify.com/v1/tracks/4PafGaqdq079wYHRN8bzjX,https://api.spotify.com/v1/audio-analysis/4PafGaqdq079wYHRN8bzjX,197045,4,Fast Jeden Tag,spotify:track:4PafGaqdq079wYHRN8bzjX,makko,6ARKr2ZoLf9TDoQiZarJMt
