,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.248,0.303,4,-21.613,0,0.198,0.171,0.0,0.515,0.0394,175.457,audio_features,6NnJuD7EpewihDnLtnlCIa,spotify:track:6NnJuD7EpewihDnLtnlCIa,https://api.spotify.com/v1/tracks/6NnJuD7EpewihDnLtnlCIa,https://api.spotify.com/v1/audio-analysis/6NnJuD7EpewihDnLtnlCIa,106115,3,The World Is Ending Soon!,spotify:track:6NnJuD7EpewihDnLtnlCIa,p4rkr,2QpNu8tDPv9n7oY34J1TtN
1,0.588,0.869,0,-2.361,1,0.0887,0.00193,0.133,0.153,0.0519,76.447,audio_features,1AzF49Bow25YHLSxBOkWux,spotify:track:1AzF49Bow25YHLSxBOkWux,https://api.spotify.com/v1/tracks/1AzF49Bow25YHLSxBOkWux,https://api.spotify.com/v1/audio-analysis/1AzF49Bow25YHLSxBOkWux,182389,4,"from paris, with love",spotify:track:1AzF49Bow25YHLSxBOkWux,p4rkr,2QpNu8tDPv9n7oY34J1TtN
2,0.367,0.572,11,-8.723,0,0.0867,0.433,0.00549,0.109,0.195,80.726,audio_features,5LWNeUDJYidxGHgVs9UWka,spotify:track:5LWNeUDJYidxGHgVs9UWka,https://api.spotify.com/v1/tracks/5LWNeUDJYidxGHgVs9UWka,https://api.spotify.com/v1/audio-analysis/5LWNeUDJYidxGHgVs9UWka,211024,4,can you really blame me for how i react,spotify:track:5LWNeUDJYidxGHgVs9UWka,p4rkr,2QpNu8tDPv9n7oY34J1TtN
3,0.548,0.406,11,-10.047,0,0.16,0.142,0.017,0.483,0.575,169.971,audio_features,74iT068MklPydaJ13V5EqG,spotify:track:74iT068MklPydaJ13V5EqG,https://api.spotify.com/v1/tracks/74iT068MklPydaJ13V5EqG,https://api.spotify.com/v1/audio-analysis/74iT068MklPydaJ13V5EqG,103082,4,coping mechanism,spotify:track:74iT068MklPydaJ13V5EqG,p4rkr,2QpNu8tDPv9n7oY34J1TtN
4,0.348,0.187,6,-24.498,1,0.0522,0.115,0.000458,0.394,0.494,71.936,audio_features,1p7okvd85kQ0yAJHcN8Mpd,spotify:track:1p7okvd85kQ0yAJHcN8Mpd,https://api.spotify.com/v1/tracks/1p7okvd85kQ0yAJHcN8Mpd,https://api.spotify.com/v1/audio-analysis/1p7okvd85kQ0yAJHcN8Mpd,270817,3,birthday girl,spotify:track:1p7okvd85kQ0yAJHcN8Mpd,p4rkr,2QpNu8tDPv9n7oY34J1TtN
5,0.501,0.387,10,-17.091,0,0.033,0.225,0.875,0.344,0.234,159.227,audio_features,5IZ9FoiHGRQoK6tt0EIgcL,spotify:track:5IZ9FoiHGRQoK6tt0EIgcL,https://api.spotify.com/v1/tracks/5IZ9FoiHGRQoK6tt0EIgcL,https://api.spotify.com/v1/audio-analysis/5IZ9FoiHGRQoK6tt0EIgcL,158534,4,silly,spotify:track:5IZ9FoiHGRQoK6tt0EIgcL,p4rkr,2QpNu8tDPv9n7oY34J1TtN
6,0.462,0.7,1,-4.427,1,0.184,0.0019,0.569,0.422,0.21,138.999,audio_features,3492p2Ck7KPr25bsHmskut,spotify:track:3492p2Ck7KPr25bsHmskut,https://api.spotify.com/v1/tracks/3492p2Ck7KPr25bsHmskut,https://api.spotify.com/v1/audio-analysis/3492p2Ck7KPr25bsHmskut,164322,3,perfect imperfection,spotify:track:3492p2Ck7KPr25bsHmskut,p4rkr,2QpNu8tDPv9n7oY34J1TtN
7,0.598,0.27,11,-15.867,1,0.1,0.636,0.0,0.128,0.331,153.381,audio_features,0QiSMMcwZN7Ydjn4gY5GqK,spotify:track:0QiSMMcwZN7Ydjn4gY5GqK,https://api.spotify.com/v1/tracks/0QiSMMcwZN7Ydjn4gY5GqK,https://api.spotify.com/v1/audio-analysis/0QiSMMcwZN7Ydjn4gY5GqK,129808,4,mallgrabber p,spotify:track:0QiSMMcwZN7Ydjn4gY5GqK,p4rkr,2QpNu8tDPv9n7oY34J1TtN
8,0.441,0.689,11,-7.1,0,0.324,0.0757,0.0,0.268,0.366,97.358,audio_features,5KgHpSsHXeAaPfzRjELRmf,spotify:track:5KgHpSsHXeAaPfzRjELRmf,https://api.spotify.com/v1/tracks/5KgHpSsHXeAaPfzRjELRmf,https://api.spotify.com/v1/audio-analysis/5KgHpSsHXeAaPfzRjELRmf,138938,5,12/25/18,spotify:track:5KgHpSsHXeAaPfzRjELRmf,p4rkr,2QpNu8tDPv9n7oY34J1TtN
9,0.704,0.977,7,-2.881,1,0.229,0.00545,0.0148,0.613,0.391,145.435,audio_features,5W7PmM8MOK5T6ZOxeSNE9F,spotify:track:5W7PmM8MOK5T6ZOxeSNE9F,https://api.spotify.com/v1/tracks/5W7PmM8MOK5T6ZOxeSNE9F,https://api.spotify.com/v1/audio-analysis/5W7PmM8MOK5T6ZOxeSNE9F,152851,4,change that,spotify:track:5W7PmM8MOK5T6ZOxeSNE9F,p4rkr,2QpNu8tDPv9n7oY34J1TtN
