,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.761,0.374,0,-13.707,0,0.146,0.993,0.92,0.191,0.709,128.68,audio_features,0xnEioKGdJOshP9c1h9W2I,spotify:track:0xnEioKGdJOshP9c1h9W2I,https://api.spotify.com/v1/tracks/0xnEioKGdJOshP9c1h9W2I,https://api.spotify.com/v1/audio-analysis/0xnEioKGdJOshP9c1h9W2I,319784,4,Wonder,spotify:track:0xnEioKGdJOshP9c1h9W2I,respectfulchild,3OTgnT18sMnbruWq1oIy2b
1,0.842,0.204,7,-17.013,1,0.0783,0.984,0.947,0.102,0.0642,122.93,audio_features,5ahro5t5EYxfHiL1BvJOSo,spotify:track:5ahro5t5EYxfHiL1BvJOSo,https://api.spotify.com/v1/tracks/5ahro5t5EYxfHiL1BvJOSo,https://api.spotify.com/v1/audio-analysis/5ahro5t5EYxfHiL1BvJOSo,249716,3,Time,spotify:track:5ahro5t5EYxfHiL1BvJOSo,respectfulchild,3OTgnT18sMnbruWq1oIy2b
2,0.619,0.701,9,-12.37,1,0.0357,0.972,0.95,0.148,0.703,104.913,audio_features,1abMMHkPuprcGkFqsC4k1H,spotify:track:1abMMHkPuprcGkFqsC4k1H,https://api.spotify.com/v1/tracks/1abMMHkPuprcGkFqsC4k1H,https://api.spotify.com/v1/audio-analysis/1abMMHkPuprcGkFqsC4k1H,338000,4,Glitter,spotify:track:1abMMHkPuprcGkFqsC4k1H,respectfulchild,3OTgnT18sMnbruWq1oIy2b
3,0.612,0.286,8,-13.965,1,0.0484,0.979,0.825,0.112,0.519,136.971,audio_features,6axbjX7O8m57Hh65VIIRIt,spotify:track:6axbjX7O8m57Hh65VIIRIt,https://api.spotify.com/v1/tracks/6axbjX7O8m57Hh65VIIRIt,https://api.spotify.com/v1/audio-analysis/6axbjX7O8m57Hh65VIIRIt,298264,4,Drops,spotify:track:6axbjX7O8m57Hh65VIIRIt,respectfulchild,3OTgnT18sMnbruWq1oIy2b
4,0.605,0.226,5,-11.986,1,0.0391,0.984,0.928,0.117,0.0659,109.626,audio_features,1AnL8m9A2USydy63pFDDZd,spotify:track:1AnL8m9A2USydy63pFDDZd,https://api.spotify.com/v1/tracks/1AnL8m9A2USydy63pFDDZd,https://api.spotify.com/v1/audio-analysis/1AnL8m9A2USydy63pFDDZd,384236,4,Float,spotify:track:1AnL8m9A2USydy63pFDDZd,respectfulchild,3OTgnT18sMnbruWq1oIy2b
5,0.38,0.525,2,-14.768,0,0.0407,0.89,0.928,0.0905,0.476,131.77,audio_features,1jspYgLT6oJ7h1iiyUJWrV,spotify:track:1jspYgLT6oJ7h1iiyUJWrV,https://api.spotify.com/v1/tracks/1jspYgLT6oJ7h1iiyUJWrV,https://api.spotify.com/v1/audio-analysis/1jspYgLT6oJ7h1iiyUJWrV,377147,4,Trickle,spotify:track:1jspYgLT6oJ7h1iiyUJWrV,respectfulchild,3OTgnT18sMnbruWq1oIy2b
6,0.664,0.362,0,-14.223,0,0.045,0.987,0.857,0.0756,0.605,151.064,audio_features,1zv39KErODbq2XXBaRyLqB,spotify:track:1zv39KErODbq2XXBaRyLqB,https://api.spotify.com/v1/tracks/1zv39KErODbq2XXBaRyLqB,https://api.spotify.com/v1/audio-analysis/1zv39KErODbq2XXBaRyLqB,323046,4,Twirl,spotify:track:1zv39KErODbq2XXBaRyLqB,respectfulchild,3OTgnT18sMnbruWq1oIy2b
7,0.48,0.144,0,-19.454,1,0.0335,0.926,0.921,0.116,0.101,140.097,audio_features,00ncspiWB60684QsWW58Sy,spotify:track:00ncspiWB60684QsWW58Sy,https://api.spotify.com/v1/tracks/00ncspiWB60684QsWW58Sy,https://api.spotify.com/v1/audio-analysis/00ncspiWB60684QsWW58Sy,230085,4,Lake Agco Droplets (Luyos MC remix),spotify:track:00ncspiWB60684QsWW58Sy,respectfulchild,3OTgnT18sMnbruWq1oIy2b
8,0.227,0.452,0,-14.098,0,0.0393,0.886,0.864,0.11,0.163,151.052,audio_features,1Ea5xLeB3GZhf9qHVqDkZ6,spotify:track:1Ea5xLeB3GZhf9qHVqDkZ6,https://api.spotify.com/v1/tracks/1Ea5xLeB3GZhf9qHVqDkZ6,https://api.spotify.com/v1/audio-analysis/1Ea5xLeB3GZhf9qHVqDkZ6,401747,4,Twirl (Broken by an Ant and an Atom),spotify:track:1Ea5xLeB3GZhf9qHVqDkZ6,respectfulchild,3OTgnT18sMnbruWq1oIy2b
9,0.383,0.438,7,-11.028,0,0.0865,0.869,2.24e-05,0.267,0.112,89.944,audio_features,5bLJAdDxEDmXrXj4iBzEsS,spotify:track:5bLJAdDxEDmXrXj4iBzEsS,https://api.spotify.com/v1/tracks/5bLJAdDxEDmXrXj4iBzEsS,https://api.spotify.com/v1/audio-analysis/5bLJAdDxEDmXrXj4iBzEsS,228385,3,Radiant Particles,spotify:track:5bLJAdDxEDmXrXj4iBzEsS,respectfulchild,3OTgnT18sMnbruWq1oIy2b
