,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.304,0.523,3,-14.5,1,0.0483,0.924,0.933,0.358,0.225,119.149,audio_features,1v6cXZaAFMmhodY5MbRZPu,spotify:track:1v6cXZaAFMmhodY5MbRZPu,https://api.spotify.com/v1/tracks/1v6cXZaAFMmhodY5MbRZPu,https://api.spotify.com/v1/audio-analysis/1v6cXZaAFMmhodY5MbRZPu,223822,1,Melt in My Heated Hands,spotify:track:1v6cXZaAFMmhodY5MbRZPu,upsammy,2orXY2oMFNUtiNrNMDyreV
1,0.712,0.652,1,-5.348,1,0.0516,0.0831,0.792,0.0997,0.443,164.045,audio_features,0QCtUV5tdwfqnupRTrFrNj,spotify:track:0QCtUV5tdwfqnupRTrFrNj,https://api.spotify.com/v1/tracks/0QCtUV5tdwfqnupRTrFrNj,https://api.spotify.com/v1/audio-analysis/0QCtUV5tdwfqnupRTrFrNj,243629,4,Growing Out of the Plastic Box,spotify:track:0QCtUV5tdwfqnupRTrFrNj,upsammy,2orXY2oMFNUtiNrNMDyreV
2,0.56,0.967,5,-8.672,1,0.0657,0.257,0.873,0.328,0.44,179.948,audio_features,2fZ9nmt22LWM3LT2McSOBh,spotify:track:2fZ9nmt22LWM3LT2McSOBh,https://api.spotify.com/v1/tracks/2fZ9nmt22LWM3LT2McSOBh,https://api.spotify.com/v1/audio-analysis/2fZ9nmt22LWM3LT2McSOBh,221879,4,It Drips,spotify:track:2fZ9nmt22LWM3LT2McSOBh,upsammy,2orXY2oMFNUtiNrNMDyreV
3,0.732,0.735,4,-7.217,0,0.0836,0.0599,0.742,0.0532,0.814,160.014,audio_features,7I2BFOcdgYxxbKXTTW5C01,spotify:track:7I2BFOcdgYxxbKXTTW5C01,https://api.spotify.com/v1/tracks/7I2BFOcdgYxxbKXTTW5C01,https://api.spotify.com/v1/audio-analysis/7I2BFOcdgYxxbKXTTW5C01,258213,4,Subsoil,spotify:track:7I2BFOcdgYxxbKXTTW5C01,upsammy,2orXY2oMFNUtiNrNMDyreV
4,0.656,0.766,10,-8.567,0,0.0333,0.000926,0.903,0.128,0.368,121.992,audio_features,2cdyjOUqVf6Ejo8TMUNgxO,spotify:track:2cdyjOUqVf6Ejo8TMUNgxO,https://api.spotify.com/v1/tracks/2cdyjOUqVf6Ejo8TMUNgxO,https://api.spotify.com/v1/audio-analysis/2cdyjOUqVf6Ejo8TMUNgxO,276714,4,In a Shade,spotify:track:2cdyjOUqVf6Ejo8TMUNgxO,upsammy,2orXY2oMFNUtiNrNMDyreV
5,0.726,0.579,0,-8.258,1,0.0419,0.118,4.28e-05,0.0942,0.726,149.885,audio_features,1L6PHCgkaAUeAIQlu9xyXz,spotify:track:1L6PHCgkaAUeAIQlu9xyXz,https://api.spotify.com/v1/tracks/1L6PHCgkaAUeAIQlu9xyXz,https://api.spotify.com/v1/audio-analysis/1L6PHCgkaAUeAIQlu9xyXz,196548,4,Echo Boomed,spotify:track:1L6PHCgkaAUeAIQlu9xyXz,upsammy,2orXY2oMFNUtiNrNMDyreV
6,0.673,0.716,6,-8.132,0,0.0434,0.00654,0.938,0.145,0.546,147.981,audio_features,1BfGhBU1QaBNQlo5JeiiG7,spotify:track:1BfGhBU1QaBNQlo5JeiiG7,https://api.spotify.com/v1/tracks/1BfGhBU1QaBNQlo5JeiiG7,https://api.spotify.com/v1/audio-analysis/1BfGhBU1QaBNQlo5JeiiG7,305042,4,Send-Zen,spotify:track:1BfGhBU1QaBNQlo5JeiiG7,upsammy,2orXY2oMFNUtiNrNMDyreV
7,0.716,0.928,8,-7.182,1,0.0326,0.95,0.907,0.139,0.424,133.996,audio_features,0ZBFBvlSWEYrESFmpErPgk,spotify:track:0ZBFBvlSWEYrESFmpErPgk,https://api.spotify.com/v1/tracks/0ZBFBvlSWEYrESFmpErPgk,https://api.spotify.com/v1/audio-analysis/0ZBFBvlSWEYrESFmpErPgk,222042,4,Overflowering,spotify:track:0ZBFBvlSWEYrESFmpErPgk,upsammy,2orXY2oMFNUtiNrNMDyreV
8,0.675,0.834,7,-8.918,1,0.0487,0.401,0.892,0.107,0.363,170.002,audio_features,0s1QGf1zdgw7Q2yR3OfK3X,spotify:track:0s1QGf1zdgw7Q2yR3OfK3X,https://api.spotify.com/v1/tracks/0s1QGf1zdgw7Q2yR3OfK3X,https://api.spotify.com/v1/audio-analysis/0s1QGf1zdgw7Q2yR3OfK3X,219595,4,Extra Warm,spotify:track:0s1QGf1zdgw7Q2yR3OfK3X,upsammy,2orXY2oMFNUtiNrNMDyreV
9,0.664,0.636,8,-9.426,0,0.165,0.024,0.881,0.291,0.569,192.065,audio_features,0l4Lx5dYEUii1arFNKVMdj,spotify:track:0l4Lx5dYEUii1arFNKVMdj,https://api.spotify.com/v1/tracks/0l4Lx5dYEUii1arFNKVMdj,https://api.spotify.com/v1/audio-analysis/0l4Lx5dYEUii1arFNKVMdj,183500,3,Twisted Like a Flame,spotify:track:0l4Lx5dYEUii1arFNKVMdj,upsammy,2orXY2oMFNUtiNrNMDyreV
