,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.789,0.781,1,-5.938,1,0.0413,0.0564,0.00113,0.131,0.665,115.004,audio_features,64KERoGCpH3j5RLbbvascO,spotify:track:64KERoGCpH3j5RLbbvascO,https://api.spotify.com/v1/tracks/64KERoGCpH3j5RLbbvascO,https://api.spotify.com/v1/audio-analysis/64KERoGCpH3j5RLbbvascO,184601,4,Superman,spotify:track:64KERoGCpH3j5RLbbvascO,zzoilo,7c53ZFyajVMTo08HmvoB6b
1,0.748,0.761,2,-6.621,1,0.102,0.122,6.56e-06,0.0984,0.362,116.041,audio_features,5TMLavqGRKNxgzMBrVpC9R,spotify:track:5TMLavqGRKNxgzMBrVpC9R,https://api.spotify.com/v1/tracks/5TMLavqGRKNxgzMBrVpC9R,https://api.spotify.com/v1/audio-analysis/5TMLavqGRKNxgzMBrVpC9R,179940,4,Mon Amour - Remix,spotify:track:5TMLavqGRKNxgzMBrVpC9R,zzoilo,7c53ZFyajVMTo08HmvoB6b
2,0.823,0.485,10,-8.497,1,0.0746,0.0564,0.00286,0.109,0.711,124.967,audio_features,5vK8cCEReYGxYGcJnZ1BEZ,spotify:track:5vK8cCEReYGxYGcJnZ1BEZ,https://api.spotify.com/v1/tracks/5vK8cCEReYGxYGcJnZ1BEZ,https://api.spotify.com/v1/audio-analysis/5vK8cCEReYGxYGcJnZ1BEZ,136665,4,Matches,spotify:track:5vK8cCEReYGxYGcJnZ1BEZ,zzoilo,7c53ZFyajVMTo08HmvoB6b
3,0.719,0.526,0,-10.675,1,0.0268,0.142,1.22e-05,0.214,0.485,125.002,audio_features,3K6M2FsL7EORJRrfRjNxiA,spotify:track:3K6M2FsL7EORJRrfRjNxiA,https://api.spotify.com/v1/tracks/3K6M2FsL7EORJRrfRjNxiA,https://api.spotify.com/v1/audio-analysis/3K6M2FsL7EORJRrfRjNxiA,148107,4,Mamá,spotify:track:3K6M2FsL7EORJRrfRjNxiA,zzoilo,7c53ZFyajVMTo08HmvoB6b
4,0.79,0.452,10,-9.702,1,0.0689,0.159,0.214,0.0617,0.86,115.014,audio_features,7kFKk1Bs6Z3lw2hGEr7HZX,spotify:track:7kFKk1Bs6Z3lw2hGEr7HZX,https://api.spotify.com/v1/tracks/7kFKk1Bs6Z3lw2hGEr7HZX,https://api.spotify.com/v1/audio-analysis/7kFKk1Bs6Z3lw2hGEr7HZX,173848,4,Menta,spotify:track:7kFKk1Bs6Z3lw2hGEr7HZX,zzoilo,7c53ZFyajVMTo08HmvoB6b
5,0.395,0.699,10,-8.954,1,0.0476,0.0122,0.0,0.101,0.653,191.938,audio_features,6B8ARdTCvsrKY3vimc0T9A,spotify:track:6B8ARdTCvsrKY3vimc0T9A,https://api.spotify.com/v1/tracks/6B8ARdTCvsrKY3vimc0T9A,https://api.spotify.com/v1/audio-analysis/6B8ARdTCvsrKY3vimc0T9A,194359,4,"Luces, Cámara, Acción",spotify:track:6B8ARdTCvsrKY3vimc0T9A,zzoilo,7c53ZFyajVMTo08HmvoB6b
6,0.76,0.616,2,-8.557,1,0.0842,0.403,0.00053,0.107,0.168,116.027,audio_features,064ikblBFGS6HL35D71LZy,spotify:track:064ikblBFGS6HL35D71LZy,https://api.spotify.com/v1/tracks/064ikblBFGS6HL35D71LZy,https://api.spotify.com/v1/audio-analysis/064ikblBFGS6HL35D71LZy,173836,4,Mon amour,spotify:track:064ikblBFGS6HL35D71LZy,zzoilo,7c53ZFyajVMTo08HmvoB6b
7,0.797,0.684,1,-3.504,1,0.082,0.303,0.000653,0.29,0.71,132.028,audio_features,4vI39tnvRB9IsZLqANcGvp,spotify:track:4vI39tnvRB9IsZLqANcGvp,https://api.spotify.com/v1/tracks/4vI39tnvRB9IsZLqANcGvp,https://api.spotify.com/v1/audio-analysis/4vI39tnvRB9IsZLqANcGvp,178753,4,Romeo Y Julieta,spotify:track:4vI39tnvRB9IsZLqANcGvp,zzoilo,7c53ZFyajVMTo08HmvoB6b
8,0.748,0.761,2,-6.621,1,0.102,0.122,6.56e-06,0.0984,0.362,116.041,audio_features,5wpAgiPyOwTxw22VfhyO14,spotify:track:5wpAgiPyOwTxw22VfhyO14,https://api.spotify.com/v1/tracks/5wpAgiPyOwTxw22VfhyO14,https://api.spotify.com/v1/audio-analysis/5wpAgiPyOwTxw22VfhyO14,179940,4,Mon Amour - Remix,spotify:track:5wpAgiPyOwTxw22VfhyO14,zzoilo,7c53ZFyajVMTo08HmvoB6b
9,0.764,0.821,8,-4.153,1,0.249,0.266,0.0,0.0728,0.963,95.921,audio_features,71DhN6Z9T2NumSuGwYaPnV,spotify:track:71DhN6Z9T2NumSuGwYaPnV,https://api.spotify.com/v1/tracks/71DhN6Z9T2NumSuGwYaPnV,https://api.spotify.com/v1/audio-analysis/71DhN6Z9T2NumSuGwYaPnV,198255,4,El Otro,spotify:track:71DhN6Z9T2NumSuGwYaPnV,zzoilo,7c53ZFyajVMTo08HmvoB6b
