,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.533,0.35,2,-11.905,1,0.0274,0.863,0.00473,0.103,0.234,143.803,audio_features,53C1GpHNcetiWnJ0Nmq4fa,spotify:track:53C1GpHNcetiWnJ0Nmq4fa,https://api.spotify.com/v1/tracks/53C1GpHNcetiWnJ0Nmq4fa,https://api.spotify.com/v1/audio-analysis/53C1GpHNcetiWnJ0Nmq4fa,238347,4,Pictures,spotify:track:53C1GpHNcetiWnJ0Nmq4fa,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
1,0.575,0.64,9,-8.698,0,0.0264,0.333,0.128,0.124,0.4,109.975,audio_features,5ga5p1dTeLoauyoNuHopvk,spotify:track:5ga5p1dTeLoauyoNuHopvk,https://api.spotify.com/v1/tracks/5ga5p1dTeLoauyoNuHopvk,https://api.spotify.com/v1/audio-analysis/5ga5p1dTeLoauyoNuHopvk,210467,4,Youth,spotify:track:5ga5p1dTeLoauyoNuHopvk,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
2,0.422,0.342,7,-10.974,1,0.0298,0.66,0.541,0.109,0.137,133.814,audio_features,3jLCa9PhvmBGJ7mSpqMGCK,spotify:track:3jLCa9PhvmBGJ7mSpqMGCK,https://api.spotify.com/v1/tracks/3jLCa9PhvmBGJ7mSpqMGCK,https://api.spotify.com/v1/audio-analysis/3jLCa9PhvmBGJ7mSpqMGCK,195213,4,Breathe,spotify:track:3jLCa9PhvmBGJ7mSpqMGCK,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
3,0.532,0.304,1,-10.23,1,0.0298,0.955,0.0206,0.128,0.448,78.951,audio_features,6BwxnLXY7MgMz68Zl19fGW,spotify:track:6BwxnLXY7MgMz68Zl19fGW,https://api.spotify.com/v1/tracks/6BwxnLXY7MgMz68Zl19fGW,https://api.spotify.com/v1/audio-analysis/6BwxnLXY7MgMz68Zl19fGW,227613,3,Eventide,spotify:track:6BwxnLXY7MgMz68Zl19fGW,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
4,0.708,0.573,10,-8.872,0,0.0313,0.464,0.0889,0.112,0.843,137.967,audio_features,4cBIyDemUa1zAzg7mfQw1v,spotify:track:4cBIyDemUa1zAzg7mfQw1v,https://api.spotify.com/v1/tracks/4cBIyDemUa1zAzg7mfQw1v,https://api.spotify.com/v1/audio-analysis/4cBIyDemUa1zAzg7mfQw1v,221907,4,Lazy Giants,spotify:track:4cBIyDemUa1zAzg7mfQw1v,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
5,0.55,0.811,0,-9.985,1,0.053,0.763,0.504,0.0578,0.262,103.537,audio_features,7cf2qQPYq4Vfk9dhuWKgc5,spotify:track:7cf2qQPYq4Vfk9dhuWKgc5,https://api.spotify.com/v1/tracks/7cf2qQPYq4Vfk9dhuWKgc5,https://api.spotify.com/v1/audio-analysis/7cf2qQPYq4Vfk9dhuWKgc5,173293,4,Overlay,spotify:track:7cf2qQPYq4Vfk9dhuWKgc5,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
6,0.433,0.445,1,-11.757,1,0.0589,0.338,0.758,0.0502,0.126,195.918,audio_features,63np9YgWq4TOp8MjyK34Gk,spotify:track:63np9YgWq4TOp8MjyK34Gk,https://api.spotify.com/v1/tracks/63np9YgWq4TOp8MjyK34Gk,https://api.spotify.com/v1/audio-analysis/63np9YgWq4TOp8MjyK34Gk,218093,4,Rattled Snow,spotify:track:63np9YgWq4TOp8MjyK34Gk,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
7,0.61,0.399,3,-9.639,0,0.0342,0.84,0.587,0.0949,0.346,134.931,audio_features,7bmfCCODfBDtpSkvfjOAnX,spotify:track:7bmfCCODfBDtpSkvfjOAnX,https://api.spotify.com/v1/tracks/7bmfCCODfBDtpSkvfjOAnX,https://api.spotify.com/v1/audio-analysis/7bmfCCODfBDtpSkvfjOAnX,247853,4,Turn Gold to Sand,spotify:track:7bmfCCODfBDtpSkvfjOAnX,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
8,0.674,0.43,10,-8.893,0,0.0283,0.749,0.0359,0.131,0.466,101.012,audio_features,2iMPrd0G3FLuDDWaYzHk36,spotify:track:2iMPrd0G3FLuDDWaYzHk36,https://api.spotify.com/v1/tracks/2iMPrd0G3FLuDDWaYzHk36,https://api.spotify.com/v1/audio-analysis/2iMPrd0G3FLuDDWaYzHk36,273360,4,Living Water,spotify:track:2iMPrd0G3FLuDDWaYzHk36,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
9,0.672,0.625,1,-10.322,0,0.0493,0.391,0.0175,0.116,0.409,151.984,audio_features,6aZI50qODM0fUz3PgRhPlD,spotify:track:6aZI50qODM0fUz3PgRhPlD,https://api.spotify.com/v1/tracks/6aZI50qODM0fUz3PgRhPlD,https://api.spotify.com/v1/audio-analysis/6aZI50qODM0fUz3PgRhPlD,263147,4,Until Daybreak,spotify:track:6aZI50qODM0fUz3PgRhPlD,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
10,0.619,0.734,5,-9.893,0,0.0335,0.226,0.829,0.108,0.18,124.97,audio_features,6w69gAbt7CtBdFqjh0lgn8,spotify:track:6w69gAbt7CtBdFqjh0lgn8,https://api.spotify.com/v1/tracks/6w69gAbt7CtBdFqjh0lgn8,https://api.spotify.com/v1/audio-analysis/6w69gAbt7CtBdFqjh0lgn8,264947,4,Bury The Moon,spotify:track:6w69gAbt7CtBdFqjh0lgn8,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
11,0.544,0.35,2,-11.889,1,0.0276,0.862,0.00383,0.101,0.233,143.72,audio_features,3xB4fMt8HTVKRJZS9neG6S,spotify:track:3xB4fMt8HTVKRJZS9neG6S,https://api.spotify.com/v1/tracks/3xB4fMt8HTVKRJZS9neG6S,https://api.spotify.com/v1/audio-analysis/3xB4fMt8HTVKRJZS9neG6S,238347,4,Pictures,spotify:track:3xB4fMt8HTVKRJZS9neG6S,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
12,0.573,0.638,9,-8.7,0,0.0265,0.356,0.122,0.125,0.397,109.96,audio_features,6qRcRi17mbTaDGqDD6jOhM,spotify:track:6qRcRi17mbTaDGqDD6jOhM,https://api.spotify.com/v1/tracks/6qRcRi17mbTaDGqDD6jOhM,https://api.spotify.com/v1/audio-analysis/6qRcRi17mbTaDGqDD6jOhM,210467,4,Youth,spotify:track:6qRcRi17mbTaDGqDD6jOhM,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
13,0.424,0.351,7,-10.961,1,0.0301,0.658,0.546,0.109,0.126,133.811,audio_features,6N462UikKF4Wo7DyggaSsG,spotify:track:6N462UikKF4Wo7DyggaSsG,https://api.spotify.com/v1/tracks/6N462UikKF4Wo7DyggaSsG,https://api.spotify.com/v1/audio-analysis/6N462UikKF4Wo7DyggaSsG,195213,4,Breathe,spotify:track:6N462UikKF4Wo7DyggaSsG,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
14,0.531,0.304,1,-10.235,1,0.0298,0.955,0.0146,0.128,0.451,79.083,audio_features,7l1Sc7oTGMRjI1kVmrLVnw,spotify:track:7l1Sc7oTGMRjI1kVmrLVnw,https://api.spotify.com/v1/tracks/7l1Sc7oTGMRjI1kVmrLVnw,https://api.spotify.com/v1/audio-analysis/7l1Sc7oTGMRjI1kVmrLVnw,227613,3,Eventide,spotify:track:7l1Sc7oTGMRjI1kVmrLVnw,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
15,0.708,0.57,10,-8.871,0,0.0316,0.467,0.0985,0.112,0.851,137.967,audio_features,71PUTBwzruLrBJerJjPOYN,spotify:track:71PUTBwzruLrBJerJjPOYN,https://api.spotify.com/v1/tracks/71PUTBwzruLrBJerJjPOYN,https://api.spotify.com/v1/audio-analysis/71PUTBwzruLrBJerJjPOYN,221907,4,Lazy Giants,spotify:track:71PUTBwzruLrBJerJjPOYN,Ásgeir,7xUZ4069zcyBM4Bn10NQ1c
