,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.905,0.604,0,-8.927,1,0.273,0.319,0.000832,0.219,0.362,129.554,audio_features,66e9iSsVrH2AH6zJPLPdq5,spotify:track:66e9iSsVrH2AH6zJPLPdq5,https://api.spotify.com/v1/tracks/66e9iSsVrH2AH6zJPLPdq5,https://api.spotify.com/v1/audio-analysis/66e9iSsVrH2AH6zJPLPdq5,189859,4,Бери грибы,spotify:track:66e9iSsVrH2AH6zJPLPdq5,Грибы,7yNqUSyJGymfJQghNU0zcH
1,0.915,0.43,7,-9.884,1,0.135,0.0134,4e-05,0.0651,0.698,128.04,audio_features,1xAgIm4Yn2qza08SFouTKi,spotify:track:1xAgIm4Yn2qza08SFouTKi,https://api.spotify.com/v1/tracks/1xAgIm4Yn2qza08SFouTKi,https://api.spotify.com/v1/audio-analysis/1xAgIm4Yn2qza08SFouTKi,216012,4,Пудинг,spotify:track:1xAgIm4Yn2qza08SFouTKi,Грибы,7yNqUSyJGymfJQghNU0zcH
2,0.846,0.603,0,-9.646,0,0.0792,0.175,2.19e-05,0.0811,0.338,120.007,audio_features,6C2TnCLzUkyQ1L7W1lqcP1,spotify:track:6C2TnCLzUkyQ1L7W1lqcP1,https://api.spotify.com/v1/tracks/6C2TnCLzUkyQ1L7W1lqcP1,https://api.spotify.com/v1/audio-analysis/6C2TnCLzUkyQ1L7W1lqcP1,202695,4,Велик,spotify:track:6C2TnCLzUkyQ1L7W1lqcP1,Грибы,7yNqUSyJGymfJQghNU0zcH
3,0.837,0.744,9,-6.947,1,0.126,0.00943,0.0018,0.168,0.716,114.892,audio_features,5bNgRiBa3545I8tcn1v6XV,spotify:track:5bNgRiBa3545I8tcn1v6XV,https://api.spotify.com/v1/tracks/5bNgRiBa3545I8tcn1v6XV,https://api.spotify.com/v1/audio-analysis/5bNgRiBa3545I8tcn1v6XV,147423,4,Копы,spotify:track:5bNgRiBa3545I8tcn1v6XV,Грибы,7yNqUSyJGymfJQghNU0zcH
4,0.874,0.555,0,-9.861,1,0.294,0.438,0.0152,0.0678,0.699,124.928,audio_features,0KM5Kf6ITd190DliP1p8vs,spotify:track:0KM5Kf6ITd190DliP1p8vs,https://api.spotify.com/v1/tracks/0KM5Kf6ITd190DliP1p8vs,https://api.spotify.com/v1/audio-analysis/0KM5Kf6ITd190DliP1p8vs,222119,4,Базару нет,spotify:track:0KM5Kf6ITd190DliP1p8vs,Грибы,7yNqUSyJGymfJQghNU0zcH
5,0.781,0.569,6,-10.858,0,0.207,0.0688,0.42,0.0791,0.383,121.973,audio_features,2WFB1PtsrN0UdrVz6UXb2v,spotify:track:2WFB1PtsrN0UdrVz6UXb2v,https://api.spotify.com/v1/tracks/2WFB1PtsrN0UdrVz6UXb2v,https://api.spotify.com/v1/audio-analysis/2WFB1PtsrN0UdrVz6UXb2v,191624,4,Минимал,spotify:track:2WFB1PtsrN0UdrVz6UXb2v,Грибы,7yNqUSyJGymfJQghNU0zcH
6,0.789,0.473,1,-9.673,1,0.0527,0.141,0.346,0.106,0.484,116.081,audio_features,36PeUKdOMxivLrmkHeJ3mn,spotify:track:36PeUKdOMxivLrmkHeJ3mn,https://api.spotify.com/v1/tracks/36PeUKdOMxivLrmkHeJ3mn,https://api.spotify.com/v1/audio-analysis/36PeUKdOMxivLrmkHeJ3mn,152256,4,Любовь,spotify:track:36PeUKdOMxivLrmkHeJ3mn,Грибы,7yNqUSyJGymfJQghNU0zcH
7,0.769,0.47,1,-12.297,1,0.105,0.87,0.932,0.108,0.166,122.003,audio_features,1pQ2kVxALZeVLGacpblRKF,spotify:track:1pQ2kVxALZeVLGacpblRKF,https://api.spotify.com/v1/tracks/1pQ2kVxALZeVLGacpblRKF,https://api.spotify.com/v1/audio-analysis/1pQ2kVxALZeVLGacpblRKF,194485,4,Панама,spotify:track:1pQ2kVxALZeVLGacpblRKF,Грибы,7yNqUSyJGymfJQghNU0zcH
8,0.912,0.711,2,-7.227,1,0.104,0.182,0.0807,0.302,0.55,120.032,audio_features,2croRHFaJ2VIJxozIJQ4zi,spotify:track:2croRHFaJ2VIJxozIJQ4zi,https://api.spotify.com/v1/tracks/2croRHFaJ2VIJxozIJQ4zi,https://api.spotify.com/v1/audio-analysis/2croRHFaJ2VIJxozIJQ4zi,169684,4,Интро,spotify:track:2croRHFaJ2VIJxozIJQ4zi,Грибы,7yNqUSyJGymfJQghNU0zcH
9,0.941,0.384,0,-12.783,1,0.16,0.174,0.0152,0.093,0.517,120.01,audio_features,0cItyj95uqYjvYGchMLzIh,spotify:track:0cItyj95uqYjvYGchMLzIh,https://api.spotify.com/v1/tracks/0cItyj95uqYjvYGchMLzIh,https://api.spotify.com/v1/audio-analysis/0cItyj95uqYjvYGchMLzIh,209750,4,Тает лёд,spotify:track:0cItyj95uqYjvYGchMLzIh,Грибы,7yNqUSyJGymfJQghNU0zcH
10,0.901,0.604,2,-10.012,1,0.0899,0.17,0.12,0.11,0.617,120.022,audio_features,5a9u1SToTxEM2SOQarqYJk,spotify:track:5a9u1SToTxEM2SOQarqYJk,https://api.spotify.com/v1/tracks/5a9u1SToTxEM2SOQarqYJk,https://api.spotify.com/v1/audio-analysis/5a9u1SToTxEM2SOQarqYJk,167917,4,Intro,spotify:track:5a9u1SToTxEM2SOQarqYJk,Грибы,7yNqUSyJGymfJQghNU0zcH
